param nf:= 100 ;
param nn:= 100 ;
param: E: d:=
 0 99 10
 0 1 10
 1 99 10
 1 2 10
 2 99 10
 2 3 10
 3 99 10
 3 4 10
 4 99 10
 4 5 10
 5 99 10
 5 6 10
 6 99 10
 6 7 10
 7 99 10
 7 8 10
 8 99 10
 8 9 10
 9 99 10
 9 10 10
 10 99 10
 10 11 10
 11 99 10
 11 12 10
 12 99 10
 12 13 10
 13 99 10
 13 14 10
 14 99 10
 14 15 10
 15 99 10
 15 16 10
 16 99 10
 16 17 10
 17 99 10
 17 18 10
 18 99 10
 18 19 10
 19 99 10
 19 20 10
 20 99 10
 20 21 10
 21 99 10
 21 22 10
 22 99 10
 22 23 10
 23 99 10
 23 24 10
 24 99 10
 24 25 10
 25 99 10
 25 26 10
 26 99 10
 26 27 10
 27 99 10
 27 28 10
 28 99 10
 28 29 10
 29 99 10
 29 30 10
 30 99 10
 30 31 10
 31 99 10
 31 32 10
 32 99 10
 32 33 10
 33 99 10
 33 34 10
 34 99 10
 34 35 10
 35 99 10
 35 36 10
 36 99 10
 36 37 10
 37 99 10
 37 38 10
 38 99 10
 38 39 10
 39 99 10
 39 40 10
 40 99 10
 40 41 10
 41 99 10
 41 42 10
 42 99 10
 42 43 10
 43 99 10
 43 44 10
 44 99 10
 44 45 10
 45 99 10
 45 46 10
 46 99 10
 46 47 10
 47 99 10
 47 48 10
 48 99 10
 48 49 10
 49 99 10
 49 50 10
 50 99 10
 50 51 10
 51 99 10
 51 52 10
 52 99 10
 52 53 10
 53 99 10
 53 54 10
 54 99 10
 54 55 10
 55 99 10
 55 56 10
 56 99 10
 56 57 10
 57 99 10
 57 58 10
 58 99 10
 58 59 10
 59 99 10
 59 60 10
 60 99 10
 60 61 10
 61 99 10
 61 62 10
 62 99 10
 62 63 10
 63 99 10
 63 64 10
 64 99 10
 64 65 10
 65 99 10
 65 66 10
 66 99 10
 66 67 10
 67 99 10
 67 68 10
 68 99 10
 68 69 10
 69 99 10
 69 70 10
 70 99 10
 70 71 10
 71 99 10
 71 72 10
 72 99 10
 72 73 10
 73 99 10
 73 74 10
 74 99 10
 74 75 10
 75 99 10
 75 76 10
 76 99 10
 76 77 10
 77 99 10
 77 78 10
 78 99 10
 78 79 10
 79 99 10
 79 80 10
 80 99 10
 80 81 10
 81 99 10
 81 82 10
 82 99 10
 82 83 10
 83 99 10
 83 84 10
 84 99 10
 84 85 10
 85 99 10
 85 86 10
 86 99 10
 86 87 10
 87 99 10
 87 88 10
 88 99 10
 88 89 10
 89 99 10
 89 90 10
 90 99 10
 90 91 10
 91 99 10
 91 92 10
 92 99 10
 92 93 10
 93 99 10
 93 94 10
 94 99 10
 94 95 10
 95 99 10
 95 96 10
 96 99 10
 96 97 10
 97 99 10
 97 98 10
 98 99 10
 98 0 10
 99 0 10
 1 0 10
 99 1 10
 2 1 10
 99 2 10
 3 2 10
 99 3 10
 4 3 10
 99 4 10
 5 4 10
 99 5 10
 6 5 10
 99 6 10
 7 6 10
 99 7 10
 8 7 10
 99 8 10
 9 8 10
 99 9 10
 10 9 10
 99 10 10
 11 10 10
 99 11 10
 12 11 10
 99 12 10
 13 12 10
 99 13 10
 14 13 10
 99 14 10
 15 14 10
 99 15 10
 16 15 10
 99 16 10
 17 16 10
 99 17 10
 18 17 10
 99 18 10
 19 18 10
 99 19 10
 20 19 10
 99 20 10
 21 20 10
 99 21 10
 22 21 10
 99 22 10
 23 22 10
 99 23 10
 24 23 10
 99 24 10
 25 24 10
 99 25 10
 26 25 10
 99 26 10
 27 26 10
 99 27 10
 28 27 10
 99 28 10
 29 28 10
 99 29 10
 30 29 10
 99 30 10
 31 30 10
 99 31 10
 32 31 10
 99 32 10
 33 32 10
 99 33 10
 34 33 10
 99 34 10
 35 34 10
 99 35 10
 36 35 10
 99 36 10
 37 36 10
 99 37 10
 38 37 10
 99 38 10
 39 38 10
 99 39 10
 40 39 10
 99 40 10
 41 40 10
 99 41 10
 42 41 10
 99 42 10
 43 42 10
 99 43 10
 44 43 10
 99 44 10
 45 44 10
 99 45 10
 46 45 10
 99 46 10
 47 46 10
 99 47 10
 48 47 10
 99 48 10
 49 48 10
 99 49 10
 50 49 10
 99 50 10
 51 50 10
 99 51 10
 52 51 10
 99 52 10
 53 52 10
 99 53 10
 54 53 10
 99 54 10
 55 54 10
 99 55 10
 56 55 10
 99 56 10
 57 56 10
 99 57 10
 58 57 10
 99 58 10
 59 58 10
 99 59 10
 60 59 10
 99 60 10
 61 60 10
 99 61 10
 62 61 10
 99 62 10
 63 62 10
 99 63 10
 64 63 10
 99 64 10
 65 64 10
 99 65 10
 66 65 10
 99 66 10
 67 66 10
 99 67 10
 68 67 10
 99 68 10
 69 68 10
 99 69 10
 70 69 10
 99 70 10
 71 70 10
 99 71 10
 72 71 10
 99 72 10
 73 72 10
 99 73 10
 74 73 10
 99 74 10
 75 74 10
 99 75 10
 76 75 10
 99 76 10
 77 76 10
 99 77 10
 78 77 10
 99 78 10
 79 78 10
 99 79 10
 80 79 10
 99 80 10
 81 80 10
 99 81 10
 82 81 10
 99 82 10
 83 82 10
 99 83 10
 84 83 10
 99 84 10
 85 84 10
 99 85 10
 86 85 10
 99 86 10
 87 86 10
 99 87 10
 88 87 10
 99 88 10
 89 88 10
 99 89 10
 90 89 10
 99 90 10
 91 90 10
 99 91 10
 92 91 10
 99 92 10
 93 92 10
 99 93 10
 94 93 10
 99 94 10
 95 94 10
 99 95 10
 96 95 10
 99 96 10
 97 96 10
 99 97 10
 98 97 10
 99 98 10
 0 98 10;
param s:=
0 13
1 89
2 83
3 31
4 94
5 37
6 9
7 57
8 59
9 50
10 15
11 28
12 45
13 46
14 80
15 19
16 70
17 84
18 21
19 83
20 15
21 43
22 10
23 26
24 51
25 56
26 12
27 87
28 74
29 81
30 23
31 95
32 65
33 24
34 57
35 27
36 36
37 32
38 15
39 35
40 3
41 94
42 14
43 67
44 11
45 61
46 21
47 49
48 39
49 58
50 53
51 12
52 60
53 30
54 78
55 8
56 18
57 90
58 73
59 2
60 51
61 2
62 90
63 47
64 33
65 38
66 24
67 80
68 60
69 12
70 12
71 24
72 3
73 75
74 36
75 45
76 14
77 18
78 25
79 29
80 64
81 23
82 26
83 87
84 37
85 97
86 4
87 76
88 96
89 65
90 25
91 62
92 31
93 69
94 99
95 62
96 4
97 82
98 60
99 43 ;
param e:=
0 78
1 96
2 67
3 34
4 32
5 93
6 84
7 38
8 87
9 99
10 33
11 40
12 33
13 80
14 66
15 20
16 85
17 35
18 1
19 8
20 76
21 3
22 35
23 48
24 74
25 77
26 82
27 14
28 75
29 46
30 12
31 62
32 86
33 34
34 79
35 62
36 64
37 13
38 11
39 15
40 20
41 52
42 87
43 75
44 54
45 87
46 68
47 58
48 62
49 55
50 76
51 32
52 50
53 57
54 62
55 72
56 62
57 34
58 56
59 90
60 54
61 44
62 72
63 60
64 45
65 67
66 5
67 71
68 32
69 49
70 4
71 39
72 0
73 64
74 66
75 32
76 4
77 99
78 0
79 32
80 33
81 31
82 77
83 42
84 92
85 47
86 71
87 94
88 20
89 82
90 46
91 49
92 49
93 70
94 40
95 78
96 31
97 54
98 99
99 11 ;
param v_min:=
