param nf:= 100 ;
param nn:= 9 ;
param: E: d:=
 0 8 10
 0 1 10
 1 8 10
 1 2 10
 2 8 10
 2 3 10
 3 8 10
 3 4 10
 4 8 10
 4 5 10
 5 8 10
 5 6 10
 6 8 10
 6 7 10
 7 8 10
 7 0 10
 8 0 10
 1 0 10
 8 1 10
 2 1 10
 8 2 10
 3 2 10
 8 3 10
 4 3 10
 8 4 10
 5 4 10
 8 5 10
 6 5 10
 8 6 10
 7 6 10
 8 7 10
 0 7 10;
param s:=
0 5
1 7
2 6
3 7
4 6
5 3
6 4
7 2
8 0
9 4
10 2
11 7
12 3
13 5
14 6
15 5
16 6
17 2
18 0
19 1
20 8
21 3
22 2
23 4
24 7
25 2
26 0
27 7
28 7
29 7
30 7
31 2
32 6
33 0
34 0
35 5
36 8
37 3
38 1
39 1
40 0
41 0
42 0
43 2
44 3
45 0
46 8
47 1
48 4
49 6
50 6
51 7
52 0
53 6
54 8
55 1
56 1
57 1
58 1
59 6
60 6
61 2
62 6
63 3
64 2
65 7
66 6
67 6
68 7
69 4
70 1
71 7
72 8
73 3
74 8
75 7
76 1
77 0
78 1
79 0
80 5
81 2
82 5
83 4
84 1
85 3
86 3
87 0
88 5
89 3
90 4
91 6
92 2
93 3
94 8
95 8
96 8
97 7
98 2
99 2 ;
param e:=
0 7
1 4
2 3
3 0
4 4
5 0
6 5
7 4
8 3
9 0
10 0
11 4
12 4
13 4
14 1
15 7
16 8
17 4
18 4
19 0
20 5
21 7
22 4
23 5
24 1
25 7
26 7
27 0
28 1
29 1
30 0
31 3
32 5
33 8
34 6
35 7
36 1
37 5
38 8
39 3
40 6
41 1
42 6
43 4
44 2
45 3
46 3
47 2
48 6
49 0
50 7
51 4
52 3
53 4
54 6
55 3
56 6
57 4
58 7
59 2
60 3
61 6
62 8
63 6
64 5
65 2
66 3
67 0
68 4
69 1
70 4
71 3
72 7
73 7
74 2
75 8
76 5
77 7
78 7
79 8
80 8
81 1
82 6
83 6
84 3
85 7
86 0
87 3
88 6
89 0
90 0
91 0
92 8
93 8
94 4
95 0
96 3
97 5
98 7
99 1 ;
param v_min:=
0 0 8 1		0 0 1 1		0 1 8 1		0 1 2 1		0 2 8 1		0 2 3 1		0 3 8 1		0 3 4 1		0 4 8 1		0 4 5 1		0 5 8 1		0 5 6 1		0 6 8 1		0 6 7 1		0 7 8 1		0 7 0 1		0 8 0 1		0 1 0 1		0 8 1 1		0 2 1 1		0 8 2 1		0 3 2 1		0 8 3 1		0 4 3 1		0 8 4 1		0 5 4 1		0 8 5 1		0 6 5 1		0 8 6 1		0 7 6 1		0 8 7 1		0 0 7 1		
