param nf:= 100 ;
param nn:= 9 ;
param: E: d:=
 0 1 10
 0 3 10
 1 2 10
 1 4 10
 2 5 10
 3 4 10
 3 6 10
 4 5 10
 4 7 10
 5 8 10
 6 7 10
 7 8 10
 1 0 10
 3 0 10
 2 1 10
 4 1 10
 5 2 10
 4 3 10
 6 3 10
 5 4 10
 7 4 10
 8 5 10
 7 6 10
 8 7 10;
param s:=
0 3
1 2
2 7
3 0
4 4
5 3
6 8
7 6
8 3
9 8
10 0
11 2
12 4
13 4
14 6
15 2
16 1
17 2
18 3
19 6
20 6
21 6
22 8
23 3
24 0
25 2
26 8
27 3
28 4
29 1
30 7
31 5
32 6
33 0
34 6
35 0
36 5
37 4
38 3
39 4
40 1
41 0
42 6
43 4
44 0
45 5
46 6
47 8
48 8
49 8
50 6
51 4
52 4
53 4
54 5
55 6
56 0
57 2
58 5
59 5
60 7
61 0
62 4
63 4
64 2
65 2
66 5
67 4
68 1
69 2
70 8
71 4
72 5
73 6
74 1
75 5
76 7
77 1
78 3
79 4
80 1
81 8
82 5
83 4
84 1
85 2
86 4
87 4
88 5
89 4
90 6
91 6
92 3
93 7
94 6
95 3
96 7
97 4
98 5
99 1 ;
param e:=
0 8
1 5
2 1
3 7
4 8
5 7
6 7
7 2
8 2
9 6
10 1
11 0
12 0
13 7
14 7
15 5
16 0
17 7
18 4
19 4
20 8
21 5
22 6
23 5
24 4
25 5
26 1
27 4
28 1
29 7
30 1
31 1
32 2
33 4
34 1
35 6
36 8
37 8
38 0
39 0
40 8
41 3
42 4
43 2
44 5
45 2
46 7
47 6
48 1
49 4
50 3
51 6
52 8
53 8
54 0
55 5
56 6
57 0
58 7
59 4
60 0
61 5
62 7
63 5
64 5
65 5
66 4
67 6
68 0
69 4
70 3
71 3
72 2
73 1
74 5
75 3
76 2
77 5
78 7
79 3
80 0
81 3
82 2
83 5
84 5
85 6
86 8
87 7
88 6
89 6
90 0
91 2
92 0
93 8
94 8
95 0
96 8
97 8
98 3
99 4 ;
param v_min:=
0 0 1 1		0 0 3 1		0 1 2 1		0 1 4 1		0 2 5 1		0 3 4 1		0 3 6 1		0 4 5 1		0 4 7 1		0 5 8 1		0 6 7 1		0 7 8 1		0 1 0 1		0 3 0 1		0 2 1 1		0 4 1 1		0 5 2 1		0 4 3 1		0 6 3 1		0 5 4 1		0 7 4 1		0 8 5 1		0 7 6 1		0 8 7 1		
1 0 1 1		1 0 3 1		1 1 2 1		1 1 4 1		1 2 5 1		1 3 4 1		1 3 6 1		1 4 5 1		1 4 7 1		1 5 8 1		1 6 7 1		1 7 8 1		1 1 0 1		1 3 0 1		1 2 1 1		1 4 1 1		1 5 2 1		1 4 3 1		1 6 3 1		1 5 4 1		1 7 4 1		1 8 5 1		1 7 6 1		1 8 7 1		
2 0 1 1		2 0 3 1		2 1 2 1		2 1 4 1		2 2 5 1		2 3 4 1		2 3 6 1		2 4 5 1		2 4 7 1		2 5 8 1		2 6 7 1		2 7 8 1		2 1 0 1		2 3 0 1		2 2 1 1		2 4 1 1		2 5 2 1		2 4 3 1		2 6 3 1		2 5 4 1		2 7 4 1		2 8 5 1		2 7 6 1		2 8 7 1		
3 0 1 1		3 0 3 1		3 1 2 1		3 1 4 1		3 2 5 1		3 3 4 1		3 3 6 1		3 4 5 1		3 4 7 1		3 5 8 1		3 6 7 1		3 7 8 1		3 1 0 1		3 3 0 1		3 2 1 1		3 4 1 1		3 5 2 1		3 4 3 1		3 6 3 1		3 5 4 1		3 7 4 1		3 8 5 1		3 7 6 1		3 8 7 1		
4 0 1 1		4 0 3 1		4 1 2 1		4 1 4 1		4 2 5 1		4 3 4 1		4 3 6 1		4 4 5 1		4 4 7 1		4 5 8 1		4 6 7 1		4 7 8 1		4 1 0 1		4 3 0 1		4 2 1 1		4 4 1 1		4 5 2 1		4 4 3 1		4 6 3 1		4 5 4 1		4 7 4 1		4 8 5 1		4 7 6 1		4 8 7 1		
