param nf:= 30 ;
param nn:= 18 ;
param: E: d:=
 0 1 10
 0 3 10
 1 2 10
 1 4 10
 2 5 10
 3 4 10
 3 6 10
 4 5 10
 4 7 10
 5 8 10
 6 7 10
 7 8 10
 9 10 10
 9 12 10
 10 11 10
 10 13 10
 11 14 10
 12 13 10
 12 15 10
 13 14 10
 13 16 10
 14 17 10
 15 16 10
 16 17 10
 1 0 10
 3 0 10
 2 1 10
 4 1 10
 5 2 10
 4 3 10
 6 3 10
 5 4 10
 7 4 10
 8 5 10
 7 6 10
 8 7 10
 10 9 10
 12 9 10
 11 10 10
 13 10 10
 14 11 10
 13 12 10
 15 12 10
 14 13 10
 16 13 10
 17 14 10
 16 15 10
 17 16 10
 6 9 10
 11 8 10;
param s:=
0 3
1 7
2 8
3 2
4 9
5 12
6 8
7 10
8 8
9 16
10 5
11 8
12 0
13 3
14 0
15 8
16 12
17 3
18 5
19 15
20 6
21 14
22 15
23 16
24 3
25 8
26 0
27 13
28 16
29 13 ;
param e:=
0 16
1 8
2 9
3 14
4 14
5 3
6 7
7 11
8 11
9 4
10 17
11 5
12 2
13 10
14 2
15 6
16 14
17 11
18 3
19 16
20 8
21 6
22 9
23 8
24 2
25 3
26 5
27 3
28 2
29 15 ;
param v_min:=
0 0 1 1		0 0 3 1		0 1 2 1		0 1 4 1		0 2 5 1		0 3 4 1		0 3 6 1		0 4 5 1		0 4 7 1		0 5 8 1		0 6 7 1		0 7 8 1		0 9 10 1		0 9 12 1		0 10 11 1		0 10 13 1		0 11 14 1		0 12 13 1		0 12 15 1		0 13 14 1		0 13 16 1		0 14 17 1		0 15 16 1		0 16 17 1		0 1 0 1		0 3 0 1		0 2 1 1		0 4 1 1		0 5 2 1		0 4 3 1		0 6 3 1		0 5 4 1		0 7 4 1		0 8 5 1		0 7 6 1		0 8 7 1		0 10 9 1		0 12 9 1		0 11 10 1		0 13 10 1		0 14 11 1		0 13 12 1		0 15 12 1		0 14 13 1		0 16 13 1		0 17 14 1		0 16 15 1		0 17 16 1		0 6 9 1		0 11 8 1		
1 0 1 1		1 0 3 1		1 1 2 1		1 1 4 1		1 2 5 1		1 3 4 1		1 3 6 1		1 4 5 1		1 4 7 1		1 5 8 1		1 6 7 1		1 7 8 1		1 9 10 1		1 9 12 1		1 10 11 1		1 10 13 1		1 11 14 1		1 12 13 1		1 12 15 1		1 13 14 1		1 13 16 1		1 14 17 1		1 15 16 1		1 16 17 1		1 1 0 1		1 3 0 1		1 2 1 1		1 4 1 1		1 5 2 1		1 4 3 1		1 6 3 1		1 5 4 1		1 7 4 1		1 8 5 1		1 7 6 1		1 8 7 1		1 10 9 1		1 12 9 1		1 11 10 1		1 13 10 1		1 14 11 1		1 13 12 1		1 15 12 1		1 14 13 1		1 16 13 1		1 17 14 1		1 16 15 1		1 17 16 1		1 6 9 1		1 11 8 1		
2 0 1 1		2 0 3 1		2 1 2 1		2 1 4 1		2 2 5 1		2 3 4 1		2 3 6 1		2 4 5 1		2 4 7 1		2 5 8 1		2 6 7 1		2 7 8 1		2 9 10 1		2 9 12 1		2 10 11 1		2 10 13 1		2 11 14 1		2 12 13 1		2 12 15 1		2 13 14 1		2 13 16 1		2 14 17 1		2 15 16 1		2 16 17 1		2 1 0 1		2 3 0 1		2 2 1 1		2 4 1 1		2 5 2 1		2 4 3 1		2 6 3 1		2 5 4 1		2 7 4 1		2 8 5 1		2 7 6 1		2 8 7 1		2 10 9 1		2 12 9 1		2 11 10 1		2 13 10 1		2 14 11 1		2 13 12 1		2 15 12 1		2 14 13 1		2 16 13 1		2 17 14 1		2 16 15 1		2 17 16 1		2 6 9 1		2 11 8 1		
3 0 1 1		3 0 3 1		3 1 2 1		3 1 4 1		3 2 5 1		3 3 4 1		3 3 6 1		3 4 5 1		3 4 7 1		3 5 8 1		3 6 7 1		3 7 8 1		3 9 10 1		3 9 12 1		3 10 11 1		3 10 13 1		3 11 14 1		3 12 13 1		3 12 15 1		3 13 14 1		3 13 16 1		3 14 17 1		3 15 16 1		3 16 17 1		3 1 0 1		3 3 0 1		3 2 1 1		3 4 1 1		3 5 2 1		3 4 3 1		3 6 3 1		3 5 4 1		3 7 4 1		3 8 5 1		3 7 6 1		3 8 7 1		3 10 9 1		3 12 9 1		3 11 10 1		3 13 10 1		3 14 11 1		3 13 12 1		3 15 12 1		3 14 13 1		3 16 13 1		3 17 14 1		3 16 15 1		3 17 16 1		3 6 9 1		3 11 8 1		
