param nf:= 5 ;
param nn:= 9 ;
param: E: d:=
 0 8 10
 0 1 10
 1 8 10
 1 2 10
 2 8 10
 2 3 10
 3 8 10
 3 4 10
 4 8 10
 4 5 10
 5 8 10
 5 6 10
 6 8 10
 6 7 10
 7 8 10
 7 0 10
 8 0 10
 1 0 10
 8 1 10
 2 1 10
 8 2 10
 3 2 10
 8 3 10
 4 3 10
 8 4 10
 5 4 10
 8 5 10
 6 5 10
 8 6 10
 7 6 10
 8 7 10
 0 7 10;
param s:=
0 7
1 8
2 2
3 0
4 7 ;
param e:=
0 4
1 5
2 6
3 5
4 4 ;
param v_min:=
0 0 8 1		0 0 1 1		0 1 8 1		0 1 2 1		0 2 8 1		0 2 3 1		0 3 8 1		0 3 4 1		0 4 8 1		0 4 5 1		0 5 8 1		0 5 6 1		0 6 8 1		0 6 7 1		0 7 8 1		0 7 0 1		0 8 0 1		0 1 0 1		0 8 1 1		0 2 1 1		0 8 2 1		0 3 2 1		0 8 3 1		0 4 3 1		0 8 4 1		0 5 4 1		0 8 5 1		0 6 5 1		0 8 6 1		0 7 6 1		0 8 7 1		0 0 7 1		
1 0 8 1		1 0 1 1		1 1 8 1		1 1 2 1		1 2 8 1		1 2 3 1		1 3 8 1		1 3 4 1		1 4 8 1		1 4 5 1		1 5 8 1		1 5 6 1		1 6 8 1		1 6 7 1		1 7 8 1		1 7 0 1		1 8 0 1		1 1 0 1		1 8 1 1		1 2 1 1		1 8 2 1		1 3 2 1		1 8 3 1		1 4 3 1		1 8 4 1		1 5 4 1		1 8 5 1		1 6 5 1		1 8 6 1		1 7 6 1		1 8 7 1		1 0 7 1		
2 0 8 1		2 0 1 1		2 1 8 1		2 1 2 1		2 2 8 1		2 2 3 1		2 3 8 1		2 3 4 1		2 4 8 1		2 4 5 1		2 5 8 1		2 5 6 1		2 6 8 1		2 6 7 1		2 7 8 1		2 7 0 1		2 8 0 1		2 1 0 1		2 8 1 1		2 2 1 1		2 8 2 1		2 3 2 1		2 8 3 1		2 4 3 1		2 8 4 1		2 5 4 1		2 8 5 1		2 6 5 1		2 8 6 1		2 7 6 1		2 8 7 1		2 0 7 1		
3 0 8 1		3 0 1 1		3 1 8 1		3 1 2 1		3 2 8 1		3 2 3 1		3 3 8 1		3 3 4 1		3 4 8 1		3 4 5 1		3 5 8 1		3 5 6 1		3 6 8 1		3 6 7 1		3 7 8 1		3 7 0 1		3 8 0 1		3 1 0 1		3 8 1 1		3 2 1 1		3 8 2 1		3 3 2 1		3 8 3 1		3 4 3 1		3 8 4 1		3 5 4 1		3 8 5 1		3 6 5 1		3 8 6 1		3 7 6 1		3 8 7 1		3 0 7 1		
4 0 8 1		4 0 1 1		4 1 8 1		4 1 2 1		4 2 8 1		4 2 3 1		4 3 8 1		4 3 4 1		4 4 8 1		4 4 5 1		4 5 8 1		4 5 6 1		4 6 8 1		4 6 7 1		4 7 8 1		4 7 0 1		4 8 0 1		4 1 0 1		4 8 1 1		4 2 1 1		4 8 2 1		4 3 2 1		4 8 3 1		4 4 3 1		4 8 4 1		4 5 4 1		4 8 5 1		4 6 5 1		4 8 6 1		4 7 6 1		4 8 7 1		4 0 7 1		 ;
param v_max:=
0 0 8 2		0 0 1 2		0 1 8 2		0 1 2 2		0 2 8 2		0 2 3 2		0 3 8 2		0 3 4 2		0 4 8 2		0 4 5 2		0 5 8 2		0 5 6 2		0 6 8 2		0 6 7 2		0 7 8 2		0 7 0 2		0 8 0 2		0 1 0 2		0 8 1 2		0 2 1 2		0 8 2 2		0 3 2 2		0 8 3 2		0 4 3 2		0 8 4 2		0 5 4 2		0 8 5 2		0 6 5 2		0 8 6 2		0 7 6 2		0 8 7 2		0 0 7 2		
1 0 8 2		1 0 1 2		1 1 8 2		1 1 2 2		1 2 8 2		1 2 3 2		1 3 8 2		1 3 4 2		1 4 8 2		1 4 5 2		1 5 8 2		1 5 6 2		1 6 8 2		1 6 7 2		1 7 8 2		1 7 0 2		1 8 0 2		1 1 0 2		1 8 1 2		1 2 1 2		1 8 2 2		1 3 2 2		1 8 3 2		1 4 3 2		1 8 4 2		1 5 4 2		1 8 5 2		1 6 5 2		1 8 6 2		1 7 6 2		1 8 7 2		1 0 7 2		
2 0 8 2		2 0 1 2		2 1 8 2		2 1 2 2		2 2 8 2		2 2 3 2		2 3 8 2		2 3 4 2		2 4 8 2		2 4 5 2		2 5 8 2		2 5 6 2		2 6 8 2		2 6 7 2		2 7 8 2		2 7 0 2		2 8 0 2		2 1 0 2		2 8 1 2		2 2 1 2		2 8 2 2		2 3 2 2		2 8 3 2		2 4 3 2		2 8 4 2		2 5 4 2		2 8 5 2		2 6 5 2		2 8 6 2		2 7 6 2		2 8 7 2		2 0 7 2		
3 0 8 2		3 0 1 2		3 1 8 2		3 1 2 2		3 2 8 2		3 2 3 2		3 3 8 2		3 3 4 2		3 4 8 2		3 4 5 2		3 5 8 2		3 5 6 2		3 6 8 2		3 6 7 2		3 7 8 2		3 7 0 2		3 8 0 2		3 1 0 2		3 8 1 2		3 2 1 2		3 8 2 2		3 3 2 2		3 8 3 2		3 4 3 2		3 8 4 2		3 5 4 2		3 8 5 2		3 6 5 2		3 8 6 2		3 7 6 2		3 8 7 2		3 0 7 2		
4 0 8 2		4 0 1 2		4 1 8 2		4 1 2 2		4 2 8 2		4 2 3 2		4 3 8 2		4 3 4 2		4 4 8 2		4 4 5 2		4 5 8 2		4 5 6 2		4 6 8 2		4 6 7 2		4 7 8 2		4 7 0 2		4 8 0 2		4 1 0 2		4 8 1 2		4 2 1 2		4 8 2 2		4 3 2 2		4 8 3 2		4 4 3 2		4 8 4 2		4 5 4 2		4 8 5 2		4 6 5 2		4 8 6 2		4 7 6 2		4 8 7 2		4 0 7 2		 ;
param angleM:=
8 0 1 1.414214		8 0 2 1.0		8 0 3 1.0		8 0 4 1.0		8 0 5 1.0		8 0 6 1.0		8 0 7 1.414214		
1 0 8 1.082392		1 0 2 1.0		
8 1 0 1.414214		8 1 2 1.414214		8 1 3 1.0		8 1 4 1.0		8 1 5 1.0		8 1 6 1.0		8 1 7 1.0		
2 1 8 1.082392		2 1 3 1.0		
8 2 0 1.0		8 2 1 1.414214		8 2 3 1.414214		8 2 4 1.0		8 2 5 1.0		8 2 6 1.0		8 2 7 1.0		
3 2 8 1.082392		3 2 4 1.0		
8 3 0 1.0		8 3 1 1.0		8 3 2 1.414214		8 3 4 1.414214		8 3 5 1.0		8 3 6 1.0		8 3 7 1.0		
4 3 8 1.082392		4 3 5 1.0		
8 4 0 1.0		8 4 1 1.0		8 4 2 1.0		8 4 3 1.414214		8 4 5 1.414214		8 4 6 1.0		8 4 7 1.0		
5 4 8 1.082392		5 4 6 1.0		
8 5 0 1.0		8 5 1 1.0		8 5 2 1.0		8 5 3 1.0		8 5 4 1.414214		8 5 6 1.414214		8 5 7 1.0		
6 5 8 1.082392		6 5 7 1.0		
8 6 0 1.0		8 6 1 1.0		8 6 2 1.0		8 6 3 1.0		8 6 4 1.0		8 6 5 1.414214		8 6 7 1.414214		
7 6 8 1.082392		7 6 0 1.0		
8 7 0 1.414214		8 7 1 1.0		8 7 2 1.0		8 7 3 1.0		8 7 4 1.0		8 7 5 1.0		8 7 6 1.414214		
0 7 8 1.082392		0 7 1 1.0		
0 8 7 1.082392		0 8 1 1.082392		
0 1 7 1.0		0 1 8 1.082392		
1 8 0 1.082392		1 8 2 1.082392		
1 2 0 1.0		1 2 8 1.082392		
2 8 1 1.082392		2 8 3 1.082392		
2 3 1 1.0		2 3 8 1.082392		
3 8 2 1.082392		3 8 4 1.082392		
3 4 2 1.0		3 4 8 1.082392		
4 8 3 1.082392		4 8 5 1.082392		
4 5 3 1.0		4 5 8 1.082392		
5 8 4 1.082392		5 8 6 1.082392		
5 6 4 1.0		5 6 8 1.082392		
6 8 5 1.082392		6 8 7 1.082392		
6 7 5 1.0		6 7 8 1.082392		
7 8 6 1.082392		7 8 0 1.082392		
7 0 6 1.0		7 0 8 1.082392		;
param angleP:=
0 8 1 1.082392		0 8 7 1.082392		
0 1 8 1.082392		0 1 7 1.0		
1 8 2 1.082392		1 8 0 1.082392		
1 2 8 1.082392		1 2 0 1.0		
2 8 3 1.082392		2 8 1 1.082392		
2 3 8 1.082392		2 3 1 1.0		
3 8 4 1.082392		3 8 2 1.082392		
3 4 8 1.082392		3 4 2 1.0		
4 8 5 1.082392		4 8 3 1.082392		
4 5 8 1.082392		4 5 3 1.0		
5 8 6 1.082392		5 8 4 1.082392		
5 6 8 1.082392		5 6 4 1.0		
6 8 7 1.082392		6 8 5 1.082392		
6 7 8 1.082392		6 7 5 1.0		
7 8 0 1.082392		7 8 6 1.082392		
7 0 8 1.082392		7 0 6 1.0		
8 0 1 1.414214		8 0 2 1.0		8 0 3 1.0		8 0 4 1.0		8 0 5 1.0		8 0 6 1.0		8 0 7 1.414214		
1 0 8 1.082392		1 0 2 1.0		
8 1 0 1.414214		8 1 2 1.414214		8 1 3 1.0		8 1 4 1.0		8 1 5 1.0		8 1 6 1.0		8 1 7 1.0		
2 1 8 1.082392		2 1 3 1.0		
8 2 0 1.0		8 2 1 1.414214		8 2 3 1.414214		8 2 4 1.0		8 2 5 1.0		8 2 6 1.0		8 2 7 1.0		
3 2 8 1.082392		3 2 4 1.0		
8 3 0 1.0		8 3 1 1.0		8 3 2 1.414214		8 3 4 1.414214		8 3 5 1.0		8 3 6 1.0		8 3 7 1.0		
4 3 8 1.082392		4 3 5 1.0		
8 4 0 1.0		8 4 1 1.0		8 4 2 1.0		8 4 3 1.414214		8 4 5 1.414214		8 4 6 1.0		8 4 7 1.0		
5 4 8 1.082392		5 4 6 1.0		
8 5 0 1.0		8 5 1 1.0		8 5 2 1.0		8 5 3 1.0		8 5 4 1.414214		8 5 6 1.414214		8 5 7 1.0		
6 5 8 1.082392		6 5 7 1.0		
8 6 0 1.0		8 6 1 1.0		8 6 2 1.0		8 6 3 1.0		8 6 4 1.0		8 6 5 1.414214		8 6 7 1.414214		
7 6 8 1.082392		7 6 0 1.0		
8 7 0 1.414214		8 7 1 1.0		8 7 2 1.0		8 7 3 1.0		8 7 4 1.0		8 7 5 1.0		8 7 6 1.414214		
0 7 8 1.082392		0 7 1 1.0		;
param anglePM:=
0 8 7 1.082392		0 8 1 1.082392		
0 1 7 1.0		0 1 8 1.082392		
1 8 0 1.082392		1 8 2 1.082392		
1 2 0 1.0		1 2 8 1.082392		
2 8 1 1.082392		2 8 3 1.082392		
2 3 1 1.0		2 3 8 1.082392		
3 8 2 1.082392		3 8 4 1.082392		
3 4 2 1.0		3 4 8 1.082392		
4 8 3 1.082392		4 8 5 1.082392		
4 5 3 1.0		4 5 8 1.082392		
5 8 4 1.082392		5 8 6 1.082392		
5 6 4 1.0		5 6 8 1.082392		
6 8 5 1.082392		6 8 7 1.082392		
6 7 5 1.0		6 7 8 1.082392		
7 8 6 1.082392		7 8 0 1.082392		
7 0 6 1.0		7 0 8 1.082392		
8 0 1 1.414214		8 0 2 1.0		8 0 3 1.0		8 0 4 1.0		8 0 5 1.0		8 0 6 1.0		8 0 7 1.414214		
1 0 8 1.082392		1 0 2 1.0		
8 1 0 1.414214		8 1 2 1.414214		8 1 3 1.0		8 1 4 1.0		8 1 5 1.0		8 1 6 1.0		8 1 7 1.0		
2 1 8 1.082392		2 1 3 1.0		
8 2 0 1.0		8 2 1 1.414214		8 2 3 1.414214		8 2 4 1.0		8 2 5 1.0		8 2 6 1.0		8 2 7 1.0		
3 2 8 1.082392		3 2 4 1.0		
8 3 0 1.0		8 3 1 1.0		8 3 2 1.414214		8 3 4 1.414214		8 3 5 1.0		8 3 6 1.0		8 3 7 1.0		
4 3 8 1.082392		4 3 5 1.0		
