param nf:= 100 ;
param nn:= 16 ;
param: E: d:=
 0 15 10
 0 1 10
 1 15 10
 1 2 10
 2 15 10
 2 3 10
 3 15 10
 3 4 10
 4 15 10
 4 5 10
 5 15 10
 5 6 10
 6 15 10
 6 7 10
 7 15 10
 7 8 10
 8 15 10
 8 9 10
 9 15 10
 9 10 10
 10 15 10
 10 11 10
 11 15 10
 11 12 10
 12 15 10
 12 13 10
 13 15 10
 13 14 10
 14 15 10
 14 0 10
 15 0 10
 1 0 10
 15 1 10
 2 1 10
 15 2 10
 3 2 10
 15 3 10
 4 3 10
 15 4 10
 5 4 10
 15 5 10
 6 5 10
 15 6 10
 7 6 10
 15 7 10
 8 7 10
 15 8 10
 9 8 10
 15 9 10
 10 9 10
 15 10 10
 11 10 10
 15 11 10
 12 11 10
 15 12 10
 13 12 10
 15 13 10
 14 13 10
 15 14 10
 0 14 10;
param s:=
0 11
1 15
2 13
3 14
4 13
5 7
6 9
7 4
8 0
9 8
10 4
11 14
12 7
13 11
14 13
15 11
16 13
17 9
18 9
19 0
20 7
21 4
22 9
23 14
24 5
25 0
26 15
27 15
28 14
29 15
30 4
31 12
32 1
33 10
34 2
35 10
36 2
37 7
38 12
39 3
40 12
41 8
42 5
43 7
44 3
45 8
46 13
47 12
48 14
49 1
50 6
51 8
52 3
53 3
54 3
55 3
56 13
57 12
58 4
59 13
60 12
61 11
62 5
63 6
64 0
65 9
66 2
67 15
68 15
69 14
70 15
71 3
72 1
73 2
74 1
75 5
76 11
77 9
78 2
79 6
80 6
81 0
82 10
83 6
84 8
85 12
86 4
87 6
88 0
89 15
90 4
91 5
92 6
93 2
94 9
95 4
96 5
97 7
98 6
99 2 ;
param e:=
0 15
1 9
2 7
3 0
4 8
5 0
6 10
7 9
8 7
9 0
10 0
11 9
12 9
13 8
14 2
15 15
16 5
17 1
18 2
19 11
20 15
21 9
22 10
23 2
24 15
25 14
26 0
27 3
28 2
29 0
30 7
31 11
32 12
33 15
34 7
35 3
36 3
37 0
38 1
39 1
40 4
41 7
42 0
43 3
44 4
45 12
46 1
47 14
48 8
49 0
50 13
51 12
52 6
53 13
54 9
55 14
56 4
57 7
58 12
59 7
60 5
61 15
62 13
63 13
64 15
65 3
66 9
67 7
68 6
69 4
70 2
71 10
72 14
73 15
74 10
75 3
76 12
77 12
78 7
79 14
80 0
81 7
82 12
83 1
84 0
85 1
86 7
87 8
88 6
89 11
90 14
91 3
92 0
93 11
94 3
95 1
96 3
97 11
98 13
99 5 ;
param v_min:=
0 0 15 1		0 0 1 1		0 1 15 1		0 1 2 1		0 2 15 1		0 2 3 1		0 3 15 1		0 3 4 1		0 4 15 1		0 4 5 1		0 5 15 1		0 5 6 1		0 6 15 1		0 6 7 1		0 7 15 1		0 7 8 1		0 8 15 1		0 8 9 1		0 9 15 1		0 9 10 1		0 10 15 1		0 10 11 1		0 11 15 1		0 11 12 1		0 12 15 1		0 12 13 1		0 13 15 1		0 13 14 1		0 14 15 1		0 14 0 1		0 15 0 1		0 1 0 1		0 15 1 1		0 2 1 1		0 15 2 1		0 3 2 1		0 15 3 1		0 4 3 1		0 15 4 1		0 5 4 1		0 15 5 1		0 6 5 1		0 15 6 1		0 7 6 1		0 15 7 1		0 8 7 1		0 15 8 1		0 9 8 1		0 15 9 1		0 10 9 1		0 15 10 1		0 11 10 1		0 15 11 1		0 12 11 1		0 15 12 1		0 13 12 1		0 15 13 1		0 14 13 1		0 15 14 1		0 0 14 1		
1 0 15 1		1 0 1 1		1 1 15 1		1 1 2 1		1 2 15 1		1 2 3 1		1 3 15 1		1 3 4 1		1 4 15 1		1 4 5 1		1 5 15 1		1 5 6 1		1 6 15 1		1 6 7 1		1 7 15 1		1 7 8 1		1 8 15 1		1 8 9 1		1 9 15 1		1 9 10 1		1 10 15 1		1 10 11 1		1 11 15 1		1 11 12 1		1 12 15 1		1 12 13 1		1 13 15 1		1 13 14 1		1 14 15 1		1 14 0 1		1 15 0 1		1 1 0 1		1 15 1 1		1 2 1 1		1 15 2 1		1 3 2 1		1 15 3 1		1 4 3 1		1 15 4 1		1 5 4 1		1 15 5 1		1 6 5 1		1 15 6 1		1 7 6 1		1 15 7 1		1 8 7 1		1 15 8 1		1 9 8 1		1 15 9 1		1 10 9 1		1 15 10 1		1 11 10 1		1 15 11 1		1 12 11 1		1 15 12 1		1 13 12 1		1 15 13 1		1 14 13 1		1 15 14 1		1 0 14 1		
2 0 15 1		2 0 1 1		2 1 15 1		2 1 2 1		2 2 15 1		2 2 3 1		2 3 15 1		2 3 4 1		2 4 15 1		2 4 5 1		2 5 15 1		2 5 6 1		2 6 15 1		2 6 7 1		2 7 15 1		2 7 8 1		2 8 15 1		2 8 9 1		2 9 15 1		2 9 10 1		2 10 15 1		2 10 11 1		2 11 15 1		2 11 12 1		2 12 15 1		2 12 13 1		2 13 15 1		2 13 14 1		2 14 15 1		2 14 0 1		2 15 0 1		2 1 0 1		2 15 1 1		2 2 1 1		2 15 2 1		2 3 2 1		2 15 3 1		2 4 3 1		2 15 4 1		2 5 4 1		2 15 5 1		2 6 5 1		2 15 6 1		2 7 6 1		2 15 7 1		2 8 7 1		2 15 8 1		2 9 8 1		2 15 9 1		2 10 9 1		2 15 10 1		2 11 10 1		2 15 11 1		2 12 11 1		2 15 12 1		2 13 12 1		2 15 13 1		2 14 13 1		2 15 14 1		2 0 14 1		
3 0 15 1		3 0 1 1		3 1 15 1		3 1 2 1		3 2 15 1		3 2 3 1		3 3 15 1		3 3 4 1		3 4 15 1		3 4 5 1		3 5 15 1		3 5 6 1		3 6 15 1		3 6 7 1		3 7 15 1		3 7 8 1		3 8 15 1		3 8 9 1		3 9 15 1		3 9 10 1		3 10 15 1		3 10 11 1		3 11 15 1		3 11 12 1		3 12 15 1		3 12 13 1		3 13 15 1		3 13 14 1		3 14 15 1		3 14 0 1		3 15 0 1		3 1 0 1		3 15 1 1		3 2 1 1		3 15 2 1		3 3 2 1		3 15 3 1		3 4 3 1		3 15 4 1		3 5 4 1		3 15 5 1		3 6 5 1		3 15 6 1		3 7 6 1		3 15 7 1		3 8 7 1		3 15 8 1		3 9 8 1		3 15 9 1		3 10 9 1		3 15 10 1		3 11 10 1		3 15 11 1		3 12 11 1		3 15 12 1		3 13 12 1		3 15 13 1		3 14 13 1		3 15 14 1		3 0 14 1		
