param nf:= 100 ;
param nn:= 16 ;
param: E: d:=
 0 1 10
 0 4 10
 1 2 10
 1 5 10
 2 3 10
 2 6 10
 3 7 10
 4 5 10
 4 8 10
 5 6 10
 5 9 10
 6 7 10
 6 10 10
 7 11 10
 8 9 10
 8 12 10
 9 10 10
 9 13 10
 10 11 10
 10 14 10
 11 15 10
 12 13 10
 13 14 10
 14 15 10
 1 0 10
 4 0 10
 2 1 10
 5 1 10
 3 2 10
 6 2 10
 7 3 10
 5 4 10
 8 4 10
 6 5 10
 9 5 10
 7 6 10
 10 6 10
 11 7 10
 9 8 10
 12 8 10
 10 9 10
 13 9 10
 11 10 10
 14 10 10
 15 11 10
 13 12 10
 14 13 10
 15 14 10;
param s:=
0 1
1 2
2 5
3 8
4 1
5 13
6 11
7 8
8 0
9 14
10 12
11 5
12 7
13 5
14 5
15 11
16 14
17 11
18 5
19 14
20 15
21 15
22 14
23 14
24 7
25 5
26 15
27 9
28 9
29 15
30 2
31 0
32 3
33 1
34 7
35 4
36 7
37 1
38 1
39 11
40 7
41 2
42 2
43 1
44 11
45 4
46 5
47 12
48 7
49 1
50 11
51 9
52 15
53 9
54 1
55 12
56 15
57 2
58 3
59 14
60 12
61 10
62 10
63 8
64 0
65 1
66 1
67 5
68 14
69 1
70 7
71 2
72 2
73 11
74 13
75 0
76 1
77 13
78 3
79 7
80 3
81 5
82 3
83 0
84 14
85 12
86 6
87 13
88 1
89 5
90 15
91 0
92 11
93 11
94 0
95 3
96 6
97 14
98 13
99 14 ;
param e:=
0 2
1 11
2 9
3 6
4 5
5 12
6 14
7 1
8 11
9 10
10 13
11 7
12 0
13 10
14 4
15 5
16 13
17 14
18 12
19 7
20 8
21 11
22 11
23 15
24 10
25 8
26 9
27 13
28 6
29 11
30 10
31 6
32 1
33 8
34 3
35 8
36 6
37 13
38 11
39 5
40 0
41 3
42 0
43 0
44 8
45 5
46 0
47 1
48 4
49 0
50 3
51 10
52 0
53 14
54 8
55 4
56 7
57 10
58 0
59 4
60 15
61 4
62 8
63 13
64 4
65 8
66 4
67 3
68 7
69 7
70 14
71 8
72 7
73 8
74 8
75 4
76 12
77 5
78 2
79 3
80 0
81 7
82 6
83 14
84 9
85 6
86 13
87 0
88 13
89 3
90 11
91 3
92 9
93 9
94 13
95 9
96 0
97 1
98 15
99 6 ;
param v_min:=
0 0 1 1		0 0 4 1		0 1 2 1		0 1 5 1		0 2 3 1		0 2 6 1		0 3 7 1		0 4 5 1		0 4 8 1		0 5 6 1		0 5 9 1		0 6 7 1		0 6 10 1		0 7 11 1		0 8 9 1		0 8 12 1		0 9 10 1		0 9 13 1		0 10 11 1		0 10 14 1		0 11 15 1		0 12 13 1		0 13 14 1		0 14 15 1		0 1 0 1		0 4 0 1		0 2 1 1		0 5 1 1		0 3 2 1		0 6 2 1		0 7 3 1		0 5 4 1		0 8 4 1		0 6 5 1		0 9 5 1		0 7 6 1		0 10 6 1		0 11 7 1		0 9 8 1		0 12 8 1		0 10 9 1		0 13 9 1		0 11 10 1		0 14 10 1		0 15 11 1		0 13 12 1		0 14 13 1		0 15 14 1		
1 0 1 1		1 0 4 1		1 1 2 1		1 1 5 1		1 2 3 1		1 2 6 1		1 3 7 1		1 4 5 1		1 4 8 1		1 5 6 1		1 5 9 1		1 6 7 1		1 6 10 1		1 7 11 1		1 8 9 1		1 8 12 1		1 9 10 1		1 9 13 1		1 10 11 1		1 10 14 1		1 11 15 1		1 12 13 1		1 13 14 1		1 14 15 1		1 1 0 1		1 4 0 1		1 2 1 1		1 5 1 1		1 3 2 1		1 6 2 1		1 7 3 1		1 5 4 1		1 8 4 1		1 6 5 1		1 9 5 1		1 7 6 1		1 10 6 1		1 11 7 1		1 9 8 1		1 12 8 1		1 10 9 1		1 13 9 1		1 11 10 1		1 14 10 1		1 15 11 1		1 13 12 1		1 14 13 1		1 15 14 1		
2 0 1 1		2 0 4 1		2 1 2 1		2 1 5 1		2 2 3 1		2 2 6 1		2 3 7 1		2 4 5 1		2 4 8 1		2 5 6 1		2 5 9 1		2 6 7 1		2 6 10 1		2 7 11 1		2 8 9 1		2 8 12 1		2 9 10 1		2 9 13 1		2 10 11 1		2 10 14 1		2 11 15 1		2 12 13 1		2 13 14 1		2 14 15 1		2 1 0 1		2 4 0 1		2 2 1 1		2 5 1 1		2 3 2 1		2 6 2 1		2 7 3 1		2 5 4 1		2 8 4 1		2 6 5 1		2 9 5 1		2 7 6 1		2 10 6 1		2 11 7 1		2 9 8 1		2 12 8 1		2 10 9 1		2 13 9 1		2 11 10 1		2 14 10 1		2 15 11 1		2 13 12 1		2 14 13 1		2 15 14 1		
3 0 1 1		3 0 4 1		3 1 2 1		3 1 5 1		3 2 3 1		3 2 6 1		3 3 7 1		3 4 5 1		3 4 8 1		3 5 6 1		3 5 9 1		3 6 7 1		3 6 10 1		3 7 11 1		3 8 9 1		3 8 12 1		3 9 10 1		3 9 13 1		3 10 11 1		3 10 14 1		3 11 15 1		3 12 13 1		3 13 14 1		3 14 15 1		3 1 0 1		3 4 0 1		3 2 1 1		3 5 1 1		3 3 2 1		3 6 2 1		3 7 3 1		3 5 4 1		3 8 4 1		3 6 5 1		3 9 5 1		3 7 6 1		3 10 6 1		3 11 7 1		3 9 8 1		3 12 8 1		3 10 9 1		3 13 9 1		3 11 10 1		3 14 10 1		3 15 11 1		3 13 12 1		3 14 13 1		3 15 14 1		
4 0 1 1		4 0 4 1		4 1 2 1		4 1 5 1		4 2 3 1		4 2 6 1		4 3 7 1		4 4 5 1		4 4 8 1		4 5 6 1		4 5 9 1		4 6 7 1		4 6 10 1		4 7 11 1		4 8 9 1		4 8 12 1		4 9 10 1		4 9 13 1		4 10 11 1		4 10 14 1		4 11 15 1		4 12 13 1		4 13 14 1		4 14 15 1		4 1 0 1		4 4 0 1		4 2 1 1		4 5 1 1		4 3 2 1		4 6 2 1		4 7 3 1		4 5 4 1		4 8 4 1		4 6 5 1		4 9 5 1		4 7 6 1		4 10 6 1		4 11 7 1		4 9 8 1		4 12 8 1		4 10 9 1		4 13 9 1		4 11 10 1		4 14 10 1		4 15 11 1		4 13 12 1		4 14 13 1		4 15 14 1		
5 0 1 1		5 0 4 1		5 1 2 1		5 1 5 1		5 2 3 1		5 2 6 1		5 3 7 1		5 4 5 1		5 4 8 1		5 5 6 1		5 5 9 1		5 6 7 1		5 6 10 1		5 7 11 1		5 8 9 1		5 8 12 1		5 9 10 1		5 9 13 1		5 10 11 1		5 10 14 1		5 11 15 1		5 12 13 1		5 13 14 1		5 14 15 1		5 1 0 1		5 4 0 1		5 2 1 1		5 5 1 1		5 3 2 1		5 6 2 1		5 7 3 1		5 5 4 1		5 8 4 1		5 6 5 1		5 9 5 1		5 7 6 1		5 10 6 1		5 11 7 1		5 9 8 1		5 12 8 1		5 10 9 1		5 13 9 1		5 11 10 1		5 14 10 1		5 15 11 1		5 13 12 1		5 14 13 1		5 15 14 1		
