param nf:= 100 ;
param nn:= 36 ;
param: E: d:=
 0 1 10
 0 6 10
 1 2 10
 1 7 10
 2 3 10
 2 8 10
 3 4 10
 3 9 10
 4 5 10
 4 10 10
 5 11 10
 6 7 10
 6 12 10
 7 8 10
 7 13 10
 8 9 10
 8 14 10
 9 10 10
 9 15 10
 10 11 10
 10 16 10
 11 17 10
 12 13 10
 12 18 10
 13 14 10
 13 19 10
 14 15 10
 14 20 10
 15 16 10
 15 21 10
 16 17 10
 16 22 10
 17 23 10
 18 19 10
 18 24 10
 19 20 10
 19 25 10
 20 21 10
 20 26 10
 21 22 10
 21 27 10
 22 23 10
 22 28 10
 23 29 10
 24 25 10
 24 30 10
 25 26 10
 25 31 10
 26 27 10
 26 32 10
 27 28 10
 27 33 10
 28 29 10
 28 34 10
 29 35 10
 30 31 10
 31 32 10
 32 33 10
 33 34 10
 34 35 10
 1 0 10
 6 0 10
 2 1 10
 7 1 10
 3 2 10
 8 2 10
 4 3 10
 9 3 10
 5 4 10
 10 4 10
 11 5 10
 7 6 10
 12 6 10
 8 7 10
 13 7 10
 9 8 10
 14 8 10
 10 9 10
 15 9 10
 11 10 10
 16 10 10
 17 11 10
 13 12 10
 18 12 10
 14 13 10
 19 13 10
 15 14 10
 20 14 10
 16 15 10
 21 15 10
 17 16 10
 22 16 10
 23 17 10
 19 18 10
 24 18 10
 20 19 10
 25 19 10
 21 20 10
 26 20 10
 22 21 10
 27 21 10
 23 22 10
 28 22 10
 29 23 10
 25 24 10
 30 24 10
 26 25 10
 31 25 10
 27 26 10
 32 26 10
 28 27 10
 33 27 10
 29 28 10
 34 28 10
 35 29 10
 31 30 10
 32 31 10
 33 32 10
 34 33 10
 35 34 10;
param s:=
0 15
1 6
2 30
3 5
4 1
5 35
6 3
7 33
8 23
9 11
10 16
11 1
12 17
13 10
14 18
15 5
16 24
17 15
18 15
19 17
20 35
21 0
22 19
23 12
24 27
25 27
26 10
27 19
28 2
29 2
30 17
31 34
32 21
33 12
34 26
35 28
36 11
37 27
38 35
39 20
40 3
41 17
42 7
43 11
44 29
45 2
46 5
47 20
48 20
49 20
50 26
51 18
52 28
53 8
54 24
55 21
56 23
57 29
58 23
59 6
60 13
61 13
62 3
63 9
64 34
65 15
66 2
67 33
68 26
69 30
70 15
71 26
72 2
73 26
74 15
75 13
76 12
77 2
78 16
79 33
80 14
81 16
82 20
83 20
84 25
85 31
86 5
87 13
88 21
89 30
90 26
91 13
92 21
93 31
94 17
95 2
96 8
97 3
98 29
99 25 ;
param e:=
0 19
1 25
2 9
