instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex10nDr0nDe2,30,4.944836,0.606220,0.118799,4,1
metroplex14nDr0nDe2,30,5.694236,0.515008,0.089023,4,1
metroplex19nDr0nDe2,30,4.157895,0.476025,0.106101,4,1
metroplex13nDr0nDe1,30,11.055138,0.709270,0.316501,4,2
metroplex23nDr0nDe2,30,11.130326,0.541607,0.150213,4,1
metroplex20nDr0nDe1,30,3.310777,1.243368,0.248188,4,1
airport13nDr0nDe1,30,1.305764,0.672186,0.109349,4,1
metroplex19nDr0nDe3,30,4.220551,1.684539,0.747100,4,2
metroplex17nDr0nDe2,30,4.421053,1.678168,0.276372,4,1
airport14nDr0nDe2,30,1.518797,1.235714,0.141169,4,1
metroplex17nDr0nDe3,30,52.478697,1.838443,1.037334,6,4
airport23nDr0nDe2,30,1.466165,1.372316,0.160694,4,1
airport20nDr0nDe1,30,3.378446,0.948275,0.157044,4,1
airport19nDr0nDe3,30,1.646617,0.703907,0.080416,4,1
airport17nDr0nDe3,30,3.822055,0.647162,0.096869,4,1
grid14nDr0nDe2,30,2.842105,0.790396,0.161400,4,1
metroplex20nDr0nDe2,30,12.531328,2.672466,1.155515,4,2
metroplex1nDr0nDe3,30,10.112782,2.720147,1.025566,4,2
metroplex13nDr0nDe2,30,28.741559,2.912621,1.502380,6,4
metroplex12nDr0nDe3,30,11.508772,3.044529,0.231549,5,1
metroplex12nDr0nDe1,30,7.842105,3.256292,0.297628,5,1
grid13nDr0nDe1,30,5.932331,1.914709,1.887415,4,4
metroplex12nDr0nDe2,30,8.894737,3.593480,1.262210,4,2
metroplex27nDr0nDe1,30,3.954887,3.623317,1.581892,4,2
metroplex1nDr0nDe1,30,11.250627,3.835768,0.537123,4,1
metroplex13nDr0nDe3,30,7.674185,3.970987,1.703471,4,2
airport20nDr0nDe2,30,3.568922,1.019928,0.158082,4,1
grid20nDr0nDe1,30,3.375940,1.739319,0.206551,6,1
metroplex27nDr0nDe3,30,9.022556,4.092273,1.558636,5,2
grid17nDr0nDe3,30,7.912281,1.511123,0.264808,4,1
airport17nDr0nDe2,30,1.476190,2.576924,0.281290,4,1
metroplex0nDr0nDe1,30,3.298246,4.933893,3.564037,4,3
metroplex22nDr0nDe3,30,14.957393,4.474817,2.806932,5,3
metroplex22nDr0nDe2,30,4.661654,4.508252,1.982120,4,2
airport27nDr0nDe1,30,1.075188,0.745701,0.096507,4,1
grid19nDr0nDe3,30,7.511278,2.238025,1.010416,4,2
airport1nDr0nDe1,30,0.979950,0.911303,0.097785,4,1
metroplex27nDr0nDe2,30,6.117794,4.970141,1.233511,6,2
airport13nDr0nDe2,30,3.832080,2.296185,0.179374,4,1
airport0nDr0nDe1,30,1.075188,0.787976,0.078834,4,1
metroplex14nDr0nDe3,30,9.300752,5.897407,2.650868,4,2
metroplex17nDr0nDe1,30,2.904762,5.827475,0.737373,4,1
airport22nDr0nDe2,30,1.581454,0.826435,0.094997,4,1
metroplex26nDr0nDe1,30,2.488722,6.078182,2.353892,4,2
metroplex22nDr0nDe1,30,4.476190,6.121552,2.550600,4,2
grid17nDr0nDe2,30,6.481203,1.911953,0.266911,4,1
airport27nDr0nDe3,30,2.754386,2.203112,0.184150,4,1
grid20nDr0nDe2,30,10.180451,2.810371,0.467099,4,1
grid13nDr0nDe2,30,6.686717,1.446930,0.302631,4,1
airport17nDr0nDe1,30,1.200501,0.727138,0.117571,4,1
airport22nDr0nDe3,30,1.593985,2.419912,0.222779,4,1
metroplex29nDr0nDe1,30,3.090226,2.764336,1.309551,4,2
