instance,timeLim,opt,totalTime,bestTime,nIter,optIter
airport23,30,1.315789,5.519613,0.386526,4,1
airport1,30,0.421053,5.998729,0.406543,4,1
airport17,30,1.157895,6.108778,0.395555,4,1
airport25,30,4.428571,6.888880,0.645010,4,1
airport24,30,8001.842105,7.224380,0.367724,4,1
airport13,30,1001.578947,7.613809,0.406970,4,1
airport16,30,1.997494,7.659830,2.238939,4,2
airport27,30,1001.473684,7.692900,0.403414,4,1
airport19,30,1001.736842,7.763462,0.439785,4,1
airport18,30,1.684211,7.818408,0.503577,4,1
airport11,30,1.681704,8.521176,0.523284,4,1
airport26,30,1001.947368,8.648077,2.635585,4,2
airport20,30,2.776942,9.216927,0.626332,4,1
airport22,30,1001.210526,9.498835,0.537099,4,1
airport15,30,1000.052632,9.573747,0.523367,4,1
airport0,30,1002.418546,10.035892,2.692255,4,2
airport10,30,3.431078,10.437414,0.507205,4,1
airport21,30,2.052632,10.817020,0.487948,4,1
airport12,30,2001.105263,13.771019,0.716210,4,1
airport14,30,1.095238,14.694178,0.781121,4,1
airport41,30,1.681704,4.569568,0.451366,4,1
airport2,30,1001.473684,8.832228,0.674692,4,1
airport30,30,1001.473684,8.189888,0.695796,4,1
airport32,30,1001.105263,9.135116,0.577651,4,1
airport28,30,1.105263,11.343880,1.127211,4,1
airport42,30,1001.631579,7.030016,0.688657,4,1
airport31,30,1.681704,10.411163,0.903923,4,1
airport38,30,1.105263,9.138410,0.757851,4,1
airport29,30,1001.473684,12.113447,0.983977,4,1
airport3,30,1001.526316,9.720360,0.691461,4,1
airport37,30,0.333333,11.286209,0.921021,4,1
airport36,30,1.105263,11.891803,0.780799,4,1
airport43,30,1001.315789,8.957585,0.542774,4,1
airport40,30,1.315789,11.211136,0.645732,4,1
airport34,30,1.892231,13.801592,5.590854,4,2
airport44,30,1001.210526,7.997192,0.707992,4,1
airport33,30,2001.105263,14.412017,1.337381,4,1
airport35,30,1.491228,14.805059,0.998590,4,1
airport39,30,1.421053,14.218647,0.824677,4,1
airport52,30,1.842105,6.169170,0.400520,4,1
airport45,30,1.200501,11.149427,1.081808,4,1
airport55,30,4001.105263,7.181806,0.624129,4,1
airport49,30,1.315789,10.510421,0.811325,4,1
airport51,30,1.789474,10.572515,0.544101,4,1
airport4,30,1001.210526,11.687180,0.768801,4,1
airport54,30,2001.105263,9.790461,0.992723,4,1
airport47,30,1.842105,14.779542,1.029712,4,1
airport53,30,1.095238,11.788272,0.704751,4,1
airport61,30,1001.157895,7.593897,0.604142,4,1
airport58,30,2001.105263,9.803056,0.602995,4,1
airport48,30,2.210526,15.492340,1.014274,4,1
airport46,30,1.105263,16.736345,1.095606,4,1
airport57,30,1002.052632,11.486323,0.802278,4,1
airport5,30,1.681704,9.661643,0.945924,4,1
airport59,30,1001.681704,9.892967,3.304080,4,2
airport50,30,1.105263,15.052034,1.585673,4,1
airport56,30,1001.105263,12.978358,0.870418,4,1
airport63,30,1001.681704,8.449259,0.707146,4,1
airport64,30,1001.681704,8.443288,3.746531,4,2
airport60,30,1.105263,12.975075,5.900652,4,2
airport62,30,1001.473684,11.956553,0.807277,4,1
airport66,30,1002.105263,9.321737,0.574242,4,1
airport69,30,3.260652,8.639701,1.041756,4,1
airport67,30,1002.892231,10.109882,0.747411,4,1
airport71,30,2.007519,8.370502,5.597121,4,3
airport68,30,1001.421053,10.050880,0.608576,4,1
airport73,30,0.761905,9.111161,1.026462,4,1
airport72,30,1.421053,9.772252,0.717896,4,1
airport75,30,1001.157895,10.192982,0.845588,4,1
airport7,30,1001.105263,9.003623,0.953695,4,1
airport78,30,2002.428571,9.226930,0.983190,4,1
airport65,30,1001.105263,15.041137,1.156473,4,1
airport76,30,1001.681704,10.591823,1.075154,4,1
airport81,30,1.105263,7.767183,0.552864,4,1
airport80,30,1.734336,9.190716,1.065881,4,1
airport77,30,3.260652,13.038356,1.641733,4,1
airport74,30,1002.293233,13.504410,9.258884,4,3
airport83,30,1.894737,7.919637,0.741069,4,1
airport82,30,1.681704,10.170511,1.067537,4,1
airport6,30,1.842105,16.029170,0.902915,4,1
airport70,30,1.872180,18.777795,1.427065,4,1
airport86,30,1.681704,10.209437,1.065419,4,1
airport85,30,1000.807018,11.347136,0.523283,4,1
airport91,30,1001.473684,8.086572,0.582060,4,1
airport84,30,1.157895,12.059673,0.749473,4,1
airport8,30,2001.210526,9.891313,0.897222,4,1
airport79,30,1.681704,18.256101,1.311406,4,1
airport88,30,3000.000000,12.091624,0.724323,4,1
airport92,30,1001.776942,10.353751,4.737158,4,2
airport90,30,1002.015038,11.460044,4.739379,4,2
airport95,30,1.421053,10.690129,0.743232,4,1
airport93,30,1.105263,11.703391,0.731486,4,1
airport96,30,1.105263,10.615329,10.587961,4,4
airport94,30,1001.263158,12.067604,3.960740,4,2
airport99,30,8001.305764,10.056939,0.772025,4,1
airport98,30,1.681704,11.391648,1.062465,4,1
airport97,30,1001.315789,13.206091,0.828498,4,1
airport87,30,1.681704,19.612611,8.936156,4,2
grid0,30,2004.864662,15.939897,6.409608,4,2
airport9,30,2.388471,18.939310,7.510066,4,2
grid10,30,0.000000,16.006749,2.245449,3,1
grid14,30,1002.265664,17.848938,7.546744,4,2
grid18,30,1002.508772,16.979945,1.515446,4,1
grid12,30,1003.791980,23.723661,11.505879,4,2
grid13,30,2.872180,24.374390,10.110673,4,2
grid24,30,2.699248,18.530102,7.650161,4,2
grid25,30,2003.483709,19.814283,8.539651,4,2
grid20,30,2.020050,25.503624,3.284356,4,1
grid23,30,1001.771930,24.618124,1.995038,5,1
grid19,30,3008.478697,29.402792,2.919962,5,1
grid26,30,1008.383459,25.027754,16.905238,4,3
grid11,30,2.157895,35.042441,7.443228,7,2
grid2,30,3.388471,22.304241,9.591718,4,2
grid30,30,1002.631579,20.656836,1.891954,4,1
grid27,30,0.842105,29.401495,1.444859,5,1
grid21,30,4005.456140,38.619005,8.065477,6,2
grid33,30,2.661654,17.236672,7.057429,4,2
grid1,30,1000.947368,42.446904,1.869755,10,1
grid37,30,3.270677,20.472314,1.984873,5,1
grid3,30,3003.253133,17.592857,13.602924,7,6
grid28,30,5.263158,44.546477,2.729285,6,1
grid40,30,1.210526,17.980009,7.026716,4,2
grid43,30,2003.328321,17.437958,7.759745,4,2
grid41,30,1008.208020,24.332838,2.585567,4,1
grid47,30,5002.543860,16.848097,1.727830,4,1
grid34,30,1007.340852,49.937621,2.291905,7,1
grid49,30,0.684211,18.198339,2.135647,4,1
grid29,30,1007.110276,79.631894,5.269156,7,1
grid16,30,4003.002506,107.270200,1.791787,10,1
grid46,30,1.157895,51.023951,5.885444,8,2
grid52,30,1.263158,32.486190,1.041266,6,1
grid48,30,1.736842,62.921480,1.394366,10,1
grid56,30,3002.263158,16.057562,1.770496,4,1
grid38,30,8002.576441,114.759726,2.122125,17,1
grid50,30,1.330827,84.494456,2.894802,5,1
grid58,30,1005.388471,44.327678,2.536326,7,1
grid5,30,1001.000000,19.527855,8.349849,4,2
grid59,30,5027.578947,48.755506,32.631337,7,5
grid31,30,1.789474,181.508640,0.885360,21,1
grid61,30,4.027569,33.322783,2.662483,5,1
grid63,30,4007.047619,40.024586,3.170071,5,1
grid62,30,4001.907268,52.080012,2.870757,7,1
grid64,30,0.052632,38.657028,2.673596,6,1
grid35,30,1003.235589,232.976522,16.782270,11,3
grid66,30,8001.817043,18.724516,2.098606,4,1
grid65,30,0.789474,32.066303,1.896088,5,1
grid68,30,1.208020,20.337616,9.429145,4,2
grid4,30,0.468672,217.805196,3.333716,11,1
grid45,30,1004.518797,252.870469,3.253798,11,1
grid70,30,7.057644,23.254176,8.503275,4,2
grid71,30,1.000000,25.118880,2.710731,4,1
grid6,30,7001.684211,31.568596,1.304300,6,1
grid72,30,4003.020050,25.436960,3.040437,4,1
grid42,30,0.000000,297.079770,1.549549,16,1
grid76,30,9001.368421,18.335296,2.396786,4,1
grid75,30,8001.473684,45.193036,2.414490,8,1
grid44,30,1009.929825,314.651732,13.334395,17,2
grid74,30,1000.578947,51.224745,1.284882,7,1
grid67,30,2003.052632,112.695864,1.401910,11,1
grid77,30,5005.185464,32.316511,1.561393,5,1
grid78,30,1.959900,21.498760,2.048005,5,1
grid79,30,2.368421,18.107217,7.614808,4,2
grid73,30,2.263158,77.448202,2.256880,7,1
grid82,30,0.759398,16.645874,1.446283,4,1
grid55,30,1.097744,288.616510,8.868942,13,2
grid85,30,6.165414,19.481933,3.212458,4,1
grid80,30,1.609023,44.098662,1.336026,5,1
grid89,30,6.992481,19.932403,6.768215,4,2
grid83,30,2.080201,55.476062,3.916568,8,1
grid86,30,1010.012531,42.626761,17.033595,5,2
grid88,30,1.090226,33.269111,2.100128,6,1
grid54,30,1002.957393,339.224358,7.374841,21,2
grid91,30,3.884712,16.158923,5.572004,4,2
grid8,30,0.157895,25.884203,1.664230,6,1
grid92,30,1006.842105,17.783839,7.413160,4,2
grid93,30,1001.503759,17.802405,8.698597,4,2
grid96,30,2.862155,16.021983,4.940877,4,2
grid95,30,3001.526316,20.964145,0.781848,6,1
grid97,30,1003.771930,13.056670,9.770842,4,3
grid94,30,1004.248120,30.190364,1.815317,6,1
grid84,30,1002.022556,117.791927,1.325667,13,1
grid9,30,1.120301,15.863990,2.922073,4,1
metroplex0,30,6.441103,16.134692,6.901496,4,2
grid98,30,4006.260652,26.431484,1.183853,7,1
grid15,30,2.428571,505.763300,9.392340,17,2
metroplex13,30,5.090226,19.296207,10.494279,4,2
metroplex14,30,1002.844612,18.331608,13.133167,4,3
metroplex12,30,46.358396,30.295729,14.780471,6,4
metroplex15,30,1002.721805,16.214906,16.097787,4,4
metroplex16,30,1002.847118,17.291142,12.555136,4,3
metroplex11,30,1004.127820,46.262720,3.138431,8,1
metroplex17,30,5002.210526,23.256815,7.079430,5,2
grid99,30,1001.363409,84.332766,71.956572,12,9
metroplex19,30,1011.338346,48.258713,4.202773,6,1
grid87,30,4.275689,193.288792,1.683380,9,1
metroplex21,30,2010.167920,43.686599,35.800284,5,4
metroplex22,30,1002.751880,19.856122,8.583238,4,2
grid17,30,1004.037594,613.778154,3.251276,21,1
grid32,30,5.177945,598.533826,11.307933,21,2
metroplex23,30,8.425473,39.900375,12.182571,4,1
metroplex24,30,4.799499,32.669296,1.787439,7,1
metroplex18,30,16.250627,107.350776,84.987792,4,3
metroplex25,30,2.578947,36.237332,7.332927,10,3
metroplex26,30,1006.523810,34.945031,5.313339,7,2
metroplex2,30,23.413534,16.244473,3.445612,7,4
metroplex29,30,1002.365915,26.909119,7.012134,6,2
metroplex28,30,1001.388471,32.377485,8.268901,6,2
metroplex32,30,1004.295739,10.799532,1.106212,4,1
grid36,30,70.689223,643.471929,123.787094,21,7
metroplex27,30,1.919799,52.879811,5.350390,14,2
metroplex30,30,5011.548872,32.734088,2.305122,6,1
metroplex35,30,3.947368,15.199515,11.885293,5,4
grid60,30,1.263158,518.684269,2.614806,21,1
metroplex34,30,26.812030,27.046028,14.038006,6,4
