instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex14nDr0nDe2,30,5.694236,0.379412,0.082837,4,1
metroplex10nDr0nDe2,30,4.944836,0.490801,0.125662,4,1
metroplex13nDr0nDe1,30,11.055138,0.432586,0.198895,4,2
metroplex19nDr0nDe2,30,4.157895,0.319781,0.078540,4,1
metroplex23nDr0nDe2,30,11.130326,0.341418,0.090425,4,1
airport13nDr0nDe1,30,1.305764,0.562074,0.079988,4,1
airport14nDr0nDe2,30,1.518797,0.595358,0.084394,4,1
metroplex20nDr0nDe1,30,3.310777,0.956835,0.157847,4,1
metroplex19nDr0nDe3,30,4.220551,1.065571,0.517389,4,2
grid14nDr0nDe2,30,2.842105,0.411706,0.091959,4,1
metroplex17nDr0nDe2,30,4.421053,1.480555,0.217187,4,1
airport23nDr0nDe2,30,1.466165,0.908523,0.096714,4,1
metroplex17nDr0nDe3,30,52.478697,1.339500,0.769055,6,4
metroplex1nDr0nDe3,30,10.112782,1.717776,0.751590,4,2
airport19nDr0nDe3,30,1.646617,0.385910,0.065397,4,1
metroplex20nDr0nDe2,30,12.531328,1.702183,0.721407,4,2
airport20nDr0nDe1,30,3.378446,0.673823,0.081086,4,1
metroplex12nDr0nDe1,30,7.842105,2.042861,0.211964,5,1
metroplex12nDr0nDe2,30,8.894737,2.088103,0.962550,4,2
airport17nDr0nDe3,30,3.822055,0.426149,0.062670,4,1
grid13nDr0nDe1,30,5.932331,1.013519,1.000181,4,4
metroplex27nDr0nDe1,30,3.954887,1.890317,0.805635,4,2
metroplex12nDr0nDe3,30,11.508772,2.264722,0.207379,5,1
metroplex13nDr0nDe3,30,7.674185,2.239327,1.054336,4,2
metroplex13nDr0nDe2,30,28.741559,2.323250,1.284756,6,4
metroplex22nDr0nDe2,30,4.661654,2.586239,1.116634,4,2
metroplex27nDr0nDe3,30,9.022556,2.570617,0.990563,5,2
airport20nDr0nDe2,30,3.568922,0.729433,0.086173,4,1
metroplex0nDr0nDe1,30,3.298246,3.208394,2.404795,4,3
airport27nDr0nDe1,30,1.075188,0.574328,0.083240,4,1
metroplex1nDr0nDe1,30,11.250627,2.874662,0.427115,4,1
metroplex22nDr0nDe3,30,14.957393,2.887938,1.650332,5,3
airport17nDr0nDe2,30,1.476190,1.499978,0.148362,4,1
grid17nDr0nDe3,30,7.912281,1.007302,0.168479,4,1
grid20nDr0nDe1,30,3.375940,1.418985,0.119964,6,1
airport22nDr0nDe2,30,1.581454,0.549647,0.081210,4,1
grid19nDr0nDe3,30,7.511278,1.627593,0.813982,4,2
airport0nDr0nDe1,30,1.075188,0.483442,0.069679,4,1
metroplex27nDr0nDe2,30,6.117794,3.457425,0.966161,6,2
metroplex22nDr0nDe1,30,4.476190,3.586914,1.639084,4,2
airport1nDr0nDe1,30,0.979950,0.613540,0.083522,4,1
airport13nDr0nDe2,30,3.832080,1.333624,0.143592,4,1
metroplex17nDr0nDe1,30,2.904762,3.895652,0.395012,4,1
metroplex26nDr0nDe1,30,2.488722,4.187034,1.710238,4,2
metroplex14nDr0nDe3,30,9.300752,4.147115,2.110809,4,2
grid17nDr0nDe2,30,6.481203,1.205481,0.172082,4,1
grid20nDr0nDe2,30,10.180451,1.637588,0.263165,4,1
airport17nDr0nDe1,30,1.200501,0.490692,0.083688,4,1
airport27nDr0nDe3,30,2.754386,1.760091,0.158680,4,1
metroplex18nDr0nDe1,30,5.147870,4.921886,4.887226,4,4
airport22nDr0nDe1,30,1.270677,1.287313,0.137075,4,1
grid27nDr0nDe1,30,3.769424,2.312700,0.871253,4,2
grid13nDr0nDe2,30,6.686717,1.316443,0.221927,4,1
airport22nDr0nDe3,30,1.593985,2.071446,0.142008,4,1
airport12nDr0nDe1,30,0.884712,3.399151,0.226977,4,1
metroplex29nDr0nDe1,30,3.090226,1.895806,0.792087,4,2
airport18nDr0nDe1,30,1.548872,0.417111,0.064820,4,1
metroplex19nDr0nDe1,30,4.315789,5.503129,2.393922,4,2
metroplex29nDr0nDe2,30,4.037594,2.000435,0.300570,4,1
