instance,timeLim,opt,totalTime,bestTime,nIter,optIter
airport23,30,1.315789,4.581611,0.341644,4,1
airport17,30,1.157895,5.067819,0.394324,4,1
airport1,30,0.421053,5.121276,0.410955,4,1
airport25,30,4.428571,5.293223,0.649017,4,1
airport16,30,1.997494,5.823268,2.286096,4,2
airport19,30,1001.736842,5.796655,0.451479,4,1
airport27,30,1001.473684,5.816774,0.397251,4,1
airport11,30,1.681704,5.958296,0.527613,4,1
airport24,30,8001.842105,5.955609,0.365588,4,1
airport18,30,1.684211,6.092555,0.575779,4,1
airport13,30,1001.578947,6.172299,0.398682,4,1
airport26,30,1001.947368,6.620313,2.558786,4,2
airport20,30,2.776942,6.640219,0.643885,4,1
airport10,30,3.431078,6.915120,0.537488,4,1
airport22,30,1001.210526,6.911998,0.539492,4,1
airport0,30,1002.418546,7.116593,2.808264,4,2
airport21,30,2.052632,7.107517,0.485752,4,1
airport15,30,1000.052632,7.256627,0.512604,4,1
airport12,30,2001.105263,9.198556,0.714454,4,1
airport41,30,1.681704,2.667207,0.355363,4,1
airport14,30,1.095238,10.209314,0.780723,4,1
airport30,30,1001.473684,4.824540,0.391047,4,1
airport28,30,1.105263,6.365017,0.500572,4,1
airport32,30,1001.105263,5.057690,0.376681,4,1
airport2,30,1001.473684,5.899735,0.384811,4,1
airport42,30,1001.631579,4.142930,0.331221,4,1
airport31,30,1.681704,5.503141,0.483452,4,1
airport38,30,1.105263,4.799771,0.431720,4,1
airport37,30,0.333333,5.447524,0.482191,4,1
airport43,30,1001.315789,5.203716,0.361558,4,1
airport29,30,1001.473684,7.477008,0.564973,4,1
airport36,30,1.105263,6.380960,0.571359,4,1
airport40,30,1.315789,5.772420,0.396279,4,1
airport3,30,1001.526316,6.032744,0.386098,4,1
airport34,30,1.892231,7.185299,2.824415,4,2
airport44,30,1001.210526,4.206580,0.337761,4,1
airport33,30,2001.105263,7.537740,0.679395,4,1
airport35,30,1.491228,7.598761,0.504659,4,1
airport39,30,1.421053,7.245690,0.428221,4,1
airport45,30,1.200501,6.061402,0.610105,4,1
airport52,30,1.842105,4.352156,0.338470,4,1
airport51,30,1.789474,5.178818,0.348094,4,1
airport49,30,1.315789,5.682825,0.423227,4,1
airport55,30,4001.105263,4.155426,0.351920,4,1
airport4,30,1001.210526,5.770658,0.389851,4,1
airport58,30,2001.105263,4.956463,0.406826,4,1
airport53,30,1.095238,6.304830,0.402456,4,1
airport47,30,1.842105,7.802053,0.483247,4,1
airport46,30,1.105263,8.149507,0.696294,4,1
airport54,30,2001.105263,5.612479,0.514493,4,1
airport61,30,1001.157895,4.569775,0.392449,4,1
airport59,30,1001.681704,5.660771,2.367241,4,2
airport5,30,1.681704,5.420261,0.520140,4,1
airport48,30,2.210526,8.045868,0.547304,4,1
airport57,30,1002.052632,6.600859,0.407671,4,1
airport50,30,1.105263,8.062839,0.704074,4,1
airport56,30,1001.105263,7.224331,0.497719,4,1
airport62,30,1001.473684,6.043793,0.413461,4,1
airport63,30,1001.681704,4.482634,0.409888,4,1
airport64,30,1001.681704,5.022037,1.958445,4,2
airport60,30,1.105263,7.677990,2.945843,4,2
airport66,30,1002.105263,4.904369,0.314702,4,1
airport68,30,1001.421053,5.545344,0.364295,4,1
airport71,30,2.007519,4.401260,3.057452,4,3
airport67,30,1002.892231,5.981270,0.394826,4,1
airport72,30,1.421053,4.601768,0.321797,4,1
