instance,timeLim,opt,totalTime,bestTime,nIter,optIter
airport25,30,3.433584,1.398680,0.628829,5,3
airport28,30,3.515413,1.756058,0.702470,4,2
airport20,30,5.050125,2.132890,0.889383,4,2
airport2,30,1.157895,2.076207,0.188564,4,1
airport18,30,1.157895,2.376241,0.219657,4,1
airport21,30,0.631579,2.436886,0.206957,4,1
airport15,30,1.210526,2.536599,0.267450,4,1
airport27,30,1.263158,3.151967,0.250374,4,1
airport13,30,0.848008,3.361609,0.307345,4,1
airport14,30,1.464422,3.814941,0.296516,4,1
airport16,30,3.247886,4.423600,0.650482,4,1
airport32,30,0.947368,2.216290,0.201277,4,1
airport24,30,6.310777,4.683293,0.360184,4,1
airport38,30,0.842105,1.431987,0.157984,4,1
airport17,30,1.210526,5.109435,1.023290,6,3
airport29,30,1.473684,6.000055,0.369282,4,1
airport1,30,1.421053,6.577066,2.403347,7,4
airport40,30,1.157895,1.826200,0.214669,4,1
airport31,30,2.126514,4.624381,1.925482,4,2
airport41,30,0.315789,2.125494,0.224573,4,1
airport43,30,1.894737,1.833496,0.182594,4,1
airport44,30,1.105263,2.681341,0.258700,4,1
airport4,30,0.788046,1.630739,0.209694,4,1
airport45,30,6.731830,2.493453,1.027772,4,2
airport47,30,5.873450,2.069807,0.526791,6,3
airport36,30,0.315789,6.347455,0.474674,4,1
airport3,30,1.201066,5.295681,0.630342,4,1
airport50,30,2.522368,2.780353,1.121122,4,2
airport35,30,6.907540,8.029735,1.420336,6,3
airport30,30,4.188024,9.792257,0.878307,7,2
airport48,30,1.315789,4.567936,0.329254,4,1
airport56,30,0.894737,1.945536,0.205359,4,1
airport52,30,1.413534,3.585939,0.544593,5,2
airport58,30,1.105263,1.997856,0.480689,6,3
airport57,30,3.389875,2.862978,0.305654,4,1
airport33,30,1.421053,11.455210,10.160919,6,5
airport55,30,2.816884,5.167461,2.060707,4,2
airport5,30,1.263158,3.169772,0.236720,4,1
airport53,30,1.315856,5.774293,0.360267,4,1
airport51,30,4.749664,7.225084,3.298045,4,2
airport39,30,1.421053,11.555621,7.145361,8,5
airport54,30,0.473684,6.529175,2.129517,5,2
airport61,30,1.157895,2.983694,0.257639,4,1
airport59,30,67.249793,4.522506,0.939407,5,2
airport64,30,1.423559,2.499330,1.782751,4,3
airport67,30,0.788048,1.534609,0.162339,4,1
airport37,30,1.157895,13.622820,7.773319,10,6
airport60,30,1.157895,4.738281,1.350365,9,6
airport72,30,0.789474,1.392351,0.149583,4,1
airport65,30,1.000000,3.341606,0.249035,4,1
airport62,30,0.947368,5.439310,0.405995,4,1
airport63,30,1.263158,5.326606,1.848019,5,2
airport74,30,1.210526,1.951065,0.195224,4,1
airport66,30,3.835528,4.601140,0.384907,4,1
airport78,30,1.000000,1.745080,0.186448,4,1
airport73,30,2.514772,3.382443,1.421244,4,2
airport75,30,10.416316,3.025044,0.251413,4,1
airport71,30,0.947368,4.822021,3.379943,4,3
airport81,30,0.842105,2.156527,0.208204,4,1
airport77,30,1.263158,4.022460,0.259815,4,1
airport76,30,1.105263,4.318067,0.322726,4,1
airport80,30,1.426399,3.297253,0.340540,4,1
airport70,30,0.684211,7.067850,0.361832,4,1
airport7,30,1.368421,4.264136,0.364713,4,1
airport6,30,1.315789,7.610249,0.432235,4,1
airport84,30,1.000000,3.574562,0.271751,4,1
airport87,30,1.036688,3.082636,0.239905,4,1
airport8,30,1.421053,3.078970,0.273547,4,1
airport91,30,1.789474,2.131349,0.187864,4,1
airport92,30,4.260652,2.475091,0.824983,5,2
airport79,30,1.000000,7.845306,0.425374,4,1
airport86,30,1.378625,4.935500,0.425309,4,1
airport85,30,0.469678,6.131956,0.497360,4,1
airport82,30,1.210526,6.384069,2.058307,5,2
airport83,30,2.002974,6.478298,2.108233,5,2
airport95,30,1.473684,1.842401,0.218323,4,1
airport88,30,3.090226,5.242505,5.229247,4,4
airport97,30,1.072200,1.678391,0.184440,4,1
airport90,30,0.789474,5.005841,0.506781,4,1
airport94,30,0.421053,6.329694,0.641313,4,1
airport99,30,1.157895,4.084108,3.411991,6,5
airport93,30,7.842122,9.034471,1.831137,5,2
airport9,30,1.315790,7.081789,0.284660,6,1
grid15,30,18.939850,6.760206,5.044948,7,6
grid19,30,11.256069,5.316504,2.243391,4,2
airport12,30,0.789474,36.309440,11.423491,12,4
airport96,30,1.000000,12.606447,1.438508,21,3
grid18,30,12.574852,7.486957,0.400927,5,1
grid13,30,3.455403,10.989854,4.959814,6,4
grid0,30,5.426075,12.244029,5.075318,4,2
grid21,30,2.699540,4.508074,3.137332,4,3
grid25,30,2.315789,3.046836,0.269631,4,1
grid26,30,3.536651,5.606789,2.302218,4,2
grid23,30,3.623898,9.064447,3.446488,4,2
grid16,30,5.132105,18.339118,5.349145,5,2
grid27,30,3.368421,9.086817,9.051475,4,4
grid1,30,9.063341,15.602059,6.011258,4,2
grid2,30,4.852223,7.429954,2.943155,4,2
airport11,30,15.332282,50.268633,41.105691,4,3
airport10,30,0.947368,50.709584,0.509326,21,1
grid12,30,4.086467,25.946440,16.892071,6,4
grid30,30,3.421053,10.153317,3.149959,5,2
grid38,30,7.763743,3.904441,0.315666,4,1
grid29,30,19.386183,13.951397,5.467107,4,2
grid34,30,2.513784,9.819593,0.536689,5,1
grid43,30,7.889633,8.963294,4.863971,5,3
airport34,30,29.767961,69.040146,57.272844,8,6
grid42,30,16.897097,18.803582,0.717148,5,1
grid37,30,38.087719,25.984945,17.033681,6,5
grid47,30,3.210526,4.876861,0.447044,4,1
airport0,30,79.884291,81.452199,21.804308,5,2
grid44,30,2.408438,24.238950,1.012233,5,1
grid49,30,4.687748,10.308316,7.178131,4,3
grid48,30,1.631579,21.447966,14.368323,9,6
grid50,30,2.210526,19.490444,8.472054,6,3
airport49,30,58.723758,96.300541,64.970773,5,4
grid53,30,10.557965,20.852067,8.159448,4,2
grid55,30,5.540635,19.681628,19.647983,5,5
grid56,30,28.654415,6.092866,2.947384,6,4
grid3,30,1.373028,78.389132,9.411888,18,3
grid59,30,3.125731,4.539651,1.854689,4,2
grid57,30,2.736842,15.492170,0.477728,6,1
grid54,30,0.947368,45.831548,5.809788,10,2
grid58,30,2.368421,24.337664,5.379887,6,2
grid39,30,29.838770,136.428046,66.825129,6,4
grid35,30,58.399220,145.171551,107.619278,6,5
grid63,30,36.685286,37.430054,5.576884,7,3
grid64,30,35.954694,36.812221,23.792192,7,5
grid65,30,3.045113,5.090236,3.576494,4,3
