instance,result,elapsedTime,totalSolveTime,totalTime
#seed = 0
airport1nDr1nDe1,0.095238,0.559547,1.326161,1.885708
airport1nDr0nDe1,0.190476,0.544665,1.508533,2.053198
airport0nDr0nDe3,1.142857,0.601799,2.242909,2.844708
airport0nDr0nDe1,0.285714,0.644147,2.533323,3.177470
airport5nDr1nDe0,0.000000,0.658915,2.485229,3.144144
airport1nDr0nDe3,0.857143,0.567346,2.834293,3.401639
airport5nDr0nDe2,0.380952,0.550654,2.884862,3.435516
airport4nDr0nDe1,0.190476,0.686268,2.797212,3.483480
airport5nDr0nDe3,0.857143,0.849789,3.031112,3.880901
airport1nDr0nDe2,0.476190,0.552415,3.959147,4.511562
airport3nDr1nDe0,0.000000,0.636663,3.891611,4.528274
airport2nDr1nDe0,0.000000,0.575658,4.204171,4.779829
airport0nDr1nDe0,0.000000,0.713306,4.332357,5.045663
airport5nDr1nDe1,0.190476,0.736590,4.194119,4.930709
airport4nDr0nDe2,0.666667,0.613832,4.847983,5.461815
airport5nDr0nDe1,0.571429,0.779217,4.567070,5.346287
airport3nDr0nDe1,0.666667,0.694628,4.978835,5.673463
airport2nDr0nDe1,0.333333,0.575690,5.117598,5.693288
airport4nDr1nDe0,0.000000,0.667353,5.062622,5.729975
airport4nDr0nDe3,0.809524,0.669329,5.028828,5.698157
airport4nDr1nDe1,0.333333,0.728301,5.033613,5.761914
airport1nDr1nDe0,0.000000,0.640894,5.273595,5.914489
airport3nDr1nDe1,0.190476,0.648732,5.318708,5.967440
airport2nDr0nDe2,0.761905,0.643990,5.352007,5.995997
airport0nDr0nDe2,0.380952,0.616621,5.664858,6.281479
airport3nDr0nDe2,0.619048,0.642299,5.656330,6.298629
airport3nDr0nDe3,1.428571,0.679279,5.671055,6.350334
airport2nDr1nDe1,0.333333,0.549144,5.951328,6.500472
airport0nDr1nDe1,0.190476,0.617314,6.073028,6.690342
grid3nDr1nDe0,0.000000,4.306451,2.652562,6.959013
airport2nDr0nDe3,0.476190,0.818803,6.678440,7.497243
grid3nDr0nDe1,0.230576,3.348622,5.497448,8.846070
grid0nDr1nDe0,0.000000,5.028101,3.906678,8.934779
grid2nDr1nDe0,0.000000,4.607699,4.342862,8.950561
grid3nDr1nDe1,0.516291,4.342466,5.020424,9.362890
grid4nDr1nDe0,0.000000,6.067081,4.523966,10.591047
grid5nDr1nDe1,2.684211,4.484618,7.213767,11.698385
metroplex2nDr1nDe0,0.000000,6.865455,5.035814,11.901269
grid4nDr0nDe1,1.087719,5.598555,6.832461,12.431016
metroplex1nDr1nDe0,0.000000,7.914285,5.467618,13.381903
metroplex0nDr0nDe1,0.666667,5.905675,7.515396,13.421071
grid2nDr1nDe1,0.285714,4.765451,8.900183,13.665634
metroplex0nDr1nDe0,0.000000,8.470691,5.824859,14.295550
grid4nDr0nDe2,0.476190,4.778377,9.695983,14.474360
grid4nDr1nDe1,0.468672,4.850777,10.044179,14.894956
grid0nDr0nDe1,0.761905,6.149119,9.316444,15.465563
metroplex3nDr1nDe0,-0.000000,7.896912,7.462701,15.359613
grid1nDr1nDe0,-0.000000,9.243953,6.792277,16.036230
grid2nDr0nDe1,0.714286,5.180127,10.654979,15.835106
grid5nDr0nDe1,0.666667,5.758275,10.282640,16.040915
grid0nDr1nDe1,0.849624,7.962707,8.317657,16.280364
metroplex2nDr1nDe1,1.095238,5.743685,10.839452,16.583137
grid0nDr0nDe2,0.666667,6.296002,10.580639,16.876641
metroplex5nDr1nDe0,0.000000,9.506298,7.071786,16.578084
metroplex4nDr1nDe0,0.000000,8.790750,7.930321,16.721071
grid3nDr0nDe2,3.095238,3.927586,13.900400,17.827986
metroplex1nDr0nDe1,2.889724,8.393515,9.552908,17.946423
grid5nDr1nDe0,0.000000,9.630618,8.460643,18.091261
grid4nDr0nDe3,1.619048,5.309039,13.493163,18.802202
grid2nDr0nDe2,0.889724,5.995234,13.020028,19.015262
grid1nDr0nDe1,1.000000,7.974955,11.136449,19.111404
metroplex0nDr1nDe1,2.095238,6.849198,12.310712,19.159910
metroplex5nDr0nDe1,1.684211,9.348268,9.821391,19.169659
metroplex1nDr1nDe1,0.523810,7.937412,11.518090,19.455502
grid1nDr0nDe2,1.461153,6.095563,13.797083,19.892646
metroplex3nDr1nDe1,0.523810,9.790412,9.896765,19.687177
grid1nDr1nDe1,0.714286,7.637032,12.476526,20.113558
metroplex5nDr0nDe2,1.761905,6.655812,13.195890,19.851702
metroplex4nDr1nDe1,1.230576,13.635473,6.530183,20.165656
metroplex5nDr1nDe1,3.330827,8.946640,11.703956,20.650596
metroplex2nDr0nDe1,1.047619,14.338739,6.894501,21.233240
grid0nDr0nDe3,2.182957,6.530374,15.216585,21.746959
metroplex3nDr0nDe1,1.619048,9.478952,12.188236,21.667188
metroplex0nDr0nDe2,2.754386,6.889297,15.079371,21.968668
grid2nDr0nDe3,1.095238,5.672591,17.013630,22.686221
grid3nDr0nDe3,3.992481,5.229824,17.690679,22.920503
metroplex3nDr0nDe3,4.040100,9.834986,13.164908,22.999894
metroplex4nDr0nDe1,1.619048,10.967539,12.054213,23.021752
metroplex2nDr0nDe2,2.142857,7.282163,15.794818,23.076981
metroplex4nDr0nDe3,2.731533,7.758448,15.348341,23.106789
grid5nDr0nDe3,2.706767,5.994386,18.015695,24.010081
metroplex1nDr0nDe2,2.032581,8.049036,15.970900,24.019936
grid5nDr0nDe2,1.809524,5.675167,19.110354,24.785521
metroplex5nDr0nDe3,3.889724,14.183845,12.239843,26.423688
metroplex0nDr0nDe3,8.263158,5.879402,20.803247,26.682649
metroplex3nDr0nDe2,5.571429,8.216979,18.440341,26.657320
grid1nDr0nDe3,2.095238,5.291388,22.383585,27.674973
metroplex2nDr0nDe3,8.398496,7.610790,19.837586,27.448376
metroplex1nDr0nDe3,4.230576,7.366572,20.497255,27.863827
metroplex4nDr0nDe2,13.340852,7.097283,21.537808,28.635091
#seed = 1
airport1nDr1nDe1,0.095238,0.683215,1.599304,2.282519
airport4nDr1nDe0,0.000000,0.656431,1.645883,2.302314
airport5nDr1nDe1,0.190476,0.548423,1.756017,2.304440
airport1nDr0nDe1,0.190476,0.521224,1.964991,2.486215
airport0nDr1nDe0,0.000000,0.549511,2.051911,2.601422
airport0nDr0nDe2,0.380952,0.560226,2.552927,3.113153
airport4nDr0nDe2,0.666667,1.015652,2.714525,3.730177
airport5nDr0nDe2,0.380952,0.549027,3.185417,3.734444
airport4nDr0nDe1,0.190476,0.686619,3.240543,3.927162
