instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
airport1nDr1nDe0,0.000000,0.021599,0.026047,0.047646,828,520,1089,1089
airport0nDr0nDe1,0.285714,0.086907,0.130253,0.217160,3288,1875,6421,6421
airport0nDr1nDe0,0.000000,0.079931,0.101383,0.181314,2788,1602,5092,5092
airport1nDr0nDe1,0.190476,0.104113,0.099495,0.203608,3696,2135,7942,7942
airport3nDr1nDe0,0.000000,0.063171,0.054373,0.117544,2064,1230,3667,3667
airport2nDr0nDe3,0.476190,0.065029,0.073646,0.138675,2328,1458,4940,4940
airport0nDr1nDe1,0.190476,0.175190,0.237812,0.413002,5620,3438,14205,14205
airport3nDr1nDe1,0.190476,0.089953,0.141309,0.231262,3450,2075,7750,7750
airport3nDr0nDe1,0.666667,0.110351,0.169146,0.279497,3904,2316,8801,8801
grid3nDr1nDe0,0.000000,0.006553,0.008065,0.014618,224,159,260,260
airport5nDr1nDe0,0.000000,0.137949,0.150133,0.288082,3374,2105,7687,7687
airport1nDr1nDe1,0.095238,0.245206,0.240879,0.486085,6648,3999,17318,17318
airport2nDr1nDe0,0.000000,0.228287,0.223256,0.451543,5636,3291,13659,13659
airport2nDr1nDe1,0.333333,0.249844,0.264188,0.514032,7054,4137,17987,17987
airport5nDr0nDe1,0.571429,0.153730,0.224803,0.378533,5240,3157,13099,13099
airport2nDr0nDe1,0.333333,0.329589,0.356128,0.685717,9058,5271,23979,23979
grid3nDr1nDe1,0.516291,0.245682,0.176590,0.422272,3374,2106,6913,6913
airport0nDr0nDe2,0.380952,0.460496,0.468047,0.928543,12034,6955,33481,33481
airport2nDr0nDe2,0.761905,0.308483,0.525917,0.834400,8290,4765,21360,21360
airport1nDr0nDe3,0.857143,0.468098,0.432758,0.900856,11080,6473,29948,29948
grid3nDr0nDe1,0.230576,0.322016,0.161833,0.483849,3374,2102,6887,6887
airport4nDr1nDe0,0.000000,0.423919,0.396614,0.820533,9700,5729,26307,26307
airport5nDr0nDe2,0.380952,0.304815,0.489218,0.794033,7594,4520,20219,20219
metroplex2nDr1nDe0,0.000000,0.440396,0.036722,0.477118,1970,1298,3162,3162
airport5nDr0nDe3,0.857143,0.413115,0.399982,0.813097,10596,6211,29049,29049
metroplex1nDr1nDe0,0.000000,0.451208,0.133676,0.584884,3952,2473,8490,8490
airport5nDr1nDe1,0.190476,0.308300,0.566413,0.874713,8336,4917,22329,22329
airport1nDr0nDe2,0.476190,0.278959,0.822454,1.101413,8592,5124,23344,23344
airport4nDr1nDe1,0.333333,0.532501,0.417266,0.949767,11370,6677,31521,31521
airport3nDr0nDe2,0.619048,0.411653,0.689278,1.100931,10272,5947,27856,27856
metroplex0nDr1nDe1,2.095238,0.567731,0.212742,0.780473,4452,2956,10328,10328
metroplex3nDr1nDe1,0.523810,0.592203,0.079695,0.671898,3340,2169,6620,6620
metroplex2nDr0nDe2,2.142857,0.657166,0.156594,0.813760,4700,3082,10732,10732
grid1nDr1nDe0,0.000000,0.682391,0.278628,0.961019,8424,4902,20194,20194
airport4nDr0nDe2,0.666667,0.508062,0.677731,1.185793,13096,7853,37044,37044
grid2nDr0nDe1,0.714286,0.710009,0.291642,1.001651,8872,5436,23022,23022
metroplex3nDr0nDe3,4.040100,0.735226,0.213994,0.949220,5394,3401,12333,12333
metroplex3nDr1nDe0,0.000000,0.786891,0.209201,0.996092,5906,3774,13997,13997
metroplex5nDr1nDe0,0.000000,0.675870,0.206731,0.882601,5206,3327,12590,12590
grid2nDr1nDe0,0.000000,0.869708,0.182026,1.051734,6550,4049,15769,15769
airport4nDr0nDe3,0.809524,0.540974,0.872128,1.413102,13044,7791,36888,36888
airport0nDr0nDe3,1.142857,0.514485,1.101581,1.616066,13326,7949,38040,38040
grid3nDr0nDe3,3.992481,0.786729,0.435778,1.222507,8750,5318,22302,22302
airport4nDr0nDe1,0.190476,0.549293,0.990915,1.540208,13090,7845,37011,37011
metroplex2nDr0nDe1,1.047619,0.943760,0.234591,1.178351,5268,3455,12396,12396
airport3nDr0nDe3,1.428571,0.614025,1.009697,1.623722,13164,7884,37310,37310
metroplex5nDr0nDe1,1.684211,0.910748,0.248666,1.159414,7160,4417,18020,18020
grid5nDr1nDe1,2.684211,0.810425,0.524538,1.334963,8700,5357,22430,22430
