instance,result,elapsedTime,totalSolveTime,totalTime
airport1nDr0nDe1,0.190476,0.461154,0.920020,1.381174
airport0nDr0nDe2,0.380952,0.534761,0.941770,1.476531
airport1nDr0nDe2,0.476190,0.456356,0.932544,1.388900
airport5nDr0nDe2,0.380952,0.456062,0.786497,1.242559
airport5nDr1nDe1,0.190476,0.549667,0.735949,1.285616
airport1nDr1nDe1,0.095238,0.451606,1.046378,1.497984
airport2nDr1nDe0,0.000000,0.425124,1.076047,1.501171
airport0nDr0nDe1,0.285714,0.503446,1.198127,1.701573
airport2nDr0nDe1,0.333333,0.411225,1.183633,1.594858
airport5nDr0nDe3,0.857143,0.498548,1.004720,1.503268
airport0nDr1nDe1,0.190476,0.448683,1.441007,1.889690
airport3nDr1nDe0,0.000000,0.516330,1.162618,1.678948
airport0nDr1nDe0,0.000000,0.497408,1.469975,1.967383
airport5nDr0nDe1,0.571429,0.467247,1.373738,1.840985
airport1nDr1nDe0,0.000000,0.510165,1.520505,2.030670
airport5nDr1nDe0,0.000000,0.566448,1.418307,1.984755
airport1nDr0nDe3,0.857143,0.471167,1.711392,2.182559
airport4nDr0nDe3,0.809524,0.493793,1.564324,2.058117
airport3nDr1nDe1,0.190476,0.637402,1.505553,2.142955
airport3nDr0nDe1,0.666667,0.596518,1.605790,2.202308
airport4nDr0nDe2,0.666667,0.748598,1.405275,2.153873
airport4nDr0nDe1,0.190476,0.561307,1.700319,2.261626
airport4nDr1nDe0,0.000000,0.621302,1.650121,2.271423
airport3nDr0nDe2,0.619048,0.738747,1.617080,2.355827
airport2nDr1nDe1,0.333333,0.582728,1.893975,2.476703
airport2nDr0nDe2,0.761905,0.586333,1.968974,2.555307
airport0nDr0nDe3,1.142857,0.476310,2.484487,2.960797
airport4nDr1nDe1,0.333333,0.745344,1.968643,2.713987
airport3nDr0nDe3,1.428571,0.782014,2.072816,2.854830
airport2nDr0nDe3,0.476190,0.728077,2.355432,3.083509
grid0nDr1nDe0,0.000000,2.600418,1.534912,4.135330
grid5nDr1nDe0,0.000000,2.906493,1.351062,4.257555
grid0nDr1nDe1,0.849624,2.130796,2.776751,4.907547
metroplex2nDr1nDe0,0.000000,3.473664,1.247920,4.721584
metroplex2nDr0nDe1,1.047619,3.404781,1.683753,5.088534
grid2nDr1nDe1,0.285714,2.379490,3.028647,5.408137
metroplex3nDr1nDe0,0.000000,3.779334,1.531698,5.311032
grid4nDr1nDe1,0.468672,2.013136,3.431170,5.444306
grid0nDr0nDe1,0.761905,2.116036,3.671989,5.788025
grid3nDr1nDe0,0.000000,1.809871,4.118156,5.928027
grid1nDr0nDe1,1.000000,2.670989,3.385078,6.056067
grid3nDr0nDe1,0.230576,2.674852,3.458895,6.133747
grid5nDr0nDe1,0.666667,3.013326,3.088463,6.101789
grid2nDr0nDe1,0.714286,2.803072,3.646719,6.449791
grid4nDr0nDe1,1.087719,3.115044,3.318822,6.433866
metroplex3nDr1nDe1,0.523810,4.249825,2.140193,6.390018
grid4nDr1nDe0,0.000000,2.954991,3.692806,6.647797
grid2nDr1nDe0,0.000000,2.413610,4.452344,6.865954
metroplex0nDr1nDe0,0.000000,2.743934,4.192721,6.936655
grid2nDr0nDe2,0.889724,2.378356,4.768389,7.146745
grid5nDr1nDe1,2.684211,2.866164,4.286149,7.152313
grid3nDr1nDe1,0.516291,1.938724,5.254973,7.193697
metroplex0nDr1nDe1,2.095238,3.928933,3.106790,7.035723
grid1nDr1nDe1,0.714286,2.697684,4.821178,7.518862
metroplex5nDr1nDe0,0.000000,4.078606,3.353420,7.432026
grid1nDr1nDe0,0.000000,2.384350,5.387262,7.771612
metroplex4nDr1nDe1,1.230576,4.175364,3.420016,7.595380
grid0nDr0nDe2,0.666667,2.409678,5.706700,8.116378
metroplex0nDr0nDe1,0.666667,3.595249,4.303864,7.899113
metroplex1nDr1nDe1,0.523810,4.023655,3.887222,7.910877
metroplex3nDr0nDe1,1.619048,3.300782,4.944930,8.245712
metroplex1nDr1nDe0,0.000000,3.242967,5.131362,8.374329
grid4nDr0nDe3,1.619048,2.100464,6.517767,8.618231
grid0nDr0nDe3,2.182957,2.291874,6.495757,8.787631
metroplex2nDr1nDe1,1.095238,3.523284,5.004846,8.528130
grid5nDr0nDe2,1.809524,3.332101,5.769568,9.101669
metroplex4nDr1nDe0,0.000000,4.197542,5.023742,9.221284
metroplex4nDr0nDe1,1.619048,4.032743,5.646644,9.679387
grid4nDr0nDe2,0.476190,2.057349,7.907805,9.965154
metroplex1nDr0nDe1,2.889724,4.102064,5.766615,9.868679
metroplex5nDr1nDe1,3.493438,3.608579,6.335471,9.944050
metroplex5nDr0nDe2,1.761905,4.037301,5.906101,9.943402
metroplex3nDr0nDe2,5.571429,4.583346,6.319287,10.902633
metroplex0nDr0nDe2,3.142857,3.409297,7.508836,10.918133
