instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
airport1nDr1nDe0,0.000000,0.021830,0.026019,0.047849,828,520,1089,1089
airport0nDr0nDe1,0.285714,0.091627,0.142687,0.234314,4171,2809,9948,9948
airport0nDr1nDe0,0.000000,0.077959,0.090231,0.168190,2788,1602,5092,5092
airport3nDr1nDe0,0.000000,0.068290,0.066252,0.134542,2064,1230,3667,3667
airport1nDr0nDe1,0.190476,0.099903,0.147727,0.247630,4263,2911,10429,10429
airport3nDr1nDe1,0.190476,0.092255,0.125295,0.217550,4036,2851,10219,10219
airport2nDr0nDe3,0.476190,0.083203,0.241666,0.324869,5237,4169,11591,11591
airport5nDr1nDe0,0.000000,0.099391,0.129997,0.229388,3374,2105,7687,7687
airport0nDr1nDe1,0.190476,0.173545,0.261464,0.435009,6238,4303,17518,17518
grid3nDr1nDe0,0.000000,0.006546,0.007913,0.014459,224,159,260,260
airport3nDr0nDe1,0.666667,0.171031,0.170538,0.341569,4785,3274,12555,12555
airport1nDr1nDe1,0.095238,0.206238,0.282500,0.488738,7253,4879,20805,20805
airport5nDr0nDe1,0.571429,0.160294,0.250629,0.410923,6006,4082,16696,16696
airport2nDr1nDe0,0.000000,0.235020,0.235166,0.470186,5636,3291,13659,13659
metroplex2nDr1nDe0,0.000000,0.282365,0.037102,0.319467,1970,1298,3162,3162
airport5nDr0nDe2,0.380952,0.331359,0.415702,0.747061,9372,6605,28553,28553
grid3nDr0nDe1,0.230576,0.253908,0.255168,0.509076,4270,3099,11088,11088
airport1nDr0nDe2,0.476190,0.308290,0.616074,0.924364,10448,7298,32474,32474
airport0nDr0nDe2,0.380952,0.444681,0.640303,1.084984,14020,9365,44771,44771
airport1nDr0nDe3,0.857143,0.460828,0.507410,0.968238,14900,10476,48009,48009
grid3nDr1nDe1,0.516291,0.258717,0.294116,0.552833,4303,3132,11241,11241
airport2nDr1nDe1,0.333333,0.259569,0.672039,0.931608,8061,5235,23069,23069
airport4nDr1nDe0,0.000000,0.357944,0.394736,0.752680,9700,5729,26307,26307
airport2nDr0nDe2,0.761905,0.373434,0.732384,1.105818,10258,6985,30875,30875
airport2nDr0nDe1,0.333333,0.394324,0.763468,1.157792,10126,6451,29805,29805
metroplex3nDr1nDe1,0.523810,0.392402,0.367897,0.760299,4383,3271,11534,11534
grid2nDr1nDe0,0.000000,0.761709,0.186606,0.948315,6550,4049,15769,15769
airport5nDr0nDe3,0.857143,0.466589,0.737159,1.203748,14203,10041,45762,45762
metroplex1nDr1nDe0,0.000000,0.690536,0.133444,0.823980,3952,2473,8490,8490
airport5nDr1nDe1,0.190476,0.286073,0.898573,1.184646,9021,5884,26572,26572
airport3nDr0nDe2,0.619048,0.458998,0.877856,1.336854,12334,8279,38387,38387
grid1nDr1nDe0,0.000000,0.893750,0.284835,1.178585,8424,4902,20194,20194
airport4nDr1nDe1,0.333333,0.515966,0.858805,1.374771,12566,7975,38403,38403
airport4nDr0nDe2,0.666667,0.545415,0.968304,1.513719,15338,10446,49798,49798
airport4nDr0nDe1,0.190476,0.585484,0.979005,1.564489,13916,8993,42938,42938
airport4nDr0nDe3,0.809524,0.554636,0.979619,1.534255,16782,11783,55409,55409
metroplex5nDr1nDe0,0.000000,0.978623,0.196895,1.175518,5206,3327,12590,12590
metroplex3nDr1nDe0,0.000000,0.991538,0.216805,1.208343,5906,3774,13997,13997
grid2nDr1nDe1,0.285714,0.884455,0.579409,1.463864,11495,7697,35695,35695
grid2nDr0nDe1,0.714286,0.718838,0.881535,1.600373,10365,6936,31570,31570
airport0nDr0nDe3,1.142857,0.622712,1.546282,2.168994,17174,12035,57128,57128
grid5nDr1nDe0,0.000000,0.990816,0.574733,1.565549,10664,6517,28624,28624
airport3nDr0nDe3,1.428571,0.633354,1.456836,2.090190,16969,11926,56103,56103
metroplex0nDr1nDe0,0.000000,1.233548,0.422282,1.655830,8176,5216,21625,21625
metroplex0nDr1nDe1,2.095238,0.749504,1.083245,1.832749,5587,4143,16288,16288
grid4nDr1nDe0,0.000000,1.053606,0.830733,1.884339,9980,6089,25717,25717
grid5nDr1nDe1,2.684211,1.143034,0.959771,2.102805,10087,6783,30268,30268
metroplex2nDr0nDe1,1.047619,0.945818,1.139272,2.085090,6525,4732,19088,19088
grid0nDr1nDe1,0.849623,1.055778,1.233645,2.289423,12394,8265,38857,38857
grid0nDr1nDe0,0.000000,1.552670,0.834843,2.387513,15170,8891,42074,42074
metroplex5nDr0nDe1,1.684211,0.944571,1.225352,2.169923,8507,5789,25614,25614
metroplex2nDr1nDe1,1.095238,1.131783,1.370003,2.501786,8986,6251,26774,26774
metroplex5nDr1nDe1,3.330827,1.019397,1.582081,2.601478,8479,5763,25412,25412
grid1nDr0nDe1,1.000000,1.537935,1.365930,2.903865,14583,9305,45029,45029
grid1nDr1nDe1,0.714286,1.277207,1.671839,2.949046,15896,10315,50569,50569
metroplex2nDr0nDe2,2.142857,1.077471,1.864835,2.942306,7448,5698,23205,23205
metroplex1nDr0nDe1,2.889724,1.017064,1.916868,2.933932,8220,5634,24672,24672
grid5nDr0nDe1,0.666667,1.207749,2.125780,3.333529,13631,9000,42870,42870
metroplex0nDr0nDe1,0.666667,1.305804,2.069831,3.375635,10094,6965,31622,31622
metroplex3nDr0nDe1,1.619048,1.613539,1.692307,3.305846,10726,7408,33547,33547
grid0nDr0nDe1,0.761905,1.941882,1.755879,3.697761,17050,10821,54126,54126
grid4nDr0nDe1,1.087719,1.490171,2.084578,3.574749,17565,11161,55504,55504
grid2nDr0nDe2,0.889724,1.693248,2.045204,3.738452,18418,12465,63120,63120
metroplex1nDr1nDe1,0.523810,1.485554,2.201803,3.687357,11016,7321,34681,34681
metroplex4nDr1nDe0,0.000000,2.945029,1.033404,3.978433,17374,10321,50016,50016
grid5nDr0nDe2,1.809524,1.430377,2.742619,4.172996,13632,9558,45106,45106
grid2nDr0nDe3,1.095238,1.427259,3.295649,4.722908,20459,14224,72406,72406
metroplex3nDr0nDe3,4.040100,1.104050,3.623180,4.727230,9984,7614,31352,31352
metroplex3nDr0nDe2,4.832080,1.483388,3.275447,4.758835,13292,9551,45192,45192
grid4nDr1nDe1,0.468672,2.254480,2.490298,4.744778,22905,14239,74509,74509
grid3nDr0nDe2,3.095238,0.894544,4.198661,5.093205,13120,9296,43669,43669
metroplex4nDr1nDe1,1.230576,2.813870,2.387470,5.201340,19334,12264,63331,63331
grid1nDr0nDe2,1.461153,1.880671,3.874071,5.754742,20082,13483,69068,69068
grid4nDr0nDe2,0.476190,2.325349,3.395702,5.721051,26630,17781,94710,94710
metroplex0nDr0nDe2,2.754386,1.753788,4.510612,6.264400,13640,9679,46786,46786
metroplex5nDr0nDe2,1.761905,1.916188,4.504363,6.420551,16252,11137,55904,55904
grid4nDr0nDe3,1.619048,2.601770,4.458835,7.060605,29536,20372,109254,109254
metroplex1nDr0nDe2,2.032581,1.395910,5.833026,7.228936,13612,9677,47024,47024
grid3nDr0nDe3,3.992481,0.814168,6.556288,7.370456,13787,10048,45949,45949
grid0nDr0nDe2,0.666667,2.226801,5.620301,7.847102,21198,14007,72775,72775
grid0nDr0nDe3,2.182957,2.644473,5.426885,8.071358,26076,17679,93937,93937
metroplex4nDr0nDe1,1.619048,3.268952,4.584980,7.853932,22092,14093,74225,74225
metroplex2nDr0nDe3,8.398496,1.029588,6.865807,7.895395,11533,8774,37684,37684
metroplex1nDr0nDe3,4.230576,1.126721,6.928999,8.055720,11383,8440,37258,37258
grid1nDr0nDe3,2.095238,1.702339,8.993684,10.696023,18974,13480,66928,66928
metroplex5nDr0nDe3,3.889724,2.685545,8.793606,11.479151,22228,15408,81806,81806
grid5nDr0nDe3,2.706767,2.678226,10.326043,13.004269,28227,19052,102618,102618
metroplex0nDr0nDe3,8.263158,2.278497,13.670064,15.948561,19772,14083,71836,71836
metroplex4nDr0nDe3,2.731533,3.254672,15.688116,18.942788,24655,17073,92021,92021
metroplex4nDr0nDe2,9.170426,3.537254,26.455623,29.992877,24694,16501,88957,88957
airport1nDr1nDe0,0.000000,0.022000,0.026965,0.048965,828,520,1089,1089
airport0nDr1nDe0,0.000000,0.078121,0.088144,0.166265,2788,1602,5092,5092
airport0nDr0nDe1,0.285714,0.088451,0.205851,0.294302,4171,2809,9948,9948
airport1nDr0nDe1,0.190476,0.100014,0.153619,0.253633,4263,2911,10429,10429
airport3nDr1nDe0,0.000000,0.062066,0.054450,0.116516,2064,1230,3667,3667
airport2nDr0nDe3,0.476190,0.073465,0.212913,0.286378,5237,4169,11591,11591
airport3nDr0nDe1,0.666667,0.110736,0.164124,0.274860,4785,3274,12555,12555
airport0nDr1nDe1,0.190476,0.174744,0.256653,0.431397,6238,4303,17518,17518
airport3nDr1nDe1,0.190476,0.089658,0.188733,0.278391,4036,2851,10219,10219
grid3nDr1nDe0,0.000000,0.006421,0.007821,0.014242,224,159,260,260
airport1nDr1nDe1,0.095238,0.202079,0.293510,0.495589,7253,4879,20805,20805
airport2nDr1nDe0,0.000000,0.234186,0.223151,0.457337,5636,3291,13659,13659
airport5nDr1nDe0,0.000000,0.114391,0.167432,0.281823,3374,2105,7687,7687
airport5nDr0nDe1,0.571429,0.152878,0.250465,0.403343,6006,4082,16696,16696
metroplex2nDr1nDe0,0.000000,0.285244,0.038774,0.324018,1970,1298,3162,3162
airport4nDr1nDe0,0.000000,0.397880,0.392955,0.790835,9700,5729,26307,26307
airport2nDr0nDe1,0.333333,0.351233,0.588286,0.939519,10126,6451,29805,29805
airport2nDr1nDe1,0.333333,0.256145,0.673996,0.930141,8061,5235,23069,23069
airport2nDr0nDe2,0.761905,0.351570,0.609626,0.961196,10258,6985,30875,30875
airport0nDr0nDe2,0.380952,0.502722,0.632188,1.134910,14020,9365,44771,44771
grid3nDr1nDe1,0.516291,0.291680,0.298526,0.590206,4303,3132,11241,11241
