instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport18,1.684211,0.941020,1.582397,2.523417,13468,13406,48125,48125,0
airport27,1001.473684,1.252216,1.309314,2.561530,13686,13624,48720,48720,0
airport19,1001.736842,1.340491,1.735366,3.075857,13158,13104,47418,47418,0
airport42,1001.631579,1.307029,0.900613,2.207642,11462,11408,39957,39957,0
airport22,1001.210526,1.208368,1.803249,3.011617,14000,13940,50851,50851,0
airport40,1.315789,1.125960,1.460815,2.586775,13282,13224,47805,47805,0
airport23,1.315789,0.952431,1.698827,2.651258,11806,11752,41972,41972,0
airport26,1001.947368,1.857481,2.123764,3.981245,14384,14326,51800,51800,0
airport2,1001.473684,2.404895,2.089209,4.494104,12878,12822,45809,45809,0
airport24,8001.842105,1.208841,1.206493,2.415334,13688,13636,49963,49963,0
airport15,1000.052632,1.083417,1.413458,2.496875,14446,14392,53271,53271,0
airport30,1001.473684,2.266082,1.271128,3.537210,12314,12262,43713,43713,0
airport3,1001.526316,0.942286,1.579414,2.521700,13526,13470,48558,48558,0
airport16,1.997494,1.189045,2.536731,3.725776,12832,12774,45695,45695,0
airport47,1.842105,1.424080,2.388831,3.812911,14742,14686,54581,54581,0
airport44,1001.210526,1.160932,1.267109,2.428041,11578,11520,39905,39905,0
airport31,1.681704,1.157491,3.154709,4.312200,12536,12468,44312,44312,0
airport20,2.776942,1.339665,3.434206,4.773871,13690,13608,48175,48175,0
airport52,1.842105,2.281186,1.124969,3.406155,11726,11674,41021,41021,0
airport38,1.105263,1.082364,2.169325,3.251689,11960,11898,41595,41595,0
airport13,1001.578947,2.269069,2.141123,4.410192,14052,13992,50539,50539,0
airport43,1001.315789,2.371440,2.492335,4.863775,12602,12552,45071,45071,0
airport28,1.105263,1.295969,3.994372,5.290341,13634,13562,48543,48543,0
airport32,1001.105263,3.068198,3.117189,6.185387,12684,12624,44668,44668,0
airport0,1002.418546,1.540692,3.096301,4.636993,14120,14068,51539,51539,0
airport34,1.892231,2.486649,3.715311,6.201960,14084,14032,51907,51907,0
airport12,2001.105263,1.600938,3.463654,5.064592,16718,16644,61326,61326,0
airport39,1.421053,1.054839,2.014507,3.069346,15056,14996,54957,54957,0
airport29,1001.473684,2.381778,1.742451,4.124229,14328,14276,52892,52892,0
airport46,1.105263,1.583085,2.809249,4.392334,15842,15764,57057,57057,0
airport54,2001.105263,1.006971,2.959126,3.966097,12150,12086,42627,42627,0
airport1,0.421053,2.043585,1.717145,3.760730,12570,12514,44155,44155,0
airport21,2.052632,2.661364,4.249538,6.910902,14700,14642,54203,54203,0
airport48,2.210526,1.121530,2.508478,3.630008,14656,14606,55221,55221,0
airport4,1001.210526,1.371813,1.714598,3.086411,13638,13578,48887,48887,0
airport10,3.431078,1.439597,2.495852,3.935449,14170,14110,51338,51338,0
airport49,1.315789,1.349651,2.752234,4.101885,13290,13230,47081,47081,0
airport17,1.157895,1.317320,2.053989,3.371309,12678,12616,44512,44512,0
airport45,1.200501,1.975565,2.708937,4.684502,13084,13010,45667,45667,0
airport37,0.333333,2.829182,3.102024,5.931206,13128,13058,46038,46038,0
airport53,1.095238,2.114255,2.346374,4.460629,14142,14082,51157,51157,0
airport51,1.789474,1.742097,1.249687,2.991784,13036,12982,46513,46513,0
airport55,4001.105263,1.308226,2.887241,4.195467,11166,11118,39402,39402,0
airport33,2001.105263,1.487040,2.885763,4.372803,14894,14818,53281,53281,0
airport36,1.105263,1.276500,3.081652,4.358152,13718,13650,49006,49006,0
airport11,1.681704,2.083956,3.738097,5.822053,13242,13178,47421,47421,0
airport35,1.491228,2.681041,4.449758,7.130799,14926,14872,55305,55305,0
airport25,4.428571,1.329740,4.346401,5.676141,12446,12374,43661,43661,0
airport58,2001.105263,1.078289,2.468059,3.546348,12156,12092,42746,42746,0
airport57,1002.052632,1.530989,2.492109,4.023098,14664,14604,52656,52656,0
airport14,1.095238,1.706830,5.925254,7.632084,17110,17040,64184,64184,0
airport56,1001.105263,1.665212,3.155455,4.820667,15092,15022,54284,54284,0
airport50,1.105263,1.809347,3.993676,5.803023,15782,15700,56939,56939,0
airport61,1001.157895,1.976203,2.243754,4.219957,11738,11682,41180,41180,0
airport62,1001.473684,1.239857,2.353824,3.593681,13062,13012,47400,47400,0
airport66,1002.105263,1.666652,1.168221,2.834873,12596,12540,44639,44639,0
airport63,1001.681704,1.058587,2.606465,3.665052,11214,11154,38682,38682,0
airport67,1002.892231,1.329496,2.195157,3.524653,13304,13252,48300,48300,0
airport69,3.260652,2.123448,2.748395,4.871843,12192,12136,43493,43493,0
airport5,1.681704,1.106029,3.736969,4.842998,12532,12468,44340,44340,0
airport75,1001.157895,1.399303,1.354194,2.753497,12318,12260,42986,42986,0
airport64,1001.681704,1.156529,2.944388,4.100917,11928,11872,42089,42089,0
airport72,1.421053,1.949851,1.732367,3.682218,11998,11948,42780,42780,0
airport71,2.007519,1.007261,2.431784,3.439045,11596,11542,40852,40852,0
airport68,1001.421053,2.530990,3.045924,5.576914,13596,13536,48517,48517,0
airport59,1001.681704,2.812490,4.869384,7.681874,12886,12808,44978,44978,0
airport77,3.260652,1.043325,5.004441,6.047766,13362,13294,48463,48463,0
airport81,1.105263,2.072576,3.538327,5.610903,11374,11316,39866,39866,0
airport8,2001.210526,1.510461,1.993591,3.504052,14104,14038,50256,50256,0
airport65,1001.105263,1.807781,5.467057,7.274838,16474,16398,60338,60338,0
airport91,1001.473684,1.709479,4.122243,5.831722,11838,11788,41962,41962,0
airport84,1.157895,1.247421,4.683422,5.930843,13632,13572,48918,48918,0
airport80,1.734336,2.522466,4.548377,7.070843,11710,11642,40938,40938,0
airport97,1001.315789,0.914870,1.453549,2.368419,12928,12880,48057,48057,0
airport92,1001.776942,2.245219,3.361633,5.606852,12520,12454,43946,43946,0
airport74,1002.293233,2.233065,4.035979,6.269044,14220,14150,50896,50896,0
airport73,0.761905,2.171505,3.040315,5.211820,13794,13724,48369,48369,0
airport99,8001.305764,1.591650,1.978549,3.570199,13040,12982,46695,46695,0
airport88,3000.000000,2.457307,1.909791,4.367098,14106,14036,50362,50362,0
airport82,1.681704,1.774170,4.403227,6.177397,12498,12428,44128,44128,0
airport6,1.842105,2.926366,5.965040,8.891406,16446,16386,61509,61509,0
airport7,1001.105263,1.513006,2.701231,4.214237,11800,11734,41261,41261,0
airport60,1.105263,1.797931,7.342545,9.140476,14680,14604,53192,53192,0
airport94,1001.263158,1.596578,2.191120,3.787698,14114,14048,50457,50457,0
