instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport13,1001.578947,1.358840,1.389933,2.748773,14052,13992,50539,50539,0
airport2,1001.473684,1.016210,1.267026,2.283236,12878,12822,45809,45809,0
airport27,1001.473684,1.294035,1.532338,2.826373,13686,13624,48720,48720,0
airport24,8001.842105,1.275831,1.608249,2.884080,16308,16035,63540,63540,0
airport1,0.421053,1.219018,1.895774,3.114792,13382,13285,49371,49371,0
airport19,1001.736842,1.014947,2.173432,3.188379,13158,13104,47418,47418,0
airport30,1001.473684,1.617582,1.649931,3.267513,12314,12262,43713,43713,0
airport18,1.684211,1.350250,1.995875,3.346125,15598,15312,59529,59529,0
airport16,1.997494,1.171205,2.533387,3.704592,12832,12774,45695,45695,0
airport0,1002.418546,1.457666,3.229242,4.686908,16184,15910,62686,62686,0
airport17,1.157895,1.319171,2.754878,4.074049,15428,15141,58674,58674,0
airport40,1.315789,1.194765,2.015062,3.209827,15298,15024,58320,58320,0
airport15,1000.052632,1.276852,3.546749,4.823601,15831,15737,60819,60819,0
airport31,1.681704,1.003824,3.280403,4.284227,12536,12468,44312,44312,0
airport29,1001.473684,1.699588,2.716941,4.416529,14328,14276,52892,52892,0
airport26,1001.947368,1.425139,3.096178,4.521317,14384,14326,51800,51800,0
airport34,1.892231,1.806967,3.225470,5.032437,14084,14032,51907,51907,0
airport3,1001.526316,2.169947,1.430715,3.600662,13526,13470,48558,48558,0
airport22,1001.210526,2.407099,2.676520,5.083619,14000,13940,50851,50851,0
airport37,0.333333,2.229988,2.478735,4.708723,13128,13058,46038,46038,0
airport23,1.315789,1.085376,3.973711,5.059087,15066,14483,55769,55769,0
airport12,2001.200501,1.749383,3.785964,5.535347,19050,18740,74456,74456,0
airport44,1001.210526,2.466300,1.564652,4.030952,11578,11520,39905,39905,0
airport32,1001.105263,2.462596,2.654737,5.117333,12684,12624,44668,44668,0
airport20,2.776942,1.655127,4.007621,5.662748,13690,13608,48175,48175,0
airport42,1001.631579,1.521565,2.786732,4.308297,11462,11408,39957,39957,0
airport21,2.052632,1.456303,4.303385,5.759688,18426,17826,71471,71471,0
airport43,1001.315789,2.262346,2.314266,4.576612,12602,12552,45071,45071,0
airport38,1.105263,1.483475,3.617891,5.101366,14442,14161,54188,54188,0
airport28,1.105263,1.331522,4.623514,5.955036,16188,15895,61695,61695,0
airport47,1.842105,1.405114,2.346524,3.751638,14742,14686,54581,54581,0
airport52,1.842105,1.968692,2.378486,4.347178,13900,13630,52242,52242,0
airport35,1.491228,2.543733,3.912561,6.456294,16476,16197,63915,63915,0
airport11,1.681704,1.625398,5.562132,7.187530,13242,13178,47421,47421,0
airport33,2001.105263,2.360608,5.209484,7.570092,17164,16856,65770,65770,0
airport45,1.200501,2.401676,4.507799,6.909475,15742,15448,59452,59452,0
airport39,1.421053,1.514108,5.358592,6.872700,16884,16598,65359,65359,0
airport54,2001.105263,2.331187,3.375121,5.706308,14174,13894,52877,52877,0
airport55,4001.105263,2.189805,3.880543,6.070348,12475,12388,46607,46607,0
airport4,1001.210526,2.747122,3.220059,5.967181,13638,13578,48887,48887,0
airport36,1.105263,1.726329,6.205793,7.932122,16270,15981,62266,62266,0
airport48,2.210526,2.591063,3.415128,6.006191,16652,16387,65631,65631,0
airport10,3.431078,1.424438,7.681512,9.105950,14170,14110,51338,51338,0
airport51,1.789474,4.068152,2.334376,6.402528,14976,14695,57035,57035,0
airport49,1.315789,2.648142,3.875448,6.523590,13290,13230,47081,47081,0
airport53,1.095238,5.208542,1.641954,6.850496,14142,14082,51157,51157,0
airport46,1.105263,3.022033,3.966324,6.988357,18546,18237,71757,71757,0
airport14,1.095238,1.433889,9.351335,10.785224,17110,17040,64184,64184,0
airport25,4.428571,2.665025,7.936570,10.601595,12446,12374,43661,43661,0
airport50,1.105263,3.398356,6.304356,9.702712,18074,17761,69711,69711,0
airport58,2001.105263,1.085495,2.478019,3.563514,14252,13970,53396,53396,0
airport57,1002.052632,1.608182,1.970165,3.578347,14664,14604,52656,52656,0
airport56,1001.105263,1.444822,2.526582,3.971404,15092,15022,54284,54284,0
airport61,1001.157895,1.022396,1.364982,2.387378,11738,11682,41180,41180,0
airport62,1001.473684,1.197505,1.408926,2.606431,13062,13012,47400,47400,0
airport59,1001.681704,1.466406,4.558868,6.025274,15458,15154,58426,58426,0
