instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport18,+Inf,0.820438,0.176342,0.996780,8827,8797,30953,30953,0
airport27,+Inf,0.928653,0.347393,1.276046,10075,10037,35833,35833,0
airport40,+Inf,0.601165,0.118661,0.719826,7239,7211,24929,24929,0
airport19,+Inf,1.006030,0.242944,1.248974,10855,10819,39686,39686,0
airport2,1.157895,0.696266,0.415472,1.111738,7921,7897,27896,27896,0
airport15,1.210526,0.597405,0.413114,1.010519,7849,7827,28915,28915,0
airport24,+Inf,1.270594,0.379740,1.650334,13381,13333,49319,49319,0
airport30,+Inf,1.368946,0.386104,1.755050,7807,7783,27430,27430,0
airport47,+Inf,0.445202,0.107628,0.552830,6825,6801,23625,23625,0
airport38,+Inf,0.515856,0.099290,0.615146,6111,6087,20273,20273,0
airport20,+Inf,0.643681,0.164911,0.808592,7469,7435,25516,25516,0
airport16,1.049786,1.054095,0.856233,1.910328,10659,10617,37741,37741,0
airport28,+Inf,0.564992,0.161229,0.726221,6943,6923,24195,24195,0
airport31,+Inf,1.070894,0.310519,1.381413,11067,11021,39399,39399,0
airport52,+Inf,0.844728,0.205316,1.050044,9029,8989,31259,31259,0
airport3,0.631579,1.476128,1.425764,2.901892,13169,13115,47286,47286,0
airport43,+Inf,0.981344,0.248729,1.230073,6927,6905,24469,24469,0
airport13,+Inf,1.593595,0.445710,2.039305,10107,10067,36016,36016,0
airport32,0.947368,0.980303,0.396806,1.377109,8305,8271,29027,29027,0
airport34,+Inf,1.421285,0.167358,1.588643,9359,9333,34648,34648,0
airport54,+Inf,0.867238,0.413369,1.280607,11949,11899,42498,42498,0
airport29,+Inf,1.411884,0.330318,1.742202,13339,13293,49619,49619,0
airport39,+Inf,1.711525,0.275266,1.986791,14009,13967,51884,51884,0
airport21,0.631579,0.626687,0.516590,1.143277,8519,8489,30718,30718,0
airport4,+Inf,0.786374,0.142823,0.929197,6961,6927,23620,23620,0
airport12,+Inf,2.198688,0.417839,2.616527,16577,16515,61748,61748,0
airport0,+Inf,2.561368,0.362708,2.924076,12361,12319,45241,45241,0
airport49,+Inf,0.930393,0.401851,1.332244,9853,9813,34910,34910,0
airport48,+Inf,1.564676,0.362037,1.926713,11169,11139,42511,42511,0
airport1,2.728319,1.220417,1.097954,2.318371,11641,11593,41218,41218,0
airport10,+Inf,1.608424,0.374303,1.982727,13733,13675,49567,49567,0
airport45,+Inf,1.201612,0.443648,1.645260,9309,9269,32703,32703,0
airport44,1.105263,4.754646,0.863456,5.618102,9937,9893,34443,34443,0
airport55,+Inf,1.203068,0.277688,1.480756,10915,10869,38731,38731,0
airport17,1.210526,1.427218,0.713514,2.140732,11865,11815,42135,42135,0
airport53,+Inf,1.652661,0.326737,1.979398,13415,13365,48861,48861,0
airport37,1.157895,1.302828,0.859122,2.161950,11659,11609,41452,41452,0
airport25,+Inf,0.883471,0.176490,1.059961,5639,5615,18719,18719,0
airport58,+Inf,0.600379,0.245031,0.845410,7005,6977,24084,24084,0
airport36,+Inf,2.012577,0.429898,2.442475,13607,13551,49215,49215,0
airport11,+Inf,1.813055,0.298918,2.111973,12177,12125,43773,43773,0
airport35,+Inf,1.472888,0.265000,1.737888,14507,14455,53832,53832,0
airport33,+Inf,2.435810,0.296101,2.731911,12287,12239,44196,44196,0
airport51,1.526316,2.815444,1.109771,3.925215,12567,12517,45086,45086,0
airport14,+Inf,0.737412,0.504200,1.241612,10367,10337,38907,38907,0
airport56,+Inf,0.681965,0.142671,0.824636,7739,7711,26613,26613,0
airport57,1.473684,1.494338,0.532996,2.027334,9611,9579,34274,34274,0
airport50,2.092732,0.890417,0.508939,1.399356,8723,8689,30826,30826,0
airport61,+Inf,0.783375,0.221019,1.004394,9499,9467,33863,33863,0
airport62,+Inf,1.192652,0.725930,1.918582,12509,12463,45609,45609,0
airport66,+Inf,1.567479,0.345054,1.912533,11937,11891,42676,42676,0
airport67,+Inf,1.005999,0.290879,1.296878,6489,6465,22243,22243,0
airport72,0.789474,0.524969,0.345157,0.870126,6325,6303,21720,21720,0
airport64,1.349042,0.852073,0.712729,1.564802,8031,8005,28787,28787,0
airport5,2.189025,1.269360,1.224097,2.493457,9745,9707,34741,34741,0
airport71,+Inf,1.409681,0.323390,1.733071,11279,11227,39736,39736,0
airport75,+Inf,2.130084,0.234675,2.364759,10773,10729,37927,37927,0
airport68,+Inf,1.351000,0.180255,1.531255,7421,7395,25386,25386,0
airport59,2.413995,1.318805,0.902448,2.221253,6623,6597,22510,22510,0
airport63,2.094756,2.293392,3.223623,5.517015,10677,10627,37259,37259,0
airport77,+Inf,0.931038,0.226562,1.157600,10851,10819,40393,40393,0
airport8,2.992481,0.985924,0.734715,1.720639,9815,9779,34877,34877,0
airport97,+Inf,0.402594,0.147673,0.550267,6477,6457,23217,23217,0
airport81,0.842105,1.424637,0.961495,2.386132,7775,7741,27145,27145,0
airport91,+Inf,1.289052,0.279983,1.569035,7797,7773,27706,27706,0
airport74,1.210526,0.913581,0.338138,1.251719,7843,7811,27402,27402,0
airport92,+Inf,0.935742,0.169546,1.105288,7989,7961,27585,27585,0
airport65,1.285714,1.888483,0.765374,2.653857,10073,10043,36469,36469,0
airport80,+Inf,1.705371,0.422248,2.127619,9065,9029,31832,31832,0
airport84,+Inf,1.782978,0.555078,2.338056,9881,9847,35602,35602,0
airport99,+Inf,0.919548,0.185385,1.104933,8245,8215,28755,28755,0
airport7,+Inf,0.825578,0.324818,1.150396,11477,11431,40970,40970,0
airport82,+Inf,1.109348,0.190291,1.299639,10639,10599,38223,38223,0
airport88,+Inf,2.091289,0.462551,2.553840,11885,11839,42920,42920,0
airport60,+Inf,1.621914,0.540038,2.161952,10325,10297,38108,38108,0
airport73,1.771652,2.055688,0.894244,2.949932,9931,9889,34801,34801,0
airport94,+Inf,1.513202,0.378319,1.891521,13781,13719,49453,49453,0
airport86,+Inf,1.041544,0.293306,1.334850,11607,11559,42083,42083,0
airport78,+Inf,0.496071,0.117523,0.613594,6917,6895,24331,24331,0
