instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport18,+Inf,0.637312,0.136654,0.773966,9599,9537,35461,35461,0
airport27,+Inf,0.928984,0.183439,1.112423,10075,10037,35833,35833,0
airport2,1.157895,1.346332,0.434627,1.780959,7921,7897,27896,27896,0
airport19,+Inf,0.924246,0.472253,1.396499,15835,14828,57748,57748,0
airport40,+Inf,0.952539,0.245714,1.198253,9575,9353,35026,35026,0
airport30,+Inf,1.400049,1.406808,2.806857,10177,9956,38155,38155,0
airport32,0.947368,0.699858,0.477343,1.177201,8305,8271,29027,29027,0
airport24,+Inf,1.182719,2.422753,3.605472,15621,15355,61332,61332,0
airport34,+Inf,1.403494,0.290769,1.694263,9359,9333,34648,34648,0
airport16,1.049786,1.164403,1.770242,2.934645,12739,12486,48426,48426,0
airport20,+Inf,0.744631,0.527911,1.272542,9985,9751,36966,36966,0
airport28,+Inf,0.581276,0.163390,0.744666,6943,6923,24195,24195,0
airport43,+Inf,0.679124,0.377149,1.056273,9411,9194,35035,35035,0
airport13,+Inf,3.098537,1.497487,4.596024,13967,13400,52823,52823,0
airport15,1.210526,0.493688,1.723143,2.216831,9643,9433,36392,36392,0
airport21,0.631579,0.813428,0.555982,1.369410,8519,8489,30718,30718,0
airport31,+Inf,2.225397,0.361676,2.587073,13659,13401,52472,52472,0
airport47,+Inf,0.636547,0.660404,1.296951,10478,9947,37187,37187,0
airport0,+Inf,2.308761,0.804210,3.112971,15819,15232,61231,61231,0
airport3,0.631579,1.496174,1.417065,2.913239,13169,13115,47286,47286,0
airport12,+Inf,1.546766,1.229172,2.775938,19563,19267,78753,78753,0
airport38,+Inf,1.336581,0.887507,2.224088,13067,11523,38780,38780,0
airport52,+Inf,0.965932,0.596859,1.562791,11055,10810,41165,41165,0
airport37,1.157895,1.599700,2.013997,3.613697,12772,12682,48147,48147,0
airport29,+Inf,1.236691,2.733245,3.969936,19368,17742,68938,68938,0
airport44,1.105263,2.169114,1.323290,3.492404,9937,9893,34443,34443,0
airport35,+Inf,2.022196,0.349835,2.372031,16681,16408,65725,65725,0
airport54,+Inf,1.219645,0.330069,1.549714,14685,14419,56604,56604,0
airport1,2.728319,1.418367,5.493652,6.912019,15473,14889,58951,58951,0
airport39,+Inf,1.372845,0.561966,1.934811,17517,16935,68847,68847,0
airport48,+Inf,0.626991,0.708500,1.335491,13920,13374,53071,53071,0
airport45,+Inf,0.926946,0.873137,1.800083,10110,10037,37443,37443,0
airport49,+Inf,1.047829,0.644538,1.692367,11591,11337,43700,43700,0
airport10,+Inf,1.607234,0.335386,1.942620,14571,14470,55452,55452,0
airport11,+Inf,2.716025,1.163202,3.879227,14291,14021,55052,55052,0
airport53,+Inf,1.335561,0.242638,1.578199,13415,13365,48861,48861,0
airport17,1.210526,1.918165,4.837375,6.755540,13117,13028,49595,49595,0
airport4,+Inf,1.455731,0.925090,2.380821,10355,9813,36107,36107,0
airport55,+Inf,2.089969,0.542160,2.632129,10915,10869,38731,38731,0
airport25,+Inf,0.511011,0.186101,0.697112,6643,6595,23401,23401,0
airport33,+Inf,2.461131,0.541641,3.002772,14471,14205,55740,55740,0
airport14,+Inf,0.977337,0.262286,1.239623,11576,11517,45229,45229,0
airport36,+Inf,1.499105,1.896958,3.396063,14940,14844,57105,57105,0
airport51,1.526316,2.289835,0.995577,3.285412,12567,12517,45086,45086,0
airport58,+Inf,0.658937,0.190084,0.849021,9115,8893,33144,33144,0
airport50,2.092732,0.854213,1.051805,1.906018,9881,9816,36921,36921,0
airport57,1.473684,0.916925,0.520777,1.437702,9611,9579,34274,34274,0
airport56,+Inf,0.699311,0.137348,0.836659,8764,8705,31988,31988,0
airport61,+Inf,1.108555,0.383678,1.492233,9499,9467,33863,33863,0
airport62,+Inf,1.171421,1.031284,2.202705,23566,20343,74401,74401,0
airport59,2.413995,0.603140,1.898028,2.501168,7338,7285,26302,26302,0
airport66,+Inf,1.516226,0.659284,2.175510,11937,11891,42676,42676,0
airport5,2.189025,1.066336,0.984309,2.050645,9745,9707,34741,34741,0
airport63,2.094756,1.086127,2.174967,3.261094,10677,10627,37259,37259,0
airport68,+Inf,1.196573,0.832010,2.028583,13285,12289,45326,45326,0
airport67,+Inf,1.006405,0.460404,1.466809,8455,8239,30411,30411,0
airport64,1.349042,0.684548,1.663296,2.347844,9457,9232,34655,34655,0
airport71,+Inf,1.689262,1.227724,2.916986,15234,14639,57763,57763,0
airport72,0.789474,0.714152,0.353039,1.067191,6325,6303,21720,21720,0
airport65,1.285714,1.293946,0.652387,1.946333,10073,10043,36469,36469,0
airport75,+Inf,1.823117,0.250525,2.073642,12811,12544,48791,48791,0
airport77,+Inf,1.271916,0.195107,1.467023,12066,12002,46814,46814,0
airport60,+Inf,1.707598,0.359753,2.067351,11530,11472,44642,44642,0
airport80,+Inf,0.967920,0.771352,1.739272,14197,13170,50213,50213,0
airport6,+Inf,2.263253,0.333681,2.596934,16464,16375,64526,64526,0
airport81,0.842105,1.234165,0.784411,2.018576,7775,7741,27145,27145,0
airport84,+Inf,1.053239,0.259390,1.312629,10992,10926,41757,41757,0
airport91,+Inf,1.515956,0.451245,1.967201,7797,7773,27706,27706,0
airport74,1.210526,1.120227,0.512034,1.632261,7843,7811,27402,27402,0
airport92,+Inf,1.145218,0.564719,1.709937,9995,9768,36680,36680,0
airport8,2.992481,0.982643,0.736477,1.719120,9815,9779,34877,34877,0
airport82,+Inf,2.027323,0.447991,2.475314,12613,12364,48252,48252,0
airport73,1.771652,1.541717,1.508845,3.050562,11096,11019,41525,41525,0
airport70,+Inf,1.486884,1.322314,2.809198,24410,21178,79124,79124,0
airport88,+Inf,1.939069,1.673104,3.612173,16817,15762,62100,62100,0
airport86,+Inf,1.127171,1.655418,2.782589,13119,12854,50157,50157,0
airport90,0.789474,1.818010,1.967886,3.785896,12495,12441,43984,43984,0
airport85,+Inf,3.205558,1.164013,4.369571,18459,17844,71854,71854,0
airport76,8.012270,1.315918,4.978406,6.294324,13545,13286,51687,51687,0
airport7,+Inf,2.598241,2.489103,5.087344,15920,15334,61052,61052,0
airport99,+Inf,1.012483,0.597581,1.610064,10851,10619,41000,41000,0
airport97,+Inf,0.549470,0.250826,0.800296,6969,6928,25542,25542,0
airport87,+Inf,1.104792,0.472524,1.577316,9161,9141,34846,34846,0
airport94,+Inf,1.825535,0.231434,2.056969,14630,14525,55281,55281,0
airport78,+Inf,1.023976,0.175791,1.199767,9101,8888,33430,33430,0
airport79,1.000000,2.693652,3.035716,5.729368,15163,15111,56946,56946,0
airport93,+Inf,2.508341,0.669367,3.177708,13551,13287,51820,51820,0
airport96,+Inf,1.054003,1.184894,2.238897,12157,11161,41068,41068,0
airport95,1.473684,1.400921,4.827057,6.227978,12161,11600,44232,44232,0
airport98,+Inf,2.691110,0.575996,3.267106,14835,14560,57193,57193,0
airport83,1.559791,1.283517,10.207322,11.490839,17227,16174,63547,63547,0
airport9,+Inf,2.836130,1.218407,4.054537,18165,17139,68243,68243,0
grid15,6.854637,3.860190,2.515292,6.375482,13011,12951,47624,47624,0
grid0,2.473684,5.621226,3.093699,8.714925,18837,18739,70851,70851,0
grid27,+Inf,5.294367,0.749423,6.043790,22795,22058,97313,97313,0
grid1,+Inf,5.993024,1.363078,7.356102,24559,24369,100722,100722,0
grid10,1.341689,8.298558,3.872689,12.171247,24053,23929,91937,91937,0
grid18,+Inf,3.748843,1.065378,4.814221,17471,17114,70951,70951,0
grid28,+Inf,3.199701,0.494324,3.694025,16411,16094,66815,66815,0
grid16,+Inf,6.913734,5.168958,12.082692,25325,24917,105769,105769,0
grid21,+Inf,5.601633,3.571080,9.172713,19917,18738,80702,80702,0
grid14,+Inf,3.107757,0.291606,3.399363,14801,14488,59780,59780,0
grid33,+Inf,5.166594,0.635060,5.801654,20571,20479,79863,79863,0
grid25,3.676549,2.514049,2.092345,4.606394,11526,11434,44768,44768,0
grid49,+Inf,4.723692,0.566131,5.289823,19680,19532,79988,79988,0
grid20,+Inf,6.649987,0.776738,7.426725,20555,19352,84686,84686,0
grid12,+Inf,7.229884,1.560423,8.790307,29245,28454,126429,126429,0
grid23,+Inf,3.624048,0.445542,4.069590,20685,20329,86042,86042,0
grid43,+Inf,2.898430,1.255095,4.153525,16107,15986,65256,65256,0
grid38,+Inf,3.062659,0.463894,3.526553,15083,14758,60617,60617,0
grid48,+Inf,5.868517,0.368163,6.236680,19061,18684,78220,78220,0
grid42,+Inf,5.910343,0.858748,6.769091,30171,28866,130483,130483,0
grid4,+Inf,3.504112,0.351736,3.855848,15155,15034,59831,59831,0
grid31,+Inf,7.858486,1.071453,8.929939,31445,29490,133710,133710,0
grid51,+Inf,6.444054,0.737662,7.181716,25283,24872,108562,108562,0
grid17,+Inf,6.399687,1.719383,8.119070,27134,26936,112696,112696,0
grid11,+Inf,23.809498,1.184631,24.994129,28937,27635,124882,124882,0
grid37,+Inf,5.586725,0.962607,6.549332,26085,25313,112868,112868,0
grid35,+Inf,6.222789,0.793694,7.016483,26299,25854,110159,110159,0
grid22,+Inf,6.518603,0.684893,7.203496,24359,23956,100719,100719,0
grid26,2.263158,3.430092,1.200821,4.630913,13051,12991,48172,48172,0
grid13,+Inf,4.420167,0.423058,4.843225,21305,20936,89268,89268,0
grid3,2.070525,6.323871,11.332369,17.656240,22958,22767,93228,93228,0
grid32,+Inf,3.972910,2.287991,6.260901,16958,16813,67147,67147,0
grid52,+Inf,4.999997,1.086507,6.086504,22161,21780,93350,93350,0
grid47,+Inf,4.655647,2.038128,6.693775,27899,24330,100725,100725,0
grid36,+Inf,6.642686,1.659692,8.302378,31754,29787,135562,135562,0
grid30,+Inf,6.180580,0.949871,7.130451,21374,20656,89381,89381,0
grid39,+Inf,8.990533,1.484179,10.474712,36621,33788,156104,156104,0
grid24,11.055621,6.037062,27.803473,33.840535,30737,29434,133991,133991,0
grid54,+Inf,8.161388,0.773347,8.934735,23580,23386,95707,95707,0
grid53,+Inf,8.011926,0.672633,8.684559,28807,28380,122438,122438,0
grid29,+Inf,8.692767,1.282727,9.975494,28253,27448,122970,122970,0
grid46,4.335888,4.605436,32.988905,37.594341,23097,22716,97976,97976,0
grid64,+Inf,4.667910,0.567536,5.235446,16393,16260,64852,64852,0
grid55,+Inf,4.048055,0.963742,5.011797,26398,24518,108162,108162,0
grid5,+Inf,6.570050,1.133043,7.703093,28939,26984,121035,121035,0
grid2,+Inf,6.308688,0.804666,7.113354,23759,22538,100230,100230,0
grid59,+Inf,5.963319,0.260370,6.223689,13463,13361,53230,53230,0
grid67,+Inf,3.305963,1.042898,4.348861,17728,17058,72807,72807,0
grid56,+Inf,3.314143,0.330608,3.644751,13016,12907,50936,50936,0
grid63,+Inf,7.440373,0.676770,8.117143,29689,28892,128515,128515,0
grid6,+Inf,8.472995,2.071709,10.544704,27877,26594,120361,120361,0
grid50,+Inf,7.247165,3.264417,10.511582,25894,25141,111660,111660,0
grid70,+Inf,11.239735,0.649265,11.889000,26904,26123,115288,115288,0
grid71,+Inf,11.609953,2.242606,13.852559,32531,31176,142048,142048,0
grid72,+Inf,7.626810,1.750186,9.376996,24767,22881,101328,101328,0
grid19,+Inf,5.414284,2.380324,7.794608,21151,19948,87140,87140,0
grid45,+Inf,8.428689,1.383931,9.812620,30748,28820,131375,131375,0
grid62,+Inf,10.598033,0.817208,11.415241,24374,23626,103500,103500,0
grid57,3.634085,7.385195,10.784189,18.169384,17966,17820,71936,71936,0
grid73,+Inf,5.922655,6.172945,12.095600,26195,24952,111652,111652,0
grid34,+Inf,7.327206,5.411300,12.738506,20848,20133,87187,87187,0
grid69,+Inf,8.818295,0.389639,9.207934,15867,15543,65202,65202,0
grid65,+Inf,7.238750,0.935948,8.174698,17967,17293,74158,74158,0
grid61,+Inf,9.090319,3.251190,12.341509,27371,26941,115333,115333,0
grid76,+Inf,8.985721,1.542742,10.528463,25286,24517,108545,108545,0
grid60,+Inf,7.624056,0.813442,8.437498,24679,23429,104410,104410,0
grid82,+Inf,7.748024,0.478617,8.226641,24297,23887,102654,102654,0
grid81,+Inf,7.442795,1.247417,8.690212,20991,20611,88365,88365,0
grid78,+Inf,5.096327,1.335275,6.431602,25131,23880,106706,106706,0
grid74,+Inf,7.471136,1.014466,8.485602,19240,18545,80139,80139,0
grid58,+Inf,12.825796,1.070326,13.896122,30051,28736,128885,128885,0
grid85,+Inf,9.166387,0.507071,9.673458,27049,26610,113331,113331,0
grid68,2.270291,6.566073,26.624619,33.190692,21161,19973,86945,86945,0
grid8,+Inf,6.188544,1.004296,7.192840,19949,19588,82816,82816,0
grid88,+Inf,8.293208,1.711891,10.005099,33591,30797,139390,139390,0
grid87,+Inf,8.284936,8.057758,16.342694,34944,31249,138295,138295,0
grid75,+Inf,14.404108,3.455194,17.859302,31565,30242,137811,137811,0
grid84,+Inf,6.768941,0.755336,7.524277,24741,23508,105284,105284,0
grid86,+Inf,12.799069,2.552899,15.351968,31489,30641,135926,135926,0
grid90,+Inf,8.793444,0.858508,9.651952,26741,26301,111813,111813,0
grid80,+Inf,15.829299,2.076671,17.905970,28519,27246,123391,123391,0
grid77,+Inf,11.662096,3.912723,15.574819,29527,28713,128641,128641,0
grid44,+Inf,9.712087,0.477404,10.189491,24987,24794,102222,102222,0
grid95,+Inf,8.880773,1.066667,9.947440,21429,20701,89513,89513,0
grid91,+Inf,7.454228,0.919971,8.374199,21043,20320,87895,87895,0
grid96,+Inf,4.742796,1.269681,6.012477,14773,14652,58521,58521,0
grid89,7.629073,6.090260,10.681856,16.772116,22080,21342,92920,92920,0
grid92,+Inf,6.998022,1.054600,8.052622,24317,23076,102665,102665,0
metroplex0,+Inf,8.267680,1.980796,10.248476,21819,20475,91181,91181,0
grid7,+Inf,10.639231,0.809643,11.448874,31611,30776,137457,137457,0
grid79,4.989976,10.142698,25.549522,35.692220,25470,25265,103269,103269,0
grid99,+Inf,4.124694,1.648427,5.773121,26547,23907,105585,105585,0
grid9,+Inf,10.339849,0.509722,10.849571,19973,19816,80918,80918,0
metroplex12,+Inf,10.046506,3.989812,14.036318,22232,22003,89295,89295,0
grid97,+Inf,4.936880,0.569183,5.506063,16883,16212,69380,69380,0
grid66,4.031354,12.848237,64.174406,77.022643,32447,31097,139709,139709,0
metroplex25,+Inf,4.481523,1.027875,5.509398,12743,11580,45202,45202,0
grid98,+Inf,10.265714,3.194797,13.460511,30950,30140,135092,135092,0
metroplex23,+Inf,12.265635,2.278445,14.544080,21177,19856,89383,89383,0
metroplex14,+Inf,7.307356,0.793804,8.101160,15851,14679,61838,61838,0
metroplex13,+Inf,5.481378,0.614980,6.096358,15924,15173,64949,64949,0
metroplex34,+Inf,5.836410,0.281169,6.117579,12330,12182,47735,47735,0
metroplex27,+Inf,7.715931,0.895431,8.611362,19569,18277,80076,80076,0
grid94,2.578947,7.727733,34.207318,41.935051,27333,26899,114912,114912,0
metroplex15,+Inf,6.110283,2.045615,8.155898,16043,14797,62015,62015,0
metroplex10,14.586466,10.394251,20.051094,30.445345,19017,18814,77681,77681,0
metroplex2,+Inf,9.311657,1.102652,10.414309,17078,16333,68724,68724,0
metroplex28,+Inf,5.475996,0.918796,6.394792,16135,14920,61309,61309,0
metroplex30,+Inf,12.814235,0.579975,13.394210,26173,25688,114185,114185,0
metroplex20,+Inf,10.644774,6.360203,17.004977,38141,33019,145764,145764,0
metroplex38,2.947368,4.835871,3.908097,8.743968,9275,9160,34472,34472,0
grid83,4.408754,6.976727,77.894496,84.871223,30141,29329,130084,130084,0
metroplex40,+Inf,3.563234,0.383578,3.946812,10462,10345,40213,40213,0
grid93,+Inf,16.637049,7.711521,24.348570,26977,26188,116008,116008,0
metroplex31,1.578947,9.980278,18.238486,28.218764,19333,18552,80192,80192,0
metroplex37,2.210526,10.381809,3.487674,13.869483,18169,18053,67706,67706,0
metroplex18,5.025063,8.721390,22.948654,31.670044,16843,16461,69245,69245,0
metroplex39,1.705551,7.231494,2.628390,9.859884,16299,16195,60539,60539,0
metroplex29,+Inf,8.363791,2.616837,10.980628,19801,19602,79524,79524,0
metroplex16,+Inf,10.258027,7.338987,17.597014,23864,21815,96656,96656,0
metroplex11,+Inf,8.065798,1.088150,9.153948,21894,21082,93938,93938,0
metroplex24,+Inf,8.417131,0.627798,9.044929,22617,22174,94988,94988,0
metroplex21,+Inf,4.854507,0.776781,5.631288,12941,12234,50029,50029,0
metroplex47,3.608626,4.400756,1.683909,6.084665,9005,8939,31837,31837,0
metroplex17,+Inf,8.596958,3.764908,12.361866,18337,17951,77777,77777,0
metroplex26,+Inf,4.387236,0.535534,4.922770,14242,13539,55465,55465,0
metroplex45,+Inf,8.055242,3.631326,11.686568,28761,24906,108361,108361,0
metroplex3,4.405447,16.859008,28.664080,45.523088,24967,24485,104263,104263,0
metroplex32,6.606554,7.207511,14.100859,21.308370,11414,11272,44361,44361,0
metroplex41,+Inf,13.823605,1.501695,15.325300,27318,26447,118375,118375,0
metroplex44,3.244303,10.467155,26.422870,36.890025,15853,15453,65468,65468,0
metroplex4,+Inf,4.110102,0.329670,4.439772,11962,11829,46418,46418,0
metroplex42,1.263158,14.480078,5.433099,19.913177,15789,15665,56755,56755,0
metroplex51,+Inf,22.285730,2.972334,25.258064,32835,29840,135785,135785,0
metroplex43,+Inf,7.420951,0.424492,7.845443,9800,9667,36973,36973,0
metroplex5,9.062657,8.307024,7.280343,15.587367,13353,13253,48068,48068,0
metroplex59,+Inf,6.037693,0.696092,6.733785,12233,11566,47090,47090,0
metroplex57,6.482515,4.651141,14.232155,18.883296,13391,13036,53468,53468,0
metroplex56,3.684211,5.270313,11.575168,16.845481,11884,11755,46034,46034,0
metroplex61,+Inf,9.151495,6.202603,15.354098,17077,16669,70267,70267,0
metroplex53,+Inf,18.894458,10.741731,29.636189,38873,33705,151642,151642,0
metroplex64,+Inf,8.885619,1.569092,10.454711,11687,11537,44860,44860,0
metroplex63,+Inf,13.113146,1.024747,14.137893,21569,21122,91620,91620,0
metroplex67,2.701529,3.477763,8.532194,12.009957,10773,10439,41949,41949,0
metroplex68,+Inf,8.762914,1.056811,9.819725,14909,14199,61161,61161,0
