"nNodes","nFlights","datFile","opt","totalTime","optTime","iterations","optimalIteration"
5,15,grid1,instance,330,7.166651,6.544315,1
5,15,grid4,instance,249,7.581848,6.917874,1
5,15,grid12,instance,307,7.838148,7.174319,1
5,15,grid9,instance,306,7.721706,7.047824,1
5,15,grid6,instance,329,7.893271,7.240320,1
5,15,grid17,instance,280,7.938219,7.274330,1
5,15,grid18,instance,278,7.960208,7.297799,1
5,15,grid19,instance,365,7.976583,7.305428,1
5,15,grid14,instance,283,8.021862,7.352392,1
5,15,grid10,instance,316,8.058114,7.308689,1
5,15,grid11,instance,293,8.067168,7.400394,1
5,15,grid13,instance,398,8.120254,7.455838,1
5,15,grid5,instance,349,8.720405,8.089808,1
5,15,grid16,instance,397,9.618140,8.926385,1
5,15,grid7,instance,320,11.452772,10.746467,1
5,15,grid2,instance,355,11.841245,11.181892,1
5,15,grid0,instance,365,13.817595,13.201026,1
5,15,airport10,instance,613,18.751911,16.929745,1
5,15,airport3,instance,622,19.088817,17.342467,1
5,15,grid8,instance,389,19.713925,19.030190,1
5,15,grid15,instance,349,23.876942,23.271864,1
5,15,metroplex9,instance,432,26.615850,25.188541,1
5,15,metroplex6,instance,435,26.653240,25.213345,1
5,15,metroplex19,instance,630,26.913072,25.472996,1
5,15,metroplex5,instance,585,27.034463,25.593365,1
5,15,metroplex7,instance,517,27.087287,25.633340,1
5,15,metroplex4,instance,388,27.156571,25.704137,1
5,15,metroplex16,instance,552,27.180225,25.721174,1
5,15,metroplex12,instance,533,27.211724,25.753518,1
5,15,metroplex17,instance,430,27.245741,25.796695,1
5,15,metroplex14,instance,515,27.366521,25.907268,1
5,15,metroplex11,instance,455,27.403966,25.955719,1
5,15,metroplex0,instance,761,27.606643,26.140033,1
5,15,metroplex18,instance,448,27.734696,26.270455,1
5,15,metroplex2,instance,563,27.706560,26.249834,1
5,15,metroplex3,instance,536,27.750607,26.296017,1
5,15,metroplex1,instance,583,27.818959,26.386939,1
5,15,metroplex15,instance,544,27.903179,26.462454,1
5,15,metroplex13,instance,645,28.032327,26.607262,1
5,15,metroplex10,instance,806,28.430096,26.998626,1
5,15,metroplex8,instance,639,29.403610,28.043431,1
5,15,airport16,instance,693,38.698906,36.949899,1
5,15,grid3,instance,399,38.839649,38.260747,1
5,15,airport4,instance,380,42.399626,40.658270,1
5,15,airport9,instance,481,69.260793,67.577351,1
5,15,airport12,instance,727,98.486573,96.922678,2
5,15,airport11,instance,423,123.201627,122.038033,2
5,15,airport7,instance,615,132.094763,77.173925,2
5,15,airport2,instance,584,173.437420,153.068847,3
5,15,airport5,instance,472,294.275462,77.540801,4
5,15,airport1,instance,522,303.346951,228.100705,4
5,15,airport17,instance,451,345.799488,344.262080,5
5,15,airport18,instance,427,402.777673,401.238075,6
5,15,airport6,instance,449,451.605817,303.306384,6
5,15,airport15,instance,661,672.531952,671.257443,9
5,15,airport14,instance,545,744.771456,376.225280,10
6,20,grid0,instance,484,28.894643,26.833199,1
6,20,grid6,instance,563,29.159253,27.112890,1
6,20,grid11,instance,542,30.477956,28.441368,1
6,20,grid8,instance,549,31.182216,29.101907,1
6,20,grid16,instance,488,31.803656,29.733386,1
6,20,grid3,instance,526,31.863504,29.783888,1
6,20,grid0,instance,484,28.362507,26.322542,1
6,20,grid11,instance,542,30.131165,28.030226,1
6,20,grid16,instance,488,30.988780,28.780882,1
6,20,grid8,instance,549,31.509518,29.281832,1
6,20,grid6,instance,563,31.495391,29.151040,1
6,20,grid3,instance,526,32.255605,30.168818,1
6,20,grid2,instance,412,32.918517,30.787888,1
6,20,grid18,instance,473,36.229030,34.154673,1
6,20,grid4,instance,502,36.592598,34.506377,1
6,20,grid9,instance,513,39.025671,36.893776,1
