instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport23,1.315789,0.527863,0.492100,1.019963,15066,14483,46235,46235,0
airport24,8001.842105,0.644663,0.463840,1.108503,16308,16035,52474,52474,0
airport17,1.157895,0.669315,0.485370,1.154685,15428,15141,48354,48354,0
airport15,1000.052632,0.660527,0.537278,1.197805,15831,15737,50251,50251,0
airport13,1001.578947,0.744274,0.493159,1.237433,14052,13992,41969,41969,0
airport1,0.421053,0.671677,0.553280,1.224957,13382,13285,40941,40941,0
airport27,1001.473684,0.743148,0.481428,1.224576,13686,13624,40484,40484,0
airport19,1001.736842,0.646968,0.617271,1.264239,13158,13104,39092,39092,0
airport22,1001.210526,0.650436,0.630609,1.281045,14000,13940,42311,42311,0
airport10,3.431078,0.782230,0.746503,1.528733,14170,14110,42084,42084,0
airport18,1.684211,0.711242,0.792436,1.503678,15598,15312,49127,49127,0
airport16,1.997494,0.643435,0.864189,1.507624,12832,12774,37695,37695,0
airport11,1.681704,0.623265,0.924104,1.547369,13242,13178,39337,39337,0
airport26,1001.947368,0.816589,0.673713,1.490302,14384,14326,42728,42728,0
airport0,1002.418546,0.704081,0.925279,1.629360,16184,15910,51472,51472,0
airport21,2.052632,0.718999,0.957005,1.676004,18426,17826,58719,58719,0
airport20,2.776942,0.742792,1.044688,1.787480,13690,13608,39801,39801,0
airport12,2001.105263,0.886040,0.991815,1.877855,19050,18740,61138,61138,0
airport14,1.095238,0.758412,1.323865,2.082277,17110,17040,52818,52818,0
airport25,4.428571,0.706212,1.996393,2.702605,12446,12374,35477,35477,0
airport29,1001.473684,0.627860,0.778100,1.405960,14328,14276,43928,43928,0
airport2,1001.473684,0.676313,0.432093,1.108406,12878,12822,37981,37981,0
airport28,1.105263,0.678663,1.398273,2.076936,16188,15895,51235,51235,0
airport30,1001.473684,0.656829,0.448953,1.105782,12314,12262,35811,35811,0
airport32,1001.105263,0.692855,0.459729,1.152584,12684,12624,36970,36970,0
airport23,1.210526,0.541299,0.496809,1.038108,15086,14503,46261,46261,1
airport31,1.681704,0.596718,0.978923,1.575641,12536,12468,37022,37022,0
airport24,6001.578947,0.666962,0.489714,1.156676,16338,16065,52515,52515,1
airport13,1001.368421,0.768869,0.507006,1.275875,14080,14020,42011,42011,1
airport22,1001.157895,0.680059,0.532523,1.212582,14022,13962,42344,42344,1
airport17,1.105263,0.693797,0.539514,1.233311,15450,15163,48383,48383,1
airport15,1000.000000,0.682032,0.564979,1.247011,15859,15765,50291,50291,1
airport1,0.315790,0.690295,0.595484,1.285779,13410,13313,40981,40981,1
airport27,1001.315789,0.767885,0.558164,1.326049,13712,13650,40523,40523,1
airport19,1001.526316,0.668651,0.694155,1.362806,13186,13132,39134,39134,1
airport16,1.892231,0.665338,0.749971,1.415309,12856,12798,37731,37731,1
airport11,1.681704,0.637997,0.972253,1.610250,13258,13194,39361,39361,1
airport35,1.491228,0.705742,0.819519,1.525261,16476,16197,52587,52587,0
airport36,1.105263,0.699233,0.759630,1.458863,16270,15981,51404,51404,0
airport18,1.473684,0.780048,0.875669,1.655717,15622,15336,49163,49163,1
airport0,1002.155388,0.729768,1.052502,1.782270,16218,15944,51521,51521,1
airport10,3.220551,0.805273,0.936755,1.742028,14200,14140,42129,42129,1
airport26,1001.736842,0.882880,0.779492,1.662372,14418,14360,42779,42779,1
airport33,2001.105263,0.827461,1.249503,2.076964,17164,16856,54368,54368,0
airport21,1.736842,0.743196,1.016444,1.759640,18454,17854,58759,58759,1
airport25,4.428571,0.733001,1.039141,1.772142,12460,12388,35498,35498,1
airport20,2.776942,0.768350,1.076277,1.844627,13696,13614,39810,39810,1
airport3,1001.526316,0.733381,0.448899,1.182280,13526,13470,40106,40106,0
airport34,1.892231,0.641494,1.373341,2.014835,14084,14032,42867,42867,0
airport39,1.421053,0.820871,0.546632,1.367503,16884,16598,53619,53619,0
airport12,2001.105263,0.916639,1.029182,1.945821,19072,18762,61167,61167,1
airport38,1.105263,0.660005,0.850675,1.510680,14442,14161,45018,45018,0
airport37,0.333333,0.800249,0.788915,1.589164,13128,13058,37694,37694,0
airport41,1.681704,0.424615,0.669783,1.094398,9763,9683,28842,28842,0
airport40,1.315789,0.629371,0.610025,1.239396,15298,15024,48614,48614,0
airport14,1.095238,0.780239,1.443748,2.223987,17128,17058,52845,52845,1
airport42,1001.631579,0.630033,0.476343,1.106376,11462,11408,33193,33193,0
airport43,1001.315789,0.664903,0.530717,1.195620,12602,12552,37303,37303,0
airport44,1001.210526,0.660940,0.450248,1.111188,11578,11520,33115,33115,0
airport45,1.200501,0.724136,0.929813,1.653949,15742,15448,49194,49194,0
airport29,1001.315789,0.644308,0.840069,1.484377,14356,14304,43970,43970,1
airport47,1.842105,0.708826,0.774839,1.483665,14742,14686,45105,45105,0
airport46,1.105263,0.868635,1.163721,2.032356,18546,18237,59285,59285,0
airport2,1001.315789,0.707558,0.480160,1.187718,12906,12850,38023,38023,1
airport4,1001.210526,0.738977,0.538442,1.277419,13638,13578,40101,40101,0
airport28,1.105263,0.706777,1.728339,2.435116,16200,15907,51253,51253,1
airport51,1.789474,0.723359,0.534482,1.257841,14976,14695,46947,46947,0
airport48,2.210526,0.646794,1.011781,1.658575,16652,16387,54157,54157,0
airport30,1001.368421,0.702388,0.488964,1.191352,12344,12292,35856,35856,1
airport49,1.315789,0.795614,1.280342,2.075956,13290,13230,38901,38901,0
airport23,1.157895,0.616447,0.569935,1.186382,15106,14523,46287,46287,2
airport24,6001.315789,0.709546,0.549017,1.258563,16368,16095,52556,52556,2
airport17,2001.105263,0.730352,0.573121,1.303473,15468,15181,48406,48406,2
airport15,1000.000000,0.711541,0.650715,1.362256,15879,15785,50321,50321,2
airport22,1001.105263,0.734685,0.599089,1.333774,14044,13984,42377,42377,2
airport13,1001.210526,0.795112,0.583058,1.378170,14108,14048,42053,42053,2
airport1,0.263158,0.731814,0.659581,1.391395,13436,13339,41018,41018,2
airport32,1001.105263,0.836269,0.540733,1.377002,12708,12648,37006,37006,1
airport52,1.842105,0.687746,0.659342,1.347088,13900,13630,43410,43410,0
airport27,1001.210526,0.863430,0.622717,1.486147,13738,13676,40562,40562,2
airport50,1.105263,0.964739,1.406136,2.370875,18074,17761,57445,57445,0
airport19,1001.368421,0.709261,0.804764,1.514025,13214,13160,39176,39176,2
airport53,1.095238,0.826267,0.556799,1.383066,14142,14082,42211,42211,0
airport18,1.315789,0.753448,1.008946,1.762394,15646,15360,49199,49199,2
airport26,1001.578947,0.891989,0.889124,1.781113,14450,14392,42827,42827,2
airport16,1.786967,0.682708,1.127251,1.809959,12880,12822,37767,37767,2
airport11,1.681704,0.657496,1.172878,1.830374,13274,13210,39385,39385,2
