instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
airport0nDr1nDe0,0.894737,0.114254,0.044919,0.159173,2788,2788,7432,7432
airport0nDr0nDe1,1.075188,0.129199,0.064314,0.193513,3288,3286,8995,8995
airport12nDr1nDe1,1.411028,0.234739,0.116727,0.351466,3848,3846,11226,11226
airport13nDr0nDe1,1.305764,0.129406,0.087275,0.216681,2846,2844,7536,7536
airport10nDr1nDe0,0.789474,0.316795,0.228024,0.544819,5740,5720,15951,15951
airport0nDr1nDe1,0.822055,0.495508,0.240954,0.736462,5620,5598,15785,15785
airport11nDr1nDe1,0.937343,0.416764,0.128799,0.545563,5246,5232,14825,14825
airport11nDr1nDe0,0.526316,0.282491,0.159441,0.441932,5884,5858,16555,16555
airport13nDr1nDe0,0.631579,0.016441,0.024512,0.040953,278,278,453,453
airport11nDr0nDe3,1.699248,0.450308,0.112063,0.562371,5258,5240,14839,14839
airport12nDr1nDe0,1.631579,0.449500,0.281416,0.730916,7874,7854,23397,23397
airport10nDr1nDe1,3.699248,0.591613,0.355627,0.947240,6126,6102,17109,17109
airport13nDr0nDe2,3.832080,0.512195,0.206109,0.718304,5904,5884,16688,16688
airport12nDr0nDe1,0.884712,0.552374,0.289831,0.842205,8732,8706,25749,25749
airport12nDr0nDe2,1.471178,0.520129,0.250317,0.770446,9898,9868,29603,29603
airport14nDr0nDe2,1.518797,0.176043,0.099680,0.275723,3754,3750,10609,10609
airport13nDr1nDe1,1.411028,0.484688,0.104292,0.588980,5392,5378,15289,15289
airport0nDr0nDe2,1.433584,0.866880,0.573248,1.440128,12034,11990,35865,35865
airport11nDr0nDe1,1.295739,0.896991,0.541782,1.438773,11220,11176,33361,33361
airport10nDr0nDe3,2.573935,0.729627,0.485291,1.214918,12190,12140,36067,36067
airport11nDr0nDe2,1.032581,1.099577,0.309568,1.409145,10840,10798,32281,32281
airport10nDr0nDe1,1.295739,1.035720,0.812004,1.847724,12582,12530,37172,37172
airport12nDr0nDe3,2.157895,0.775977,0.775177,1.551154,10748,10712,32402,32402
airport0nDr0nDe3,1.300752,0.864543,0.663057,1.527600,13326,13264,39296,39296
airport17nDr0nDe1,1.200501,0.128353,0.057441,0.185794,2898,2896,7644,7644
airport17nDr1nDe0,1.052632,0.099219,0.032550,0.131769,2052,2052,5073,5073
airport14nDr1nDe0,1.263158,0.802725,0.451033,1.253758,16098,16055,50576,50576
airport17nDr0nDe3,3.822055,0.230915,0.068668,0.299583,2910,2904,7656,7656
airport10nDr0nDe2,1.115288,1.572051,0.901261,2.473312,13432,13368,39346,39346
airport15nDr1nDe1,2.596491,0.634328,0.375835,1.010163,12678,12636,39102,39102
airport18nDr0nDe1,1.548872,0.152798,0.041827,0.194625,2626,2624,6661,6661
airport16nDr0nDe3,1.909774,0.801175,0.310775,1.111950,8212,8174,23486,23486
airport16nDr0nDe2,1.972431,0.569297,0.353112,0.922409,8908,8866,25766,25766
airport18nDr1nDe0,1.157895,0.063938,0.018950,0.082888,992,991,2265,2265
airport17nDr0nDe2,1.476190,0.487761,0.229191,0.716952,6022,5998,16896,16896
airport16nDr1nDe1,10.192982,0.593856,0.346100,0.939956,6092,6066,16871,16871
airport15nDr1nDe0,0.052632,0.717591,0.609348,1.326939,14078,14026,42765,42765
airport19nDr1nDe0,1.421053,0.142662,0.050953,0.193615,1818,1818,4596,4596
airport16nDr1nDe0,1.000000,0.831341,0.349216,1.180557,11052,11008,32320,32320
airport14nDr1nDe1,1.348371,1.524379,0.592735,2.117114,16148,16100,50642,50642
airport19nDr0nDe3,1.646617,0.219204,0.045907,0.265111,2976,2970,7824,7824
airport18nDr0nDe3,5.583960,0.512300,0.143116,0.655416,5140,5122,14038,14038
airport1nDr1nDe0,1.052632,0.053970,0.029341,0.083311,828,828,1858,1858
airport1nDr0nDe1,0.979950,0.271218,0.065763,0.336981,3696,3686,10308,10308
airport16nDr0nDe1,0.285714,0.711419,0.618185,1.329604,12152,12082,35144,35144
airport15nDr0nDe1,0.476190,1.270825,0.663559,1.934384,14164,14098,42875,42875
airport19nDr1nDe1,1.032581,0.196584,0.107792,0.304376,5086,5072,14549,14549
airport19nDr0nDe1,1.032581,0.478237,0.160951,0.639188,6158,6136,17794,17794
airport17nDr1nDe1,1.253133,0.898682,0.417628,1.316310,9228,9190,26701,26701
airport20nDr0nDe1,3.378446,0.181926,0.074930,0.256856,3568,3558,9292,9292
airport15nDr0nDe2,1.476190,0.900528,1.571526,2.472054,14206,14134,42929,42929
airport20nDr1nDe0,0.736842,0.273488,0.050980,0.324468,2862,2862,7275,7275
airport18nDr1nDe1,6.175439,0.459098,0.310877,0.769975,7084,7054,19982,19982
airport20nDr0nDe2,3.568922,0.339337,0.115219,0.454556,3574,3562,9298,9298
airport14nDr0nDe1,1.761905,1.246555,1.958282,3.204837,16966,16886,52358,52358
airport18nDr0nDe2,1.634085,0.820477,0.699587,1.520064,12114,12062,35482,35482
airport14nDr0nDe3,2.904762,0.904521,1.717606,2.622127,16978,16894,52370,52370
airport22nDr1nDe0,0.789474,0.066502,0.025895,0.092397,1514,1513,3653,3653
airport1nDr1nDe1,0.726817,0.554095,0.289640,0.843735,6648,6622,19049,19049
airport19nDr0nDe2,2.120301,0.928739,0.730365,1.659104,11640,11594,34775,34775
airport22nDr0nDe1,1.270677,0.313906,0.172368,0.486274,5524,5510,15989,15989
airport22nDr0nDe2,1.581454,0.301556,0.064896,0.366452,3516,3508,9553,9553
airport22nDr1nDe1,1.295739,0.174185,0.117860,0.292045,3510,3504,9545,9545
airport1nDr0nDe2,1.476190,0.831463,0.459271,1.290734,8592,8556,25050,25050
airport23nDr0nDe2,1.466165,0.251077,0.136103,0.387180,4086,4076,11386,11386
airport22nDr0nDe3,1.593985,0.516977,0.229247,0.746224,6474,6454,19071,19071
grid11nDr1nDe1,3.626566,1.043291,0.102641,1.145932,4776,4774,8634,8634
grid10nDr1nDe1,3.172932,0.859912,0.134106,0.994018,5640,5624,10239,10239
airport20nDr1nDe1,0.979950,0.902312,0.556257,1.458569,8914,8872,25773,25773
grid11nDr1nDe0,3.210526,0.769824,0.067194,0.837018,5264,5258,9545,9545
