instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
metroplex11nDr1nDe0,2.105263,0.684920,0.106665,0.791585,3340,3330,10344,10344
metroplex10nDr1nDe1,2.040100,0.661214,0.525266,1.186480,4682,4631,16284,16284
metroplex0nDr1nDe0,2.052632,1.282004,0.252002,1.534006,8176,8118,27873,27873
metroplex10nDr1nDe0,2.421053,1.312573,0.233722,1.546295,5532,5494,18388,18388
metroplex0nDr1nDe1,3.832080,1.097514,0.792503,1.890017,5587,5520,19755,19755
metroplex10nDr0nDe2,4.944836,0.516683,1.967479,2.484162,5358,5144,18426,18426
metroplex11nDr1nDe1,13.180155,1.303140,1.198660,2.501800,6191,6115,22024,22024
metroplex12nDr1nDe0,2.052632,1.002553,0.163211,1.165764,4510,4484,14106,14106
metroplex13nDr0nDe1,11.055138,0.555297,1.281121,1.836418,3634,3595,12093,12093
metroplex12nDr0nDe1,7.225564,1.491998,2.027896,3.519894,6336,6249,21963,21963
metroplex13nDr1nDe0,2.210526,0.219828,0.042750,0.262578,1242,1242,3220,3220
metroplex0nDr0nDe1,3.298246,2.819414,3.635847,6.455261,10094,9974,38165,38165
metroplex12nDr0nDe2,14.837093,2.267084,3.268915,5.535999,10086,9766,37636,37636
metroplex13nDr1nDe1,3.413534,1.453357,1.026615,2.479972,6694,6610,24520,24520
metroplex0nDr0nDe2,11.558897,3.603357,6.886169,10.489526,13640,13274,54542,54542
metroplex11nDr0nDe1,9.596491,1.542583,8.963007,10.505590,7019,6935,25610,25610
metroplex13nDr0nDe2,12.100251,1.287994,5.153998,6.441992,7392,7119,26887,26887
metroplex14nDr0nDe2,5.393484,0.458791,1.671396,2.130187,5090,4890,17233,17233
metroplex12nDr1nDe1,2.869674,5.025017,4.164687,9.189704,17165,16976,67565,67565
metroplex14nDr1nDe1,7.709273,0.596524,0.666809,1.263333,5176,5134,18825,18825
metroplex14nDr0nDe1,1.631579,3.137357,3.711001,6.848358,20666,20421,82715,82715
grid11nDr1nDe0,3.210526,0.637305,0.105185,0.742490,5264,5258,17693,17693
grid10nDr1nDe1,3.172932,0.898931,0.594356,1.493287,6830,6778,24785,24785
grid11nDr1nDe1,3.626566,0.776484,0.735221,1.511705,5789,5754,21242,21242
metroplex13nDr0nDe3,5.556391,1.313733,9.723974,11.037707,11392,10720,43387,43387
grid10nDr0nDe3,3.922306,0.781779,2.335576,3.117355,8721,8165,29979,29979
grid10nDr1nDe0,2.263158,2.428307,0.831302,3.259609,12248,12186,44383,44383
grid0nDr1nDe1,5.694236,2.172644,1.514848,3.687492,12394,12281,47647,47647
grid0nDr1nDe0,3.526316,3.367899,1.102356,4.470255,15170,15092,56082,56082
metroplex14nDr1nDe0,1.947368,5.789110,3.259075,9.048185,17268,17148,64204,64204
metroplex11nDr0nDe2,11.015038,5.222812,14.851631,20.074443,19250,18836,80797,80797
grid12nDr0nDe1,3.288221,2.282604,1.710542,3.993146,13313,13204,52571,52571
grid12nDr1nDe0,2.210526,1.345555,0.266665,1.612220,8748,8714,30760,30760
metroplex14nDr0nDe3,7.859649,1.764155,8.582849,10.347004,13666,12977,54896,54896
grid11nDr0nDe1,2.832080,2.564461,3.274393,5.838854,13651,13529,52594,52594
metroplex12nDr0nDe3,10.892231,1.523160,16.987472,18.510632,9464,8819,32623,32623
grid10nDr0nDe1,2.358396,2.381223,3.827474,6.208697,15022,14890,58837,58837
metroplex11nDr0nDe3,13.110276,3.068238,18.483636,21.551874,21367,20559,91223,91223
grid11nDr0nDe2,8.899749,3.041133,3.723050,6.764183,18326,17970,74405,74405
grid0nDr0nDe1,3.498747,3.382814,3.972031,7.354845,17050,16899,67587,67587
grid11nDr0nDe3,5.964912,1.393407,5.713227,7.106634,12293,11681,46865,46865
grid12nDr0nDe2,9.578947,1.087301,4.905773,5.993074,14502,14198,58714,58714
grid13nDr0nDe1,5.932331,1.068649,0.783884,1.852533,7870,7804,29187,29187
grid12nDr1nDe1,2.649123,2.120871,1.995401,4.116272,12828,12725,50536,50536
grid12nDr0nDe3,3.020050,2.798520,4.844769,7.643289,19313,18615,79194,79194
grid13nDr1nDe0,3.052632,0.985997,0.233622,1.219619,6402,6384,21907,21907
grid13nDr1nDe1,1.807018,1.015610,1.078722,2.094332,9475,9391,35811,35811
grid14nDr0nDe2,2.842105,0.344584,0.481162,0.825746,6294,6085,22033,22033
grid0nDr0nDe2,2.982456,4.184042,7.672989,11.857031,21198,20812,87685,87685
grid13nDr0nDe2,6.686717,1.289237,2.378782,3.668019,9236,8981,34802,34802
metroplex15nDr1nDe0,1.421053,8.031945,4.150460,12.182405,19096,18944,69855,69855
airport0nDr1nDe0,0.894737,0.123079,0.081133,0.204212,2788,2788,8842,8842
airport0nDr0nDe1,1.075188,0.184226,0.167654,0.351880,4171,4153,14132,14132
airport11nDr1nDe1,0.937343,0.323603,0.242232,0.565835,5842,5806,20368,20368
airport10nDr1nDe0,0.789474,0.393587,0.264606,0.658193,5740,5720,19179,19179
airport11nDr1nDe0,0.526316,0.371666,0.292917,0.664583,5884,5858,19845,19845
airport0nDr1nDe1,0.822055,0.360882,0.336764,0.697646,6238,6193,21692,21692
airport11nDr0nDe3,1.699248,0.348222,0.498111,0.846333,8474,7967,27684,27684
airport10nDr1nDe1,3.699248,0.441952,0.766966,1.208918,7110,7060,25270,25270
grid10nDr0nDe2,5.453634,5.146127,9.160361,14.306488,25640,25229,107584,107584
metroplex16nDr1nDe0,2.210526,3.537374,1.379821,4.917195,11454,11362,40829,40829
airport12nDr0nDe1,0.884712,0.627468,0.511040,1.138508,9428,9371,34902,34902
airport11nDr0nDe1,1.295739,0.871292,1.051338,1.922630,11880,11800,44392,44392
airport0nDr0nDe2,1.433584,0.997471,1.228676,2.226147,14020,13761,53955,53955
airport12nDr1nDe1,1.411028,0.190397,0.141109,0.331506,4364,4346,15207,15207
airport11nDr0nDe2,1.032581,0.843305,1.473348,2.316653,12862,12611,48757,48757
grid14nDr1nDe0,2.263158,2.679748,1.148241,3.827989,14840,14764,54364,54364
airport13nDr0nDe1,1.305764,0.158226,0.113351,0.271577,3469,3451,11111,11111
airport10nDr0nDe1,1.295739,1.136194,1.278625,2.414819,13367,13274,50241,50241
airport12nDr1nDe0,1.631579,0.519922,0.400483,0.920405,7874,7854,28317,28317
airport12nDr0nDe2,1.471178,0.776912,1.028652,1.805564,11864,11629,44844,44844
grid0nDr0nDe3,6.408521,3.332937,12.572720,15.905657,26076,25284,109565,109565
airport13nDr1nDe0,0.631579,0.015368,0.016531,0.031899,278,278,511,511
airport10nDr0nDe3,2.573935,1.175825,1.983479,3.159304,15941,15353,60663,60663
airport13nDr0nDe2,3.832080,0.451287,0.625606,1.076893,7818,7609,27459,27459
airport10nDr0nDe2,1.115288,1.254898,2.052143,3.307041,15860,15571,60586,60586
airport13nDr1nDe1,1.411028,0.358090,0.247630,0.605720,6009,5972,21032,21032
airport12nDr0nDe3,2.157895,0.726712,1.341475,2.068187,14310,13754,53697,53697
airport0nDr0nDe3,1.300752,1.216969,2.647522,3.864491,17174,16572,65586,65586
airport14nDr0nDe2,1.518797,0.231424,0.216113,0.447537,5498,5318,18087,18087
metroplex15nDr1nDe1,3.215539,6.075760,7.830923,13.906683,17143,16940,66580,66580
grid13nDr0nDe3,8.553885,1.340831,7.054737,8.395568,12584,11969,48521,48521
metroplex16nDr1nDe1,2.213033,2.251244,2.672669,4.923913,9385,9273,35227,35227
