instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport15,1.210526,0.329593,0.153677,0.483270,39524,4744,18223,18223,0
airport13,+Inf,0.580280,0.060914,0.641194,69743,6147,22632,22632,0
airport18,+Inf,0.500968,0.037901,0.538869,64135,5447,19387,19387,0
airport0,+Inf,0.702733,0.071539,0.774272,89386,7382,27797,27797,0
airport11,+Inf,0.759993,0.070350,0.830343,88734,7225,27249,27249,0
airport16,1.049786,0.624710,0.368098,0.992808,79368,6457,23465,23465,0
airport14,+Inf,0.450721,0.061936,0.512657,55757,6165,24273,24273,0
airport10,+Inf,0.917336,0.065304,0.982640,112821,8216,30521,30521,0
airport17,1.210526,0.729701,0.496420,1.226121,92765,7145,26107,26107,0
airport12,+Inf,1.075432,0.081129,1.156561,129518,9763,37912,37912,0
airport19,+Inf,0.516286,0.058577,0.574863,65140,6469,24770,24770,0
airport15,0.894737,0.334010,0.136446,0.470456,39550,4770,18262,18262,1
airport13,+Inf,0.582170,0.050466,0.632636,69769,6173,22671,22671,1
airport20,+Inf,0.402486,0.060166,0.462652,50621,4695,16058,16058,0
airport18,+Inf,0.518487,0.044449,0.562936,64171,5483,19441,19441,1
airport21,0.631579,0.368676,0.191247,0.559923,47691,5202,19408,19408,0
airport11,+Inf,0.690625,0.072771,0.763396,88758,7249,27285,27285,1
airport0,+Inf,0.775481,0.061669,0.837150,89422,7418,27851,27851,1
airport24,+Inf,0.730910,0.070561,0.801471,89821,7883,30719,30719,0
airport25,+Inf,0.292783,0.051238,0.344021,37239,3592,11925,11925,0
airport1,2.728319,0.719978,0.436182,1.156160,92161,6992,25674,25674,0
airport16,1.207680,0.617450,0.269657,0.887107,79398,6487,23510,23510,1
airport14,+Inf,0.456713,0.066009,0.522722,55785,6193,24315,24315,1
airport10,+Inf,0.922114,0.078886,1.001000,112851,8246,30566,30566,1
airport27,+Inf,0.577955,0.044345,0.622300,71850,6121,22639,22639,0
airport17,0.894737,0.743362,0.457770,1.201132,92793,7173,26149,26149,1
airport12,+Inf,1.080992,0.082179,1.163171,129550,9795,37960,37960,1
airport2,1.157895,0.420800,0.136874,0.557674,54106,4837,17436,17436,0
airport15,1.024878,0.331684,0.144705,0.476389,39582,4802,18310,18310,2
airport28,+Inf,0.367133,0.047385,0.414518,44716,4335,15337,15337,0
airport13,+Inf,0.586537,0.074038,0.660575,69801,6205,22719,22719,2
airport30,+Inf,0.397076,0.051423,0.448499,50582,4801,17092,17092,0
airport18,+Inf,0.512163,0.055080,0.567243,64207,5519,19495,19495,2
airport29,+Inf,0.632164,0.079226,0.711390,84551,7767,30897,30897,0
airport0,+Inf,0.702138,0.074588,0.776726,89458,7454,27905,27905,2
airport19,+Inf,0.517365,0.058063,0.575428,65170,6499,24815,24815,1
airport11,+Inf,0.688190,0.084008,0.772198,88784,7275,27324,27324,2
airport32,0.947368,0.435901,0.166635,0.602536,56789,5076,18181,18181,0
airport14,+Inf,0.456438,0.055481,0.511919,55815,6223,24360,24360,2
airport17,1.000000,0.774245,0.543581,1.317826,92823,7203,26194,26194,2
airport16,1.365575,0.617065,0.272834,0.889899,79432,6521,23561,23561,2
airport10,+Inf,0.919968,0.078675,0.998643,112881,8276,30611,30611,2
airport20,+Inf,0.404059,0.037382,0.441441,50643,4717,16091,16091,1
airport31,+Inf,0.633162,0.068327,0.701489,77541,6653,24769,24769,0
airport1,2.359898,0.724366,0.318852,1.043218,92191,7022,25719,25719,1
airport34,+Inf,0.420994,0.054506,0.475500,49707,5589,21758,21758,0
airport21,0.842105,0.368341,0.164088,0.532429,47717,5228,19447,19447,1
