instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
metroplex10nDr1nDe1,2.040100,0.441213,0.055234,0.496447,56899,2531,6778,6778
metroplex10nDr0nDe2,4.944836,0.411377,0.049065,0.460442,49389,2195,6034,6034
metroplex0nDr1nDe1,3.832080,0.710542,0.093224,0.803766,91550,3125,8653,8653
metroplex10nDr1nDe0,2.421053,0.826954,0.119327,0.946281,107112,3780,11144,11144
metroplex11nDr1nDe0,2.105263,0.470543,0.047091,0.517634,60565,2393,6420,6420
metroplex0nDr1nDe0,2.052632,1.633153,0.265176,1.898329,207564,5387,16711,16711
metroplex0nDr0nDe1,3.298246,1.718686,0.288095,2.006781,222237,5702,17894,17894
metroplex11nDr0nDe1,9.644110,0.992952,0.235535,1.228487,128876,3947,11507,11507
metroplex11nDr1nDe1,13.180155,0.828924,0.212333,1.041257,106670,3519,9838,9838
metroplex12nDr0nDe1,7.225564,0.946577,0.126305,1.072882,124735,3550,10070,10070
metroplex0nDr0nDe2,11.558897,2.092497,0.719593,2.812090,269340,6666,21627,21627
metroplex12nDr1nDe0,2.052632,0.827819,0.065418,0.893237,107850,3113,8832,8832
metroplex13nDr0nDe1,11.055138,0.510851,0.051957,0.562808,50193,1822,4812,4812
metroplex12nDr0nDe2,14.837093,1.444371,0.449997,1.894368,181810,4741,14696,14696
metroplex13nDr1nDe0,2.210526,0.156763,0.028497,0.185260,20520,972,2136,2136
metroplex10nDr0nDe1,18.583960,2.666136,7.178431,9.844567,340816,8674,30101,30101
metroplex11nDr0nDe2,11.015038,3.111639,0.994144,4.105783,388695,9480,33558,33558
metroplex13nDr0nDe2,12.100251,0.861802,0.116505,0.978307,102289,3259,9326,9326
grid10nDr1nDe1,3.172932,0.610795,0.074978,0.685773,78864,3829,6853,6853
metroplex11nDr0nDe3,13.110276,3.093767,0.978923,4.072690,388701,9484,33564,33564
