instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
metroplex11nDr1nDe0,2.105263,0.308836,0.056508,0.365344,3340,3330,10344,10344
metroplex10nDr1nDe1,2.040100,0.292871,0.260479,0.553350,4682,4631,16284,16284
metroplex10nDr1nDe0,2.421053,0.545356,0.141424,0.686780,5532,5494,18388,18388
metroplex12nDr1nDe0,2.052632,0.530406,0.096031,0.626437,4510,4484,14106,14106
metroplex0nDr1nDe1,3.832080,0.467370,0.361474,0.828844,5587,5520,19755,19755
metroplex11nDr1nDe1,13.180155,0.577626,0.525464,1.103090,6191,6115,22024,22024
metroplex0nDr1nDe0,2.052632,1.003200,0.231122,1.234322,8176,8118,27873,27873
metroplex10nDr0nDe2,4.944836,0.260855,1.036690,1.297545,5358,5144,18426,18426
metroplex13nDr1nDe0,2.210526,0.111189,0.031409,0.142598,1242,1242,3220,3220
metroplex13nDr0nDe1,11.055138,0.259166,0.690559,0.949725,3634,3595,12093,12093
metroplex12nDr0nDe1,7.225564,0.609180,1.304751,1.913931,6336,6249,21963,21963
metroplex0nDr0nDe1,3.298246,1.102795,1.549633,2.652428,10094,9974,38165,38165
metroplex12nDr0nDe2,14.837093,0.868085,1.655072,2.523157,10086,9766,37636,37636
metroplex13nDr1nDe1,3.413534,0.608211,0.499130,1.107341,6694,6610,24520,24520
metroplex14nDr0nDe2,5.393484,0.216227,0.771358,0.987585,5090,4890,17233,17233
metroplex14nDr1nDe1,7.709273,0.322486,0.369427,0.691913,5176,5134,18825,18825
metroplex13nDr0nDe2,12.100251,0.535006,2.023371,2.558377,7392,7119,26887,26887
metroplex12nDr1nDe1,2.869674,2.093744,1.521373,3.615117,17165,16976,67565,67565
metroplex11nDr0nDe1,9.644110,0.658666,4.239170,4.897836,7019,6935,25610,25610
metroplex0nDr0nDe2,11.558897,1.358153,3.640671,4.998824,13640,13274,54542,54542
metroplex14nDr1nDe0,1.947368,2.172878,1.125324,3.298202,17268,17148,64204,64204
metroplex13nDr0nDe3,5.556391,0.867717,3.632855,4.500572,11392,10720,43387,43387
metroplex14nDr0nDe1,1.631579,2.407617,2.301580,4.709197,20666,20421,82715,82715
metroplex14nDr0nDe3,7.859649,0.917979,3.435899,4.353878,13666,12977,54896,54896
metroplex11nDr0nDe2,11.015038,1.969642,5.173926,7.143568,19250,18836,80797,80797
metroplex12nDr0nDe3,10.892231,0.683036,7.451736,8.134772,9464,8819,32623,32623
metroplex15nDr1nDe0,1.421053,3.026449,1.523613,4.550062,19096,18944,69855,69855
metroplex16nDr1nDe0,2.210526,1.327851,0.539912,1.867763,11454,11362,40829,40829
metroplex16nDr1nDe1,2.213033,0.935831,1.112111,2.047942,9385,9273,35227,35227
metroplex17nDr0nDe1,2.904762,1.038542,0.932159,1.970701,11377,11261,44788,44788
metroplex15nDr1nDe1,3.215539,2.204441,3.868864,6.073305,17143,16940,66580,66580
metroplex11nDr0nDe3,13.110276,2.020978,8.587988,10.608966,21367,20559,91223,91223
metroplex17nDr1nDe0,2.157895,0.955394,0.282043,1.237437,9256,9202,33161,33161
metroplex16nDr0nDe1,12.631579,1.725861,4.931076,6.656937,15822,15639,62226,62226
metroplex17nDr1nDe1,2.553885,0.288204,0.339851,0.628055,4543,4496,16044,16044
metroplex17nDr0nDe3,10.729323,0.240766,2.672843,2.913609,6522,5978,19713,19713
metroplex18nDr1nDe0,2.578947,0.897451,0.256033,1.153484,7686,7636,26058,26058
metroplex17nDr0nDe2,4.421053,0.599407,3.824913,4.424320,8626,8355,33572,33572
metroplex16nDr0nDe2,19.739348,1.752896,7.132455,8.885351,17750,17337,72673,72673
metroplex15nDr0nDe1,9.461153,2.958687,7.881840,10.840527,21052,20795,82709,82709
metroplex19nDr0nDe2,3.789474,0.210018,1.217618,1.427636,4698,4492,15458,15458
grid11nDr1nDe0,3.210526,0.367704,0.084364,0.452068,5264,5258,17693,17693
metroplex19nDr1nDe1,2.203008,0.273013,0.338441,0.611454,4320,4276,14695,14695
metroplex10nDr0nDe3,18.967419,2.531783,12.016735,14.548518,24420,23563,105735,105735
grid11nDr1nDe1,3.626567,0.335921,0.339227,0.675148,5789,5754,21242,21242
metroplex19nDr1nDe0,2.210526,0.847380,0.323177,1.170557,8156,8104,28569,28569
