instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport23,1.105263,0.502160,0.209688,0.711848,11806,7006,18598,18598,0
airport22,1001.000000,0.618342,0.245972,0.864314,14000,8260,22515,22515,0
airport26,1001.736842,0.772326,0.274957,1.047283,14384,8525,22878,22878,0
airport19,1001.526316,0.639146,0.170163,0.809309,13158,7801,20928,20928,0
airport27,1001.263158,0.723398,0.229336,0.952734,13686,8148,21704,21704,0
airport13,1001.368421,0.714200,0.194202,0.908402,14052,8315,22369,22369,0
airport18,1.473684,0.676526,0.267158,0.943684,13468,8025,21279,21279,0
airport11,1.310777,0.588319,0.345867,0.934186,13242,7883,21083,21083,0
airport15,1000.052632,0.620480,0.216869,0.837349,14446,8518,23279,23279,0
airport24,8001.842105,0.618888,0.181283,0.800171,13688,8085,21961,21961,0
airport21,1.842105,0.717689,0.287868,1.005557,14700,8645,23587,23587,0
airport16,1.626566,0.616468,0.391256,1.007724,12832,7652,20243,20243,0
airport17,0.947368,0.643562,0.327081,0.970643,12678,7623,19858,19858,0
airport14,1.095238,0.721608,0.609434,1.331042,17110,10041,27866,27866,0
airport0,1002.047619,0.678376,0.331402,1.009778,14120,8358,22583,22583,0
airport1,0.210526,0.642952,0.231947,0.874899,12570,7546,19807,19807,0
airport10,3.060150,0.747051,0.701958,1.449009,14170,8392,22530,22530,0
airport12,2000.894737,0.843247,0.621833,1.465080,16718,9896,26818,26818,0
airport25,4.428571,0.673984,1.152395,1.826379,12446,7578,19467,19467,0
airport20,2.406015,0.708132,1.177213,1.885345,13690,8272,21569,21569,0
airport2,1001.263158,0.657652,0.201397,0.859049,12878,7627,20267,20267,0
airport29,1001.263158,0.602322,0.231442,0.833764,14328,8351,23092,23092,0
airport30,1001.263158,0.632997,0.178473,0.811470,12314,7366,19387,19387,0
airport32,1000.894737,0.837315,0.202271,1.039586,12684,7597,19954,19954,0
airport28,0.894737,0.676009,0.741839,1.417848,13634,8146,21671,21671,0
airport34,1.521303,0.610044,0.386563,0.996607,14084,8258,22727,22727,0
airport31,1.310777,0.584013,0.401813,0.985826,12536,7476,19890,19890,0
airport22,1000.947368,0.638111,0.230589,0.868700,14022,8282,22548,22548,1
airport23,1.000000,0.519043,0.256634,0.775677,11826,7026,18628,18628,1
airport42,1001.421053,0.601857,0.168262,0.770119,11462,6861,17963,17963,0
airport26,1001.526316,0.813182,0.259293,1.072475,14418,8559,22929,22929,1
airport35,1.280702,0.673726,0.255644,0.929370,14926,8790,24125,24125,0
airport33,2000.894737,0.798914,0.298523,1.097437,14894,8905,23741,23741,0
airport38,0.894737,0.630689,0.218123,0.848812,11960,7215,18783,18783,0
airport40,1.105263,0.606171,0.213992,0.820163,13282,7841,21261,21261,0
airport19,1001.315789,0.635654,0.189756,0.825410,13186,7829,20970,20970,1
airport27,1001.105263,0.737623,0.241603,0.979226,13712,8174,21743,21743,1
airport18,1.263158,0.710218,0.301000,1.011218,13492,8049,21315,21315,1
airport36,0.894737,0.698508,0.226297,0.924805,13718,8207,21780,21780,0
airport13,1001.157895,0.728923,0.234023,0.962946,14080,8343,22411,22411,1
airport37,0.333333,0.761018,0.274576,1.035594,13128,7981,20626,20626,0
airport39,1.210526,0.763795,0.220640,0.984435,15056,8937,24139,24139,0
airport11,1.310777,0.620510,0.415397,1.035907,13258,7899,21107,21107,1
airport15,1000.000000,0.639672,0.372464,1.012136,14474,8546,23321,23321,1
airport43,1001.105263,0.604217,0.238807,0.843024,12602,7499,20053,20053,0
airport3,1001.315789,0.697446,0.216714,0.914160,13526,8053,21560,21560,0
airport24,6001.578947,0.682933,0.184123,0.867056,13718,8115,22006,22006,1
airport21,1.526316,0.705314,0.219728,0.925042,14728,8673,23629,23629,1
airport16,1.521303,0.633032,0.363634,0.996666,12856,7676,20279,20279,1
airport20,2.406015,0.732431,0.466357,1.198788,13696,8278,21578,21578,1
airport44,1001.000000,0.629843,0.197037,0.826880,11578,6996,18043,18043,0
airport17,0.894737,0.665048,0.311234,0.976282,12700,7645,19891,19891,1
airport25,4.428571,0.694007,0.769236,1.463243,12460,7592,19488,19488,1
airport14,1.095238,0.745281,0.673020,1.418301,17128,10059,27893,27893,1
airport0,1001.784461,0.700490,0.646585,1.347075,14154,8392,22634,22634,1
airport12,2000.894737,0.895530,0.299709,1.195239,16740,9918,26851,26851,1
airport46,0.894737,0.832711,0.299861,1.132572,15842,9458,25363,25363,0
airport1,0.105263,0.662939,0.202956,0.865895,12598,7574,19849,19849,1
airport47,1.576441,0.670183,0.335518,1.005701,14742,8614,23835,23835,0
airport45,0.989975,0.697429,0.459759,1.157188,13084,7892,20539,20539,0
airport10,2.849624,0.764591,0.919333,1.683924,14200,8422,22575,22575,1
airport49,1.050125,0.726001,0.256690,0.982691,13290,7991,21039,21039,0
airport48,2.000000,0.583065,0.511351,1.094416,14656,8480,23939,23939,0
airport2,1001.105263,0.667095,0.203099,0.870194,12906,7655,20309,20309,1
airport52,1.631579,0.638961,0.159491,0.798452,11726,7001,18409,18409,0
airport4,1001.000000,0.772213,0.279753,1.051966,13638,8127,21497,21497,0
airport29,1001.105263,0.608526,0.234656,0.843182,14356,8379,23134,23134,1
airport51,1.578947,0.695051,0.177426,0.872477,13036,7768,20545,20545,0
airport54,2000.894737,0.584277,0.222730,0.807007,12150,7294,19203,19203,0
airport55,4000.894737,0.613236,0.161029,0.774265,11166,6728,17480,17480,0
airport30,1001.157895,0.651743,0.193295,0.845038,12344,7396,19432,19432,1
airport53,1.095238,0.737414,0.226303,0.963717,14142,8405,22571,22571,0
airport58,2000.894737,0.590828,0.200624,0.791452,12156,7275,19110,19110,0
airport56,1000.894737,0.776967,0.291873,1.068840,15092,8967,24208,24208,0
airport32,1000.894737,0.733124,0.273047,1.006171,12708,7621,19990,19990,1
airport42,1001.263158,0.637813,0.181277,0.819090,11488,6887,18002,18002,1
airport28,0.894737,0.673103,0.675148,1.348251,13646,8158,21689,21689,1
airport50,0.894737,0.844972,0.689116,1.534088,15782,9421,25159,25159,0
airport34,1.416040,0.644076,0.434918,1.078994,14112,8286,22769,22769,1
airport61,1000.947368,0.628647,0.313306,0.941953,11738,7009,18486,18486,0
airport40,1.000000,0.663468,0.237378,0.900846,13304,7863,21294,21294,1
airport57,1001.842105,1.141736,0.285395,1.427131,14664,8740,23322,23322,0
airport38,0.894737,0.725470,0.283079,1.008549,11980,7235,18813,18813,1
airport35,1.228070,0.774459,0.341775,1.116234,14956,8820,24170,24170,1
airport59,1001.310777,0.820366,0.403649,1.224015,12886,7799,20176,20176,0
airport33,2000.894737,0.855599,0.288107,1.143706,14910,8921,23765,23765,1
airport5,1.310777,0.731901,0.475620,1.207521,12532,7504,19642,19642,0
airport63,1001.310777,0.614515,0.286678,0.901193,11214,6769,17424,17424,0
airport62,1001.263158,0.688100,0.222787,0.910887,13062,7729,20916,20916,0
airport22,1000.894737,0.681806,0.403224,1.085030,14044,8304,22581,22581,2
airport23,0.947368,0.558337,0.240504,0.798841,11846,7046,18658,18658,2
airport37,0.333333,0.810759,0.291483,1.102242,13148,8001,20656,20656,1
airport3,1001.105263,0.747944,0.375114,1.123058,13556,8083,21605,21605,1
airport36,0.894737,0.710796,0.451119,1.161915,13734,8223,21804,21804,1
airport26,1001.368421,0.886490,0.279541,1.166031,14450,8591,22977,22977,2
airport31,1.310777,0.652495,1.023748,1.676243,12546,7486,19905,19905,1
airport43,1001.000000,0.656184,0.214205,0.870389,12632,7529,20098,20098,1
airport64,1001.310777,0.648664,0.361071,1.009735,11928,7109,18805,18805,0
airport60,0.894737,0.824106,0.792052,1.616158,14680,8746,23512,23512,0
airport39,1.105263,0.843079,0.561667,1.404746,15086,8967,24184,24184,1
airport19,1001.157895,0.672817,0.206406,0.879223,13214,7857,21012,21012,2
