instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport19,1001.526316,0.616386,0.172925,0.789311,13158,7801,20928,20928,0
airport13,1001.368421,0.711009,0.184514,0.895523,14052,8315,22369,22369,0
airport24,8001.842105,0.603088,0.246043,0.849131,16308,10878,33624,33624,0
airport15,1000.052632,0.612952,0.271261,0.884213,15831,9933,29451,29451,0
airport22,1001.000000,0.620277,0.227786,0.848063,14000,8260,22515,22515,0
airport11,1.310777,0.621299,0.363881,0.985180,13242,7883,21083,21083,0
airport1,0.421053,0.638532,0.313030,0.951562,13382,8688,25019,25019,0
airport27,1001.263158,0.707044,0.232646,0.939690,13686,8148,21704,21704,0
airport17,1.157895,0.627280,0.357115,0.984395,15428,10467,31618,31618,0
airport16,1.626566,0.615925,0.387856,1.003781,12832,7652,20243,20243,0
airport23,1.315789,0.486384,0.518294,1.004678,15066,10610,32187,32187,0
airport26,1001.736842,0.780792,0.268082,1.048874,14384,8525,22878,22878,0
airport18,1.684211,0.661573,0.447737,1.109310,15598,10573,32151,32151,0
airport12,2000.894737,0.826271,0.473807,1.300078,19050,12652,39042,39042,0
airport14,1.095238,0.717362,0.602724,1.320086,17110,10041,27866,27866,0
airport0,1002.418546,0.668955,0.675745,1.344700,16184,10888,33420,33420,0
airport10,3.060150,0.741630,0.688493,1.430123,14170,8392,22530,22530,0
airport21,2.052632,0.658951,0.784861,1.443812,18426,12678,39745,39745,0
airport25,4.428571,0.680988,1.141831,1.822819,12446,7578,19467,19467,0
airport20,2.406015,0.711478,1.157339,1.868817,13690,8272,21569,21569,0
airport29,1001.263158,0.591497,0.218444,0.809941,14328,8351,23092,23092,0
airport2,1001.263158,0.645212,0.198247,0.843459,12878,7627,20267,20267,0
airport30,1001.263158,0.664822,0.181744,0.846566,12314,7366,19387,19387,0
airport28,1.105263,0.634779,1.420885,2.055664,16188,10895,33131,33131,0
airport32,1000.894737,0.645230,0.201353,0.846583,12684,7597,19954,19954,0
airport31,1.310777,0.562264,0.400239,0.962503,12536,7476,19890,19890,0
airport34,1.521303,0.593513,0.398865,0.992378,14084,8258,22727,22727,0
airport33,2000.894737,0.755767,0.338540,1.094307,17164,11575,35336,35336,0
airport35,1.491228,0.637627,0.370832,1.008459,16476,11031,33807,33807,0
airport36,1.105263,0.643317,0.454598,1.097915,16270,10975,33330,33330,0
airport37,0.333333,0.757769,0.281555,1.039324,13128,7981,20626,20626,0
airport38,1.105263,0.608775,0.584727,1.193502,14442,9894,29812,29812,0
airport19,1001.315789,0.635287,0.194355,0.829642,13186,7829,20970,20970,1
airport15,1000.000000,0.697701,0.294633,0.992334,15859,9961,29491,29491,1
airport24,6001.578947,0.620774,0.242946,0.863720,16338,10908,33665,33665,1
airport39,1.421053,0.742806,0.283688,1.026494,16884,11381,34909,34909,0
airport22,1000.947368,0.639435,0.230580,0.870015,14022,8282,22548,22548,1
airport13,1001.157895,0.729185,0.255291,0.984476,14080,8343,22411,22411,1
airport27,1001.105263,0.727408,0.234720,0.962128,13712,8174,21743,21743,1
airport3,1001.315789,0.699882,0.209744,0.909626,13526,8053,21560,21560,0
airport11,1.310777,0.607809,0.430572,1.038381,13258,7899,21107,21107,1
airport40,1.315789,0.673167,0.254852,0.928019,15298,10278,31364,31364,0
airport41,1.310777,0.405596,0.399726,0.805322,9763,6593,18190,18190,0
airport1,0.315789,0.652336,0.399174,1.051510,13410,8716,25059,25059,1
airport26,1001.526316,0.798975,0.251014,1.049989,14418,8559,22929,22929,1
airport23,1.210526,0.497959,0.485952,0.983911,15086,10630,32213,32213,1
airport18,1.473684,0.676438,0.433374,1.109812,15622,10597,32187,32187,1
airport16,1.521303,0.664495,0.381554,1.046049,12856,7676,20279,20279,1
airport17,1.105256,0.677393,0.370944,1.048337,15450,10489,31647,31647,1
airport0,1002.155388,0.754566,0.498712,1.253278,16218,10922,33469,33469,1
airport42,1001.421053,0.603940,0.200327,0.804267,11462,6861,17963,17963,0
airport12,2000.894737,0.855256,0.490819,1.346075,19072,12674,39071,39071,1
airport14,1.095238,0.742060,0.671312,1.413372,17128,10059,27893,27893,1
airport20,2.406015,0.901398,0.462971,1.364369,13696,8278,21578,21578,1
airport25,4.428571,0.693634,0.759983,1.453617,12460,7592,19488,19488,1
airport21,1.736842,0.690671,0.801100,1.491771,18454,12706,39785,39785,1
airport10,2.849624,0.792746,0.918357,1.711103,14200,8422,22575,22575,1
airport43,1001.105263,0.639595,0.238121,0.877716,12602,7499,20053,20053,0
airport44,1001.000000,0.666204,0.198227,0.864431,11578,6996,18043,18043,0
airport45,1.200501,0.677496,0.392781,1.070277,15742,10728,32314,32314,0
airport47,1.576441,0.668858,0.355338,1.024196,14742,8614,23835,23835,0
airport46,1.105263,0.858378,0.545960,1.404338,18546,12404,38145,38145,0
airport48,2.210526,0.565284,0.455581,1.020865,16652,10906,34049,34049,0
airport49,1.050125,0.727731,0.262221,0.989952,13290,7991,21039,21039,0
airport29,1001.105263,0.618242,0.221748,0.839990,14356,8379,23134,23134,1
airport4,1001.000000,0.699228,0.358570,1.057798,13638,8127,21497,21497,0
