instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport19,+Inf,0.545731,0.202605,0.748336,15835,14828,46542,46542,0
airport27,+Inf,0.619168,0.074579,0.693747,10075,10037,29903,29903,0
airport18,+Inf,0.516175,0.076716,0.592891,9599,9537,28963,28963,0
airport15,1.210526,0.338582,0.626897,0.965479,9643,9433,29704,29704,0
airport25,+Inf,0.287633,0.055891,0.343524,6643,6595,19277,19277,0
airport20,+Inf,0.416323,0.165770,0.582093,9985,9751,29920,29920,0
airport21,0.631579,0.396979,0.216417,0.613396,8519,8489,25576,25576,0
airport13,+Inf,0.890366,0.213190,1.103556,13967,13400,42677,42677,0
airport0,+Inf,0.725951,0.215718,0.941669,15819,15232,49017,49017,0
airport24,+Inf,0.758210,0.786592,1.544802,15621,15355,49854,49854,0
airport14,+Inf,0.474625,0.089226,0.563851,11576,11517,37047,37047,0
airport11,+Inf,1.046873,0.141492,1.188365,14291,14021,44688,44688,0
airport17,1.210526,0.764269,1.113888,1.878157,13117,13028,40311,40311,0
airport10,+Inf,1.405431,0.183868,1.589299,14571,14470,44932,44932,0
airport16,1.049786,0.955510,0.715660,1.671170,12739,12486,39220,39220,0
airport12,+Inf,1.116195,0.248010,1.364205,19563,19267,63411,63411,0
airport1,2.728319,0.771278,2.119245,2.890523,15473,14889,47591,47591,0
airport28,+Inf,0.389620,0.048664,0.438284,6943,6923,20139,20139,0
airport29,+Inf,0.693945,0.516725,1.210670,19368,17742,55544,55544,0
airport2,1.157895,0.894952,0.185452,1.080404,7921,7897,23062,23062,0
airport32,0.947368,0.481187,0.254926,0.736113,8305,8271,24033,24033,0
airport18,+Inf,0.564491,0.106902,0.671393,9635,9573,29015,29015,1
airport19,+Inf,0.960790,0.363156,1.323946,15865,14858,46581,46581,1
airport27,+Inf,0.728888,0.073298,0.802186,10105,10067,29948,29948,1
airport30,+Inf,0.650504,0.235832,0.886336,10177,9956,30853,30853,0
airport13,+Inf,0.930292,0.264019,1.194311,13993,13426,42712,42712,1
airport31,+Inf,0.711769,0.117712,0.829481,13659,13401,42762,42762,0
airport34,+Inf,0.773434,0.094079,0.867513,9359,9333,28770,28770,0
airport33,+Inf,0.726830,0.107900,0.834730,14471,14205,45554,45554,0
airport14,+Inf,0.482725,0.078159,0.560884,11604,11545,37089,37089,1
airport24,+Inf,0.786888,1.243739,2.030627,15653,15387,49900,49900,1
airport20,+Inf,0.599805,0.163941,0.763746,10007,9773,29951,29951,1
airport21,0.842105,0.781580,0.379009,1.160589,8545,8515,25615,25615,1
airport15,0.894737,0.643216,1.193984,1.837200,9669,9459,29741,29741,1
airport12,+Inf,1.174712,0.334106,1.508818,19595,19299,63457,63457,1
airport16,1.207680,0.692476,0.763293,1.455769,12769,12516,39263,39263,1
airport11,+Inf,1.299385,0.211292,1.510677,14315,14045,44722,44722,1
airport38,+Inf,0.392703,0.271498,0.664201,13067,11523,31474,31474,0
airport25,+Inf,0.469885,0.106356,0.576241,6667,6619,19311,19311,1
airport39,+Inf,1.240315,0.302169,1.542484,17517,16935,55177,55177,0
airport35,+Inf,1.152227,0.209416,1.361643,16681,16408,53255,53255,0
airport1,2.359898,0.810722,2.368831,3.179553,15503,14919,47634,47634,1
airport17,0.894737,0.856963,1.352955,2.209918,13145,13056,40351,40351,1
airport10,+Inf,1.932571,0.128678,2.061249,14601,14500,44975,44975,1
airport40,+Inf,0.569295,0.139255,0.708550,9575,9353,28720,28720,0
airport3,0.631579,0.903888,0.715134,1.619022,13169,13115,38976,38976,0
airport36,+Inf,1.344396,0.683089,2.027485,14940,14844,46515,46515,0
airport43,+Inf,0.451494,0.075876,0.527370,9411,9194,28665,28665,0
airport0,+Inf,1.369772,0.256377,1.626149,15855,15268,49065,49065,1
airport41,+Inf,0.946007,0.177472,1.123479,10557,10322,31469,31469,0
airport44,1.105263,0.976057,0.520039,1.496096,9937,9893,28571,28571,0
airport37,1.157895,1.493326,0.865299,2.358625,12772,12682,39095,39095,0
airport21,0.631579,0.413864,0.331089,0.744953,8571,8541,25654,25654,2
airport18,+Inf,0.842312,0.105052,0.947364,9671,9609,29067,29067,2
airport27,+Inf,1.067210,0.078046,1.145256,10137,10099,29996,29996,2
airport15,1.024878,0.452477,0.983476,1.435953,9701,9491,29787,29787,2
airport13,+Inf,0.686085,0.297076,0.983161,14025,13458,42756,42756,2
airport19,+Inf,1.073135,0.493187,1.566322,15895,14888,46620,46620,2
airport25,+Inf,0.469983,0.108444,0.578427,6693,6645,19348,19348,2
airport45,+Inf,1.156326,0.429785,1.586111,10110,10037,30611,30611,0
airport2,1.210526,0.801242,0.332509,1.133751,7955,7931,23113,23113,1
airport29,+Inf,0.725443,0.699902,1.425345,19396,17770,55582,55582,1
airport10,+Inf,1.212846,0.153583,1.366429,14631,14530,45018,45018,2
airport20,+Inf,0.709206,0.293317,1.002523,10033,9799,29988,29988,2
airport11,+Inf,0.969919,0.327323,1.297242,14341,14071,44759,44759,2
airport0,+Inf,1.126774,0.443340,1.570114,15891,15304,49113,49113,2
airport14,+Inf,0.900932,0.105362,1.006294,11634,11575,37134,37134,2
airport28,+Inf,0.457035,0.051815,0.508850,6977,6957,20190,20190,1
airport16,1.365575,0.686638,1.155452,1.842090,12803,12550,39312,39312,2
airport30,+Inf,0.474722,0.398504,0.873226,10209,9988,30899,30899,1
airport24,+Inf,1.474994,1.262218,2.737212,15683,15417,49943,49943,2
airport1,2.465161,1.462050,1.605802,3.067852,15537,14953,47683,47683,2
airport12,+Inf,1.656500,0.381037,2.037537,19627,19331,63503,63503,2
airport17,1.000000,1.494374,1.519004,3.013378,13175,13086,40394,40394,2
airport47,+Inf,0.683612,0.286924,0.970536,10478,9947,30169,30169,0
airport4,+Inf,0.532584,0.229522,0.762106,10355,9813,29139,29139,0
airport49,+Inf,1.069438,0.334695,1.404133,11591,11337,35606,35606,0
airport48,+Inf,0.874503,0.491029,1.365532,13920,13374,43061,43061,0
airport32,0.656640,0.886832,0.364069,1.250901,8333,8299,24075,24075,1
airport51,1.526316,0.919516,0.427568,1.347084,12567,12517,36980,36980,0
airport52,+Inf,0.809085,0.239704,1.048789,11055,10810,33631,33631,0
airport31,+Inf,1.005730,0.155078,1.160808,13683,13425,42796,42796,1
