Data Name,Total,Binary,Integer,Linear
airport0nDr0nDe1,2261,1025,17,1219
airport0nDr0nDe2,7544,4446,39,3059
airport0nDr0nDe3,8415,4849,42,3524
airport0nDr1nDe0,1952,836,16,1100
airport0nDr1nDe1,3740,1858,24,1858
airport10nDr0nDe1,7922,4608,42,3272
airport10nDr0nDe2,8505,4863,44,3598
airport10nDr0nDe3,7675,4465,41,3169
airport10nDr1nDe0,3834,1886,26,1922
airport10nDr1nDe1,4064,2038,27,1999
airport11nDr0nDe1,7069,4107,37,2925
airport11nDr0nDe2,6831,3967,36,2828
airport11nDr0nDe3,3487,1753,23,1711
airport11nDr1nDe0,3893,1965,25,1903
airport11nDr1nDe1,3479,1753,23,1703
airport12nDr0nDe1,5582,3124,32,2426
airport12nDr0nDe2,6252,3616,34,2602
airport12nDr0nDe3,6744,3968,35,2741
airport12nDr1nDe0,5014,2840,29,2145
airport12nDr1nDe1,2521,1325,17,1179
airport13nDr0nDe1,1997,847,17,1133
airport13nDr0nDe2,3908,1976,26,1906
airport13nDr0nDe3,8740,5000,43,3697
airport13nDr1nDe0,246,32,4,210
airport13nDr1nDe1,3575,1803,24,1748
airport14nDr0nDe1,10408,6478,43,3887
airport14nDr0nDe2,2520,1230,18,1272
airport14nDr0nDe3,10416,6478,43,3895
airport14nDr1nDe0,9725,6330,42,3353
airport14nDr1nDe1,9770,6330,42,3398
airport15nDr0nDe1,8797,5301,40,3456
airport15nDr0nDe2,8833,5301,40,3492
airport15nDr0nDe3,8837,5301,40,3496
airport15nDr1nDe0,8725,5301,40,3384
airport15nDr1nDe1,7770,4866,37,2867
airport16nDr0nDe1,7777,4305,40,3432
airport16nDr0nDe2,5738,3128,33,2577
airport16nDr0nDe3,5337,2837,32,2468
airport16nDr1nDe0,7028,3980,38,3010
airport16nDr1nDe1,4066,2000,27,2039
airport17nDr0nDe1,2030,866,17,1147
airport17nDr0nDe2,3990,2008,26,1956
airport17nDr0nDe3,2038,866,17,1155
airport17nDr1nDe0,1495,557,15,923
airport17nDr1nDe1,5938,3252,34,2652
airport18nDr0nDe1,1890,734,17,1139
airport18nDr0nDe2,7678,4384,41,3253
airport18nDr0nDe3,3483,1639,25,1819
airport18nDr1nDe0,760,231,9,520
airport18nDr1nDe1,4661,2393,30,2238
airport19nDr0nDe1,4016,2120,24,1872
airport19nDr0nDe2,7305,4289,37,2979
airport19nDr0nDe3,2089,881,17,1191
airport19nDr1nDe0,1315,503,13,799
airport19nDr1nDe1,3357,1715,21,1621
airport1nDr0nDe1,2494,1192,18,1284
airport1nDr0nDe2,5509,3047,31,2431
airport1nDr0nDe3,7046,3988,39,3019
airport1nDr1nDe0,641,187,8,446
airport1nDr1nDe1,4341,2281,26,2034
airport20nDr0nDe1,2514,1044,20,1450
airport20nDr0nDe2,2518,1044,20,1454
airport20nDr0nDe3,8424,4704,43,3677
airport20nDr1nDe0,2061,801,18,1242
airport20nDr1nDe1,5744,3128,33,2583
airport21nDr0nDe1,8934,5310,42,3582
airport21nDr0nDe2,8938,5310,42,3586
airport21nDr0nDe3,8942,5310,42,3590
airport21nDr1nDe0,8874,5310,42,3522
airport21nDr1nDe1,6946,4210,33,2703
airport22nDr0nDe1,3616,1894,23,1699
airport22nDr0nDe2,2411,1097,19,1295
airport22nDr0nDe3,4173,2281,25,1867
airport22nDr1nDe0,1122,391,12,719
airport22nDr1nDe1,2407,1097,19,1291
airport23nDr0nDe1,6557,3753,34,2770
airport23nDr0nDe2,2757,1319,19,1419
airport23nDr0nDe3,7178,4080,36,3062
airport23nDr1nDe0,5491,3085,29,2377
airport23nDr1nDe1,5680,3204,30,2446
airport24nDr0nDe1,8656,5042,40,3574
airport24nDr0nDe2,8660,5042,40,3578
airport24nDr0nDe3,8664,5042,40,3582
airport24nDr1nDe0,8302,5042,40,3220
airport24nDr1nDe1,7687,4669,37,2981
airport25nDr0nDe1,7723,4251,42,3430
airport25nDr0nDe2,7857,4251,42,3564
airport25nDr0nDe3,7701,4251,42,3408
airport25nDr1nDe0,7529,4251,42,3236
airport25nDr1nDe1,7499,4251,42,3206
airport26nDr0nDe1,8764,5110,45,3609
airport26nDr0nDe2,5678,3138,33,2507
airport26nDr0nDe3,1981,837,17,1127
airport26nDr1nDe0,5953,3341,34,2578
airport26nDr1nDe1,3773,1901,26,1846
airport27nDr0nDe1,2558,1128,21,1409
airport27nDr0nDe2,5925,3285,34,2606
airport27nDr0nDe3,3983,1995,27,1961
airport27nDr1nDe0,633,187,8,438
airport27nDr1nDe1,2126,904,18,1204
airport28nDr0nDe1,7832,4566,41,3225
airport28nDr0nDe2,7591,4419,40,3132
airport28nDr0nDe3,5986,3404,33,2549
airport28nDr1nDe0,5974,3404,33,2537
airport28nDr1nDe1,5978,3404,33,2541
airport29nDr0nDe1,2566,1336,17,1213
airport29nDr0nDe2,2220,1100,16,1104
