Data Name,Total,Binary,Integer,Linear
airport0nDr0nDe1,7276,3570,34,3120
airport0nDr0nDe2,23347,14437,78,6870
airport0nDr0nDe3,28646,17002,84,8200
airport0nDr1nDe0,4679,2447,32,2200
airport0nDr1nDe1,10638,5672,48,4366
airport10nDr0nDe1,21910,14080,84,7194
airport10nDr0nDe2,26321,16291,88,7980
airport10nDr0nDe3,26632,15702,82,7490
airport10nDr1nDe0,9389,5493,52,3844
airport10nDr1nDe1,11999,6745,54,4648
airport11nDr0nDe1,19525,12399,74,6500
airport11nDr0nDe2,21436,13026,72,6376
airport11nDr0nDe3,14503,6511,46,4598
airport11nDr1nDe0,9573,5717,50,3806
airport11nDr1nDe1,9981,5327,46,4056
airport12nDr0nDe1,15718,9600,64,5502
airport12nDr0nDe2,19913,11919,68,5964
airport12nDr0nDe3,23949,13927,70,6594
airport12nDr1nDe0,12688,8340,58,4290
airport12nDr1nDe1,7539,3945,34,3008
airport13nDr0nDe1,6165,2663,34,2916
airport13nDr0nDe2,13430,6844,52,4572
airport13nDr0nDe3,29440,17420,86,8578
airport13nDr1nDe0,521,93,8,420
airport13nDr1nDe1,10263,5517,48,4146
airport14nDr0nDe1,29689,20603,86,8448
airport14nDr0nDe2,9617,4297,36,3328
airport14nDr0nDe3,34625,22221,86,8958
airport14nDr1nDe0,25366,18576,84,6706
airport14nDr1nDe1,27043,18961,84,7446
airport15nDr0nDe1,24945,16687,80,7626
airport15nDr0nDe2,26945,17175,80,7728
airport15nDr0nDe3,29770,18198,80,8128
airport15nDr1nDe0,22327,15479,80,6768
airport15nDr1nDe1,22505,15455,74,6424
airport16nDr0nDe1,21290,13144,80,7514
airport16nDr0nDe2,18335,10401,66,5906
airport16nDr0nDe3,19979,10455,64,6112
airport16nDr1nDe0,17664,11568,76,6020
airport16nDr1nDe1,11907,6573,54,4728
airport17nDr0nDe1,6250,2720,34,2944
airport17nDr0nDe2,13507,6831,52,4664
airport17nDr0nDe3,10353,3499,34,3462
airport17nDr1nDe0,3498,1622,30,1846
airport17nDr1nDe1,16998,10424,68,5954
airport18nDr0nDe1,6209,2663,34,2960
airport18nDr0nDe2,23727,14427,82,7258
airport18nDr0nDe3,14478,6318,50,4750
airport18nDr1nDe0,1729,671,18,1040
airport18nDr1nDe1,13725,7947,60,5166
airport19nDr0nDe1,11406,6412,48,4394
airport19nDr0nDe2,22685,13941,74,6710
airport19nDr0nDe3,10649,3695,34,3558
airport19nDr1nDe0,3095,1471,26,1598
airport19nDr1nDe1,10090,5604,42,3892
airport1nDr0nDe1,7424,3618,36,3218
airport1nDr0nDe2,17630,9992,62,5614
airport1nDr0nDe3,24995,14345,78,7214
airport1nDr1nDe0,1454,546,16,892
airport1nDr1nDe1,12226,6904,52,4718
airport20nDr0nDe1,7671,3529,40,3550
airport20nDr0nDe2,9446,3816,40,3628
airport20nDr0nDe3,28579,16629,86,8506
airport20nDr1nDe0,4857,2337,36,2484
airport20nDr1nDe1,16065,9631,66,5816
airport21nDr0nDe1,25348,16834,84,7878
airport21nDr0nDe2,27974,17964,84,7964
airport21nDr0nDe3,30063,18287,84,8332
airport21nDr1nDe0,22629,15501,84,7044
airport21nDr1nDe1,20230,13516,66,6096
airport22nDr0nDe1,10955,6309,46,4048
airport22nDr0nDe2,9271,3931,38,3342
airport22nDr0nDe3,16669,8359,50,4910
airport22nDr1nDe0,2598,1136,24,1438
airport22nDr1nDe1,7227,3405,38,3232
airport23nDr0nDe1,18818,11944,68,6254
airport23nDr0nDe2,10119,4531,38,3590
airport23nDr0nDe3,24695,13975,72,7300
airport23nDr1nDe0,13804,8992,58,4754
airport23nDr1nDe1,16421,10267,60,5542
airport24nDr0nDe1,23637,15207,80,7798
airport24nDr0nDe2,26425,16437,80,7940
airport24nDr0nDe3,29246,17464,80,8340
airport24nDr1nDe0,21209,14689,80,6440
airport24nDr1nDe1,21297,14059,74,6612
airport25nDr0nDe1,21809,13639,84,7534
airport25nDr0nDe2,24813,14849,84,7912
airport25nDr0nDe3,26469,15031,84,7992
airport25nDr1nDe0,18887,12331,84,6472
airport25nDr1nDe1,21457,13719,84,7102
airport26nDr0nDe1,24690,16140,90,7908
airport26nDr0nDe2,18241,10447,66,5766
airport26nDr0nDe3,10764,3904,34,3470
airport26nDr1nDe0,14967,9743,68,5156
airport26nDr1nDe1,10906,5960,52,4342
airport27nDr0nDe1,8063,3969,42,3500
airport27nDr0nDe2,19047,11051,68,5972
airport27nDr0nDe3,16131,7617,54,5106
airport27nDr1nDe0,1438,546,16,876
airport27nDr1nDe1,6510,2864,36,3058
airport28nDr0nDe1,22386,14652,82,7100
airport28nDr0nDe2,23551,14483,80,7024
airport28nDr0nDe3,21718,12042,66,6250
airport28nDr1nDe0,15075,9935,66,5074
airport28nDr1nDe1,17319,10937,66,5764
airport29nDr0nDe1,7617,3955,34,3076
airport29nDr0nDe2,8741,3789,32,2960
airport29nDr0nDe3,11012,4230,32,3392
airport29nDr1nDe0,536,120,8,408
airport29nDr1nDe1,6719,3285,32,2850
airport2nDr0nDe1,16727,10393,68,5714
airport2nDr0nDe2,17301,9875,64,5400
airport2nDr0nDe3,9067,2649,28,3032
airport2nDr1nDe0,9143,5555,50,3538
airport2nDr1nDe1,13462,7956,58,4896
airport30nDr0nDe1,5671,2301,30,2788
airport30nDr0nDe2,7453,2563,30,2898
airport30nDr0nDe3,13364,5664,42,4302
airport30nDr1nDe0,2602,1094,24,1484
airport30nDr1nDe1,8118,4040,40,3486
airport31nDr0nDe1,15314,9200,60,5502
airport31nDr0nDe2,17065,9457,60,5580
airport31nDr0nDe3,15418,7140,50,4874
airport31nDr1nDe0,8287,4775,48,3464
airport31nDr1nDe1,11381,6155,52,4622
airport32nDr0nDe1,6424,2662,36,3174
airport32nDr0nDe2,12900,6446,50,4442
airport32nDr0nDe3,10111,3231,34,3498
airport32nDr1nDe0,1501,525,18,958
airport32nDr1nDe1,10653,5727,50,4324
airport33nDr0nDe1,14450,8548,62,5288
airport33nDr0nDe2,20666,12374,70,6254
airport33nDr0nDe3,12970,5524,40,4048
airport33nDr1nDe0,7083,4171,40,2872
airport33nDr1nDe1,12829,7335,56,4886
airport34nDr0nDe1,23436,15598,78,7208
airport34nDr0nDe2,22959,14467,72,6460
airport34nDr0nDe3,28111,16943,78,7718
airport34nDr1nDe0,20660,14208,78,6374
airport34nDr1nDe1,14067,8685,52,4778
airport35nDr0nDe1,24340,16346,82,7360
airport35nDr0nDe2,28530,18482,82,8002
airport35nDr0nDe3,13951,6187,44,4372
airport35nDr1nDe0,22705,15921,82,6702
airport35nDr1nDe1,23384,15938,80,6814
airport36nDr0nDe1,18417,11895,66,5904
airport36nDr0nDe2,16078,9108,54,4954
airport36nDr0nDe3,11352,4358,36,3588
airport36nDr1nDe0,11568,7304,54,4210
airport36nDr1nDe1,10251,5537,48,4114
airport37nDr0nDe1,23403,14613,88,8150
airport37nDr0nDe2,25907,15581,88,8280
airport37nDr0nDe3,20955,11163,66,6378
airport37nDr1nDe0,19423,12703,86,6634
airport37nDr1nDe1,22681,14555,88,7486
airport38nDr0nDe1,18129,11119,74,6384
airport38nDr0nDe2,16361,8889,60,5456
airport38nDr0nDe3,13954,6014,46,4546
airport38nDr1nDe0,11941,7413,58,4470
airport38nDr1nDe1,8183,3941,42,3648
airport39nDr0nDe1,17417,11155,64,5646
airport39nDr0nDe2,21902,13652,68,6220
airport39nDr0nDe3,12790,5772,36,3624
airport39nDr1nDe0,13971,9327,60,4584
airport39nDr1nDe1,13512,8214,52,4694
airport3nDr0nDe1,8259,4237,38,3432
airport3nDr0nDe2,20597,12447,68,6120
airport3nDr0nDe3,28317,16655,84,8204
airport3nDr1nDe0,3494,1698,28,1768
airport3nDr1nDe1,7060,3330,34,3144
airport40nDr0nDe1,7581,3935,34,3060
airport40nDr0nDe2,14025,7353,52,4660
airport40nDr0nDe3,15629,7427,48,4800
airport40nDr1nDe0,4886,2746,32,2108
airport40nDr1nDe1,17569,11255,64,5698
airport41nDr0nDe1,15562,8768,64,6178
airport41nDr0nDe2,17137,9039,64,6072
airport41nDr0nDe3,17971,8911,60,5652
airport41nDr1nDe0,12802,7636,64,5102
airport41nDr1nDe1,13419,7665,60,5142
airport42nDr0nDe1,10679,5677,50,4400
airport42nDr0nDe2,11746,5504,46,4234
airport42nDr0nDe3,10413,3509,36,3520
airport42nDr1nDe0,4652,2360,36,2256
airport42nDr1nDe1,7042,3276,38,3176
airport43nDr0nDe1,9564,5338,40,3634
airport43nDr0nDe2,17966,10682,60,5264
airport43nDr0nDe3,18831,10053,56,5364
airport43nDr1nDe0,2212,1232,16,964
airport43nDr1nDe1,5904,2874,26,2452
