DataFrame,Mean,STD,Min,Max
airportnDr1nDe1,8343.397959183674,3466.591462195825,3002,16639
airportnDr1nDe0,7302.65306122449,4764.635597108971,278,16055
airportnDr0nDe1,10086.214285714286,4356.498438462924,3055,18266
airportnDr0nDe2,11070.551020408164,4123.409186839495,4005,18270
airportnDr0nDe3,12128.030612244898,4683.049338000403,4758,20393
gridnDr1nDe1,14460.3,6059.239490399782,4275,26726
gridnDr1nDe0,13030.89,7726.322090644671,224,25952
gridnDr0nDe1,17573.4,7211.9003435749555,4242,28816
gridnDr0nDe2,19932.72,6856.2972589165265,6085,31411
gridnDr0nDe3,21076.66,8017.520414717012,6835,31279
metroplexnDr1nDe1,10357.24,5081.053915410968,3113,22358
metroplexnDr1nDe0,10263.52,6456.147131801966,736,22064
metroplexnDr0nDe1,13777.04,6259.2879866158855,3220,24049
metroplexnDr0nDe2,15031.02,6631.611599274821,4318,25734
metroplexnDr0nDe3,16659.74,6768.86768744234,5044,27278
gridAPTini0,19576.545454545456,6532.662737698557,6303,37994
gridAPTini,19612.272727272728,6536.394310090096,6331,38014
metroplexAPTini,19648.22027972028,6539.1878840239215,6359,38028
gridAPTini0,19576.545454545456,6532.662737698557,6303,37994
gridAPTini,19612.272727272728,6536.394310090096,6331,38014
metroplexAPTini,19648.22027972028,6539.1878840239215,6359,38028
gridAPTini0,19576.545454545456,6532.662737698557,6303,37994
gridAPTini,19612.272727272728,6536.394310090096,6331,38014
metroplexAPTini,19648.22027972028,6539.1878840239215,6359,38028
gridAPTini0,19576.545454545456,6532.662737698557,6303,37994
gridAPTini,19612.272727272728,6536.394310090096,6331,38014
metroplexAPTini,19648.22027972028,6539.1878840239215,6359,38028
gridAPTini0,19576.545454545456,6532.662737698557,6303,37994
gridAPTini,19612.272727272728,6536.394310090096,6331,38014
metroplexAPTini,19648.22027972028,6539.1878840239215,6359,38028
gridAPTini0,19576.545454545456,6532.662737698557,6303,37994
gridAPTini,19612.272727272728,6536.394310090096,6331,38014
metroplexAPTini,19648.22027972028,6539.1878840239215,6359,38028
